state_year,state,year,total_homeless,sheltered_homeless,unsheltered_homeless,homeless_rate_per_10k,shelter_beds_per_10k,psh_beds_per_10k,state_homeless_funding_musd,state_homeless_funding_per_capita,anticamping_strictness,medicaid_expansion,tanf_max_benefit_3person,ssi_state_supplement,minimum_wage,personal_income_per_capita,median_household_income,poverty_rate,labor_force_participation,unemployment_rate,substance_use_disorder_rate,serious_mental_illness_rate,uninsured_rate,high_school_graduation_rate,average_student_debt_per_borrower,avg_in_state_tuition,state_population,population_density,population_growth_rate_pct,pct_age_18_24,pct_age_65plus,avg_household_size,avg_temp_f,precip_in,cooling_degree_days,median_rent,median_home_price,rent_as_pct_income,rent_burden_share,rental_vacancy_rate,homeownership_rate,housing_units_per_capita,new_housing_permits,housing_supply_growth_rate,eviction_filing_rate,foreclosure_rate,cpi_u,unsheltered_share_pct,homeless_rate_change_per_10k,pit_count_caution_flag,total_beds_per_10k,beds_per_100_homeless,funding_per_homeless_person,estimated_housing_units,permits_per_1000_housing_units,home_price_to_income_ratio,real_median_rent_2025_usd,real_median_home_price_2025_usd,real_personal_income_per_capita_2025_usd,real_median_household_income_2025_usd,real_minimum_wage_2025_usd,real_home_price_growth_pct
California 2010,California,2010,123480,50899,72581,33.09,13.473,10.657,0,0,1,0,694,171,8,43137,54280,15.8,64.17,12.3,8.5,3.5,18.5,75,18500,7700,37319550,239.44533474726697,,10.6,11.4,2.94,58.7,22.26,961,1147,255500,,41.4,7.5,56.1,0.3667826810765053,43242,,4,,218.07616666666667,58.77955944282475,,0,24.130000000000003,72.92233303112724,0,13688164.605568694,3.1590794855292765,4.7070744288872515,1693.4005919672074,377213.4710092603,63686.33071986873,80137.56245159548,11.810989307530654,
California 2011,California,2011,125128,50691,74437,33.25,13.194,11.3,0,0,1,0,638,171,8,45508,53370,16.6,63.39,11.7,8.6,3.5,18,76,19000,8100,37636311,241.47769965198526,0.8487803309525477,10.6,11.7,2.96,57.7,25.98,703,1255,244833,,45.03,6.1,55.3,0.36474542773094126,45207,0.29423997272968183,3.85,,224.923,59.488683588005884,0.1599999999999966,0,24.494,73.66616541353383,0,13727672.353909729,3.2931292963970513,4.587464867903316,1796.4467658224855,350461.7139574634,65141.593162589386,76395.50907724786,11.45145348731465,-7.091941064623364
California 2012,California,2012,120098,45890,74208,31.65,12.424,13.192,0,0,1,0,638,160.72,8,47793,57020,17,63.05,10.4,8.7,3.5,17.5,77,19500,8500,37944551,243.45539311245028,0.8189963144900059,10.6,12.1,2.97,57.5,20.63,778,1255,267500,,45.03,5.2,54.5,0.36288778564803104,57491,0.31127391689489414,3.36,,229.58608333333333,61.78953854352279,-1.6000000000000014,0,25.616,80.93522906793049,0,13769614.089798782,4.175207789054321,4.691336373202385,1759.9594454618477,375130.7981362903,67022.90181430924,79962.46022329447,11.21886499099186,7.03902400643428
California 2013,California,2013,118552,45554,72998,30.99,11.728,10.883,0,0,1,0,638,160.72,8,48074,60790,16.8,62.71,9,8.8,3.6,17.2,78,20000,8900,38253768,245.43935508612213,0.8149180629387409,10.5,12.5,2.97,59.1,21.52,1015,1255,348333,,45.03,5.1,54.3,0.36140903217699105,77630,0.4112799245030718,3.04,,232.95175,61.57466765638707,-0.6600000000000001,0,22.610999999999997,72.9622458857696,0,13825257.270003151,5.6150853820590285,5.730103635466359,1734.5317041365472,481429.9857346581,66442.92999574532,84017.67513502845,11.056775803260859,28.336566372710315
California 2014,California,2014,113952,42515,71437,29.53,11.412,11.812,20,0.52,1,1,670,160.72,9,50617,60490,16.4,62.34,7.6,8.9,3.6,12,79,20500,9200,38586706,247.57551296744936,0.8703404067280429,10.3,12.9,2.98,60,7.28,973,1255,380667,,45.03,4.5,54.2,0.3603052332706307,82603,0.5705682338050355,2.88,,236.715,62.69043105869138,-1.4599999999999973,0,23.224,78.64544530985438,175.51249648975008,13902992.106475245,5.9413829316300975,6.29305670358737,1706.9564493550934,517754.57426825125,68845.42995777431,82273.94073425466,12.241121947566405,7.545144592138797
California 2015,California,2015,115738,42039,73699,29.75,11.806,12.909,35,0.9,1,1,704,160.72,9,53816,63640,15.4,62.17,6.2,9,3.6,10.4,80,21000,9500,38904296,249.61319680507293,0.823055484445856,10.1,13.3,2.97,61.3,20.01,1168,1255,402666.5,,45.03,4.1,54.3,0.359360651337959,97611,0.5675181824346343,2.66,,237.00175000000002,63.67744388187112,0.21999999999999886,0,24.715,83.07563025210084,302.4071610015725,13980673.150404753,6.981852658301655,6.32725487115022,1704.8911913481268,547013.9991242873,73107.90785146676,86453.60591027472,12.226311332377005,5.6512151336159056
California 2016,California,2016,118142,39752,78390,30.18,10.818,14.411,60,1.53,1,1,704,160.72,10,55862,66640,14.4,62.23,5.5,9.1,3.6,8.5,81,21500,9800,39149186,251.18443139997717,0.6294677585220843,9.8,13.6,2.97,60.4,20.78,1152,1503,425458.5,,42.99,3.6,53.8,0.35936431062822416,100629,0.6410158324117843,2.48,,240.00541666666666,66.35235563982326,0.4299999999999997,0,25.229,83.59509609012592,507.8634185979584,14068820.238546124,7.152625329897529,6.384431272509004,2016.2409502437051,570743.0807247248,74937.62605623012,89396.07247121789,13.414776781395243,4.337929493289994
California 2017,California,2017,131532,42636,88896,33.44,11.305,15.211,90,2.29,1,1,704,160.72,10.5,58214,70040,13.3,62.27,4.8,9,3.6,7.8,82,22000,10100,39337785,252.39449826005452,0.4817443713899916,9.6,13.9,2.98,59.9,29.26,1023,1503,458995.5,,42.99,4.3,54.4,0.3600835672154859,111788,0.6897490519538474,2.28,,245.121,67.5850743545297,3.259999999999998,0,26.516,79.29425837320575,684.2441383085485,14164889.949155834,7.891907413418491,6.553333809251856,1974.1627578364821,602882.1171753394,76463.01449414037,91996.2472114885,13.791556192470434,5.631086479367342
California 2018,California,2018,129972,40429,89543,32.96,11.042,16.016,600,15.21,1,1,714,160.72,11,60984,70490,12.8,62.28,4.3,8.9,3.6,7.5,83,22500,10400,39437463,253.0340405931464,0.25338996590682505,9.5,14.3,2.96,60.9,21.58,1175,1503,485424,,42.99,4.4,55.1,0.3617531306646859,116411,0.726802644134894,2.18,,251.0995,68.89406949189056,-0.4799999999999969,0,27.058,82.09344660194175,4616.378912381128,14266625.705722716,8.159672959900007,6.886423606185274,1927.1593506304725,622414.7708718872,78194.20215492265,90382.87599863076,14.10429331798749,3.23987942917654
California 2019,California,2019,151278,42846,108432,38.36,11.742,16.582,650,16.48,0,1,785,160.72,12,64219,78100,11.8,62.44,4.1,8.8,3.6,7.7,84,23000,10700,39437610,253.0349837573648,3.727420295751571e-4,9.3,14.8,2.94,59.9,19.99,1093,1503,499917,32.5,,4.2,54.8,0.36359219778649254,109904,0.6373432586920913,,,255.65258333333333,71.6773093245548,5.399999999999999,0,28.324,73.83733055265903,4296.725234336784,14339207.295346556,7.6645798987554,6.400985915492957,1892.8373148206783,629581.870867072,80875.66169026557,98357.01549400864,15.112473571422582,1.1514990213270515
