"","homeless_rate_per_10k","unsheltered_share_pct","rental_vacancy_rate","housing_units_per_capita","permits_per_1000_housing_units","home_price_to_income_ratio","unemployment_rate","poverty_rate","total_beds_per_10k","funding_per_homeless_person"
"homeless_rate_per_10k",30,30,30,30,30,28,30,28,30,30
"unsheltered_share_pct",30,30,30,30,30,28,30,28,30,30
"rental_vacancy_rate",30,30,30,30,30,28,30,28,30,30
"housing_units_per_capita",30,30,30,30,30,28,30,28,30,30
"permits_per_1000_housing_units",30,30,30,30,30,28,30,28,30,30
"home_price_to_income_ratio",28,28,28,28,28,28,28,28,28,28
"unemployment_rate",30,30,30,30,30,28,30,28,30,30
"poverty_rate",28,28,28,28,28,28,28,28,28,28
"total_beds_per_10k",30,30,30,30,30,28,30,28,30,30
"funding_per_homeless_person",30,30,30,30,30,28,30,28,30,30
