"","homeless_rate_per_10k","unsheltered_share_pct","rental_vacancy_rate","housing_units_per_capita","permits_per_1000_housing_units","home_price_to_income_ratio","unemployment_rate","poverty_rate","total_beds_per_10k","funding_per_homeless_person"
"homeless_rate_per_10k",1,0.706633714454045,0.549999692127096,0.890964564755774,-0.564499146081952,-0.0831433596474736,0.245484097968031,0.0600127686585294,0.769013198518925,0.279755444475806
"unsheltered_share_pct",0.706633714454045,1,0.618702694328344,0.618945818301001,-0.523003447692873,-0.106120282154902,0.23879544456038,0.1217975303111,0.253094741205115,0.221104255679327
"rental_vacancy_rate",0.549999692127096,0.618702694328344,1,0.641262673232492,-0.828650113971422,-0.634051604013549,0.695881434164096,0.57544843159237,-0.0165447643626486,-0.158145361665068
"housing_units_per_capita",0.890964564755774,0.618945818301001,0.641262673232492,1,-0.517974388308568,-0.115444091535768,0.341524863698217,0.163349870198735,0.652507659952584,0.204019254299863
"permits_per_1000_housing_units",-0.564499146081952,-0.523003447692873,-0.828650113971422,-0.517974388308568,1,0.802218947322101,-0.770703432420967,-0.772732855750734,-0.0442370343262747,0.242406283151302
"home_price_to_income_ratio",-0.0831433596474736,-0.106120282154902,-0.634051604013549,-0.115444091535768,0.802218947322101,1,-0.819890799172691,-0.848450701529888,0.402830456935006,0.56716098330133
"unemployment_rate",0.245484097968031,0.23879544456038,0.695881434164096,0.341524863698217,-0.770703432420967,-0.819890799172691,1,0.691958407068041,-0.25273064103219,-0.337692571108108
"poverty_rate",0.0600127686585294,0.1217975303111,0.57544843159237,0.163349870198735,-0.772732855750734,-0.848450701529888,0.691958407068041,1,-0.39192028824519,-0.514321454232898
"total_beds_per_10k",0.769013198518925,0.253094741205115,-0.0165447643626486,0.652507659952584,-0.0442370343262747,0.402830456935006,-0.25273064103219,-0.39192028824519,1,0.382288601557183
"funding_per_homeless_person",0.279755444475806,0.221104255679327,-0.158145361665068,0.204019254299863,0.242406283151302,0.56716098330133,-0.337692571108108,-0.514321454232898,0.382288601557183,1
