category,variables_screened,defined_within_state,defined_changes,median_absolute_within_state,median_absolute_change,mean_level_coverage
Climate,3,3,3,0.3545685069105972,0.17599992231759018,1
Demographics,6,6,6,0.34188393889797425,0.28793229407037285,0.9222222222222223
Economy,8,8,8,0.1560808733040136,0.34200109877464135,0.975
Education,3,3,2,0.15744485243756393,0.23134938393956134,1
Health and social conditions,3,3,3,0.1559578944608655,0.2902368788695994,1
Homelessness outcome,1,1,1,0.7066337144540449,0.5706011888699494,1
Housing affordability,4,4,4,0.1358778195311657,0.10202373887464479,0.95
Housing cost and supply,10,10,10,0.3910086044022445,0.3614465761246853,0.9133333333333333
Housing instability,2,2,2,0.30697549631370646,0.1546065409231866,0.6
Policy and safety net,6,6,6,0.48606078277289044,0.3626665167355084,1
Service capacity and funding,5,5,5,0.4746815496949332,0.197973634721954,1
