state_year,state,year,homeless_rate_per_10k,real_median_home_price_2025_usd,rental_vacancy_rate,homeownership_rate,housing_units_per_capita,permits_per_1000_housing_units,total_beds_per_10k,real_personal_income_per_capita_2025_usd,unemployment_rate,real_minimum_wage_2025_usd
California 2010,California,2010,33.09,377213.4710092603,7.5,56.1,0.3667826810765053,3.1590794855292765,24.130000000000003,63686.33071986873,12.3,11.810989307530654
California 2011,California,2011,33.25,350461.7139574634,6.1,55.3,0.36474542773094126,3.2931292963970513,24.494,65141.593162589386,11.7,11.45145348731465
California 2012,California,2012,31.65,375130.7981362903,5.2,54.5,0.36288778564803104,4.175207789054321,25.616,67022.90181430924,10.4,11.21886499099186
California 2013,California,2013,30.99,481429.9857346581,5.1,54.3,0.36140903217699105,5.6150853820590285,22.610999999999997,66442.92999574532,9,11.05677580326086
California 2014,California,2014,29.53,517754.5742682513,4.5,54.2,0.3603052332706307,5.9413829316300975,23.224,68845.42995777431,7.6,12.241121947566404
California 2015,California,2015,29.75,547013.9991242873,4.1,54.3,0.359360651337959,6.981852658301655,24.715,73107.90785146676,6.2,12.226311332377003
California 2016,California,2016,30.18,570743.0807247248,3.6,53.8,0.35936431062822416,7.152625329897529,25.229,74937.62605623012,5.5,13.414776781395243
California 2017,California,2017,33.44,602882.1171753394,4.3,54.4,0.3600835672154859,7.891907413418491,26.516,76463.01449414037,4.8,13.791556192470434
California 2018,California,2018,32.96,622414.7708718872,4.4,55.1,0.3617531306646859,8.159672959900007,27.058,78194.20215492265,4.3,14.10429331798749
California 2019,California,2019,38.36,629581.870867072,4.2,54.8,0.36359219778649254,7.6645798987554,28.324,80875.66169026557,4.1,15.112473571422582
California 2020,California,2020,40.87,636819.9178675594,4,55.9,0.3647435749536124,7.251874352263504,30.14,87177.16414714303,10.1,14.92546682502092
California 2022,California,2022,43.84,743584.5518844523,3.9,55.3,0.3742426872277963,7.723747001425657,35.959,84972.22678092998,4.3,15.40348536751288
California 2023,California,2023,46.3,732781.0489379673,4.4,55.8,0.376745889857111,7.431952184908721,37.321,85832.06544524877,4.7,16.37794702024296
California 2024,California,2024,47.53,749444.3630084198,4.8,55.3,0.3780529770093434,6.745410721833198,39.298,88653.45334646375,5.3,16.42148757256964
California 2025,California,2025,46.23,731667,4.8,55.3,0.38102635657110456,6.812951429804187,41.119,91116,5.5,16.5
Florida 2010,Florida,2010,30.54,180364.1413416372,15.1,69.3,0.47730664294681546,4.3062060943458675,17.839,57252.29429459141,11.3,10.703709059949656
Florida 2011,Florida,2011,29.75,164611.0653009333,14.9,69,0.47345466809655495,4.841184235907063,18.766,57882.80308331781,10.2,10.3778797228789
Florida 2012,Florida,2012,28.58,177538.53848244617,13.1,67,0.46896452874319183,7.053057469867704,19.254,57792.580642970686,8.7,10.756086810113445
Florida 2013,Florida,2013,24.48,201589.9006390028,10.3,66.1,0.4656257276246173,9.544952745252557,19.451,56310.77706903214,7.5,10.766535438425262
Florida 2014,Florida,2014,20.92,211385.81435155048,10.1,64.9,0.4622165240990953,9.257157133132615,19.169,58318.0650828672,6.5,10.785788560466845
Florida 2015,Florida,2015,17.76,230515.5531001545,8,64.8,0.4573539903573855,11.46508733034524,18.941000000000003,61073.142063297,5.5,10.935756247292767
Florida 2016,Florida,2016,16.27,250185.5869730213,8.1,64.3,0.45297447878395286,12.013876523880786,18.587,61345.774221320455,4.9,10.798895309023171
Florida 2017,Florida,2017,15.35,266615.0806089831,8.5,64.1,0.4502414254642079,12.463532067475438,18.02,63634.24027205858,4.3,10.639200491334336
Florida 2018,Florida,2018,14.6,280953.67626886046,8.2,65.5,0.4493328733514944,14.925443502406768,17.964,65411.86578337562,3.6,10.578219988490618
Florida 2019,Florida,2019,13.18,292573.0805379495,8.4,66,0.45040508690463993,15.809806133782818,17.292,67585.50055699704,3.2,10.65429386785292
Florida 2020,Florida,2020,12.73,311646.85677869205,7.3,68.7,0.4585298030574779,16.315824241490077,16.503999999999998,70397.20806911326,8,10.646833001848258
Florida 2022,Florida,2022,11.58,385087.134187822,7.2,67.3,0.45736794106573353,20.085080730121817,15.934,71877.0637206344,3,11.002489548223489
Florida 2023,Florida,2023,13.41,384406.2661912509,8.5,67.3,0.45561603241414633,18.261148989851858,15.892,73946.95911726859,2.9,11.623059175656294
Florida 2024,Florida,2024,13.48,385733.55867884774,10,68.4,0.45679871922085935,16.418442001899734,15.163,75271.99366076608,3.4,12.316115679427227
Florida 2025,Florida,2025,11.89,375833.5,10.2,66.2,0.459841820899189,16.13979436738018,14.665,76440,3.9,13
