state_year,state,year,homeless_rate_per_10k,eviction_filing_rate,rental_vacancy_rate,housing_units_per_capita,real_median_home_price_2025_usd,unemployment_rate
California 2010,California,2010,33.09,4,7.5,0.3667826810765053,377213.4710092603,12.3
California 2011,California,2011,33.25,3.85,6.1,0.36474542773094126,350461.7139574634,11.7
California 2012,California,2012,31.65,3.36,5.2,0.36288778564803104,375130.7981362903,10.4
California 2013,California,2013,30.99,3.04,5.1,0.36140903217699105,481429.9857346581,9
California 2014,California,2014,29.53,2.88,4.5,0.3603052332706307,517754.5742682513,7.6
California 2015,California,2015,29.75,2.66,4.1,0.359360651337959,547013.9991242873,6.2
California 2016,California,2016,30.18,2.48,3.6,0.35936431062822416,570743.0807247248,5.5
California 2017,California,2017,33.44,2.28,4.3,0.3600835672154859,602882.1171753394,4.8
California 2018,California,2018,32.96,2.18,4.4,0.3617531306646859,622414.7708718872,4.3
Florida 2010,Florida,2010,30.54,5.77,15.1,0.47730664294681546,180364.1413416372,11.3
Florida 2011,Florida,2011,29.75,5.76,14.9,0.47345466809655495,164611.0653009333,10.2
Florida 2012,Florida,2012,28.58,5.7,13.1,0.46896452874319183,177538.53848244617,8.7
Florida 2013,Florida,2013,24.48,5.57,10.3,0.4656257276246173,201589.9006390028,7.5
Florida 2014,Florida,2014,20.92,5.28,10.1,0.4622165240990953,211385.81435155048,6.5
Florida 2015,Florida,2015,17.76,4.85,8,0.4573539903573855,230515.5531001545,5.5
Florida 2016,Florida,2016,16.27,4.55,8.1,0.45297447878395286,250185.5869730213,4.9
Florida 2017,Florida,2017,15.35,4.38,8.5,0.4502414254642079,266615.0806089831,4.3
Florida 2018,Florida,2018,14.6,4.12,8.2,0.4493328733514944,280953.67626886046,3.6
