state_year,state,year,homeless_rate_per_10k,median_rent,real_median_rent_2025_usd,rental_vacancy_rate,housing_units_per_capita
California 2010,California,2010,33.09,1147,1693.4005919672074,7.5,0.3667826810765053
California 2011,California,2011,33.25,1255,1796.4467658224855,6.1,0.36474542773094126
California 2012,California,2012,31.65,1255,1759.9594454618475,5.2,0.36288778564803104
California 2013,California,2013,30.99,1255,1734.5317041365472,5.1,0.36140903217699105
California 2014,California,2014,29.53,1255,1706.9564493550934,4.5,0.3603052332706307
California 2015,California,2015,29.75,1255,1704.8911913481268,4.1,0.359360651337959
California 2016,California,2016,30.18,1503,2016.2409502437051,3.6,0.35936431062822416
California 2017,California,2017,33.44,1503,1974.162757836482,4.3,0.3600835672154859
California 2018,California,2018,32.96,1503,1927.1593506304723,4.4,0.3617531306646859
California 2019,California,2019,38.36,1503,1892.8373148206783,4.2,0.36359219778649254
California 2020,California,2020,40.87,1586,1972.6491987069317,4,0.3647435749536124
California 2022,California,2022,43.84,1856,2042.062060150279,3.9,0.3742426872277963
California 2023,California,2023,46.3,1956,2066.7912497803372,4.4,0.376745889857111
California 2024,California,2024,47.53,2036,2089.6342936094866,4.8,0.3780529770093434
Florida 2010,Florida,2010,30.54,957,1412.8895959133545,15.1,0.47730664294681546
Florida 2011,Florida,2011,29.75,1002,1434.2945492861595,14.9,0.47345466809655495
Florida 2012,Florida,2012,28.58,1002,1405.1628401217304,13.1,0.46896452874319183
Florida 2013,Florida,2013,24.48,1002,1384.8611693584226,10.3,0.4656257276246173
Florida 2014,Florida,2014,20.92,1002,1362.8449101623933,10.1,0.4622165240990953
Florida 2015,Florida,2015,17.76,1002,1361.1959950046398,8,0.4573539903573855
Florida 2016,Florida,2016,16.27,1175,1576.2362718139414,8.1,0.45297447878395286
Florida 2017,Florida,2017,15.35,1175,1543.3408120145489,8.5,0.4502414254642079
Florida 2018,Florida,2018,14.6,1175,1506.5949680577548,8.2,0.4493328733514944
Florida 2019,Florida,2019,13.18,1175,1479.7630372017943,8.4,0.45040508690463993
Florida 2020,Florida,2020,12.73,1218,1514.9348827396234,7.3,0.4585298030574779
Florida 2022,Florida,2022,11.58,1444,1588.7594907634714,7.2,0.45736794106573353
Florida 2023,Florida,2023,13.41,1564,1652.5876864296768,8.5,0.45561603241414633
Florida 2024,Florida,2024,13.48,1669,1712.9664224136704,10,0.45679871922085935
