state_year,state,year,homeless_rate_per_10k,rent_as_pct_income,rental_vacancy_rate
California 2019,California,2019,38.36,32.5,4.2
California 2020,California,2020,40.87,32.2,4
California 2022,California,2022,43.84,32.3,3.9
California 2023,California,2023,46.3,32.5,4.4
California 2024,California,2024,47.53,32.8,4.8
Florida 2019,Florida,2019,13.18,33.3,8.4
Florida 2020,Florida,2020,12.73,33.3,7.3
Florida 2022,Florida,2022,11.58,33.9,7.2
Florida 2023,Florida,2023,13.41,34.5,8.5
Florida 2024,Florida,2024,13.48,35.2,10
