year,coc_number,coc_name,count_type,total_homeless,sheltered_homeless,unsheltered_homeless,homeless_individuals,homeless_people_in_families,chronically_homeless_individuals,homeless_veterans,homeless_unaccompanied_youth_under_25
2010,CA-500,San Jose/Santa Clara City & County CoC,No 2010 PIT Count,7086.0,2103.0,4983.0,6078.0,1008.0,2270.0,,
2010,CA-501,San Francisco CoC,No 2010 PIT Count,5823.0,2881.0,2942.0,5309.0,514.0,2816.0,,
2010,CA-502,"Oakland, Berkeley/Alameda County CoC",No 2010 PIT Count,4341.0,2378.0,1963.0,2771.0,1570.0,1026.0,,
2010,CA-503,Sacramento City & County CoC,Sheltered-Only Count,2734.0,1540.0,1194.0,2163.0,571.0,432.0,,
2010,CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Sheltered-Only Count,3345.0,1123.0,2222.0,2770.0,575.0,1025.0,,
2010,CA-505,Richmond/Contra Costa County CoC,No 2010 PIT Count,2759.0,887.0,1872.0,2365.0,394.0,940.0,,
2010,CA-506,"Salinas/Monterey, San Benito Counties CoC",No 2010 PIT Count,2407.0,779.0,1628.0,1909.0,498.0,656.0,,
2010,CA-507,Marin County CoC,No 2010 PIT Count,1026.0,597.0,429.0,767.0,259.0,135.0,,
2010,CA-508,Watsonville/Santa Cruz City & County CoC,No 2010 PIT Count,2265.0,729.0,1536.0,1815.0,450.0,842.0,,
2010,CA-509,Mendocino County CoC,No 2010 PIT Count,1202.0,235.0,967.0,1071.0,131.0,474.0,,
2010,CA-510,"Turlock, Modesto/Stanislaus County CoC",No 2010 PIT Count,1800.0,801.0,999.0,1118.0,682.0,442.0,,
2010,CA-511,Stockton/San Joaquin County CoC,No 2010 PIT Count,3005.0,2840.0,165.0,2122.0,883.0,377.0,,
2010,CA-512,Daly/San Mateo County CoC,Sheltered-Only Count,1424.0,621.0,803.0,1013.0,411.0,455.0,,
2010,CA-513,"Visalia/Kings, Tulare Counties CoC",Sheltered and Unsheltered Count,966.0,406.0,560.0,606.0,360.0,132.0,,
2010,CA-514,Fresno City & County/Madera County CoC,Sheltered-Only Count,4288.0,1831.0,2457.0,3294.0,994.0,879.0,,
2010,CA-515,"Roseville, Rocklin/Placer County CoC",No 2010 PIT Count,1054.0,572.0,482.0,700.0,354.0,231.0,,
2010,CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Sheltered and Unsheltered Count,336.0,215.0,121.0,243.0,93.0,53.0,,
2010,CA-517,Napa City & County CoC,No 2010 PIT Count,314.0,186.0,128.0,261.0,53.0,132.0,,
2010,CA-518,Vallejo/Solano County CoC,No 2010 PIT Count,829.0,403.0,426.0,468.0,361.0,105.0,,
2010,CA-519,"Chico, Paradise/Butte County CoC",Sheltered and Unsheltered Count,742.0,347.0,395.0,615.0,127.0,186.0,,
2010,CA-520,Merced City & County CoC,No 2010 PIT Count,372.0,148.0,224.0,344.0,28.0,51.0,,
2010,CA-521,"Davis, Woodland/Yolo County CoC",No 2010 PIT Count,491.0,202.0,289.0,365.0,126.0,150.0,,
2010,CA-522,Humboldt County CoC,No 2010 PIT Count,1355.0,355.0,1000.0,889.0,466.0,427.0,,
2010,CA-523,"Colusa, Glenn, Trinity Counties CoC",No 2010 PIT Count,197.0,74.0,123.0,145.0,52.0,40.0,,
2010,CA-524,Yuba City & County/Sutter County CoC,Sheltered and Unsheltered Count,512.0,387.0,125.0,276.0,236.0,41.0,,
2010,CA-525,El Dorado County CoC,No 2010 PIT Count,146.0,63.0,83.0,98.0,48.0,15.0,,
2010,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Sheltered-Only Count,289.0,67.0,222.0,170.0,119.0,85.0,,
2010,CA-528,Del Norte County CoC,Sheltered-Only Count,18.0,18.0,0.0,4.0,14.0,0.0,,
2010,CA-600,Los Angeles City & County CoC,No 2010 PIT Count,33243.0,14050.0,19193.0,28358.0,4885.0,7661.0,,
2010,CA-601,San Diego City and County CoC,Sheltered and Unsheltered Count,8383.0,3918.0,4465.0,6551.0,1832.0,1271.0,,
2010,CA-602,"Santa Ana, Anaheim/Orange County CoC",No 2010 PIT Count,8333.0,2609.0,5724.0,6956.0,1377.0,3783.0,,
2010,CA-603,Santa Maria/Santa Barbara County CoC,No 2010 PIT Count,4121.0,1148.0,2973.0,3333.0,788.0,483.0,,
2010,CA-604,Bakersfield/Kern County CoC,No 2010 PIT Count,1499.0,667.0,832.0,1251.0,248.0,258.0,,
2010,CA-606,Long Beach CoC,No 2010 PIT Count,3909.0,2154.0,1755.0,3200.0,709.0,789.0,,
2010,CA-607,Pasadena CoC,Sheltered and Unsheltered Count,1137.0,491.0,646.0,875.0,262.0,383.0,,
2010,CA-608,Riverside City & County CoC,Sheltered-Only Count,3126.0,1083.0,2043.0,1618.0,1508.0,721.0,,
2010,CA-609,San Bernardino City & County CoC,No 2010 PIT Count,2026.0,768.0,1258.0,1397.0,629.0,361.0,,
2010,CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Sheltered and Unsheltered Count,1815.0,524.0,1291.0,1419.0,396.0,787.0,,
2010,CA-612,Glendale CoC,Sheltered and Unsheltered Count,428.0,300.0,128.0,286.0,142.0,108.0,,
2010,CA-613,Imperial County CoC,No 2010 PIT Count,505.0,157.0,348.0,400.0,105.0,12.0,,
2010,CA-614,San Luis Obispo County CoC,No 2010 PIT Count,3829.0,242.0,3587.0,1547.0,2282.0,201.0,,
2010,FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",No 2010 PIT Count,1999.0,348.0,1651.0,1201.0,798.0,125.0,,
2010,FL-501,Tampa/Hillsborough County CoC,No 2010 PIT Count,7473.0,726.0,6747.0,4107.0,3366.0,598.0,,
2010,FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",Sheltered and Unsheltered Count,3948.0,1791.0,2157.0,3463.0,485.0,577.0,,
2010,FL-503,"Lakeland, Winterhaven/Polk County CoC",Sheltered and Unsheltered Count,820.0,443.0,377.0,694.0,126.0,83.0,,
2010,FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",Sheltered and Unsheltered Count,2155.0,703.0,1452.0,1677.0,478.0,173.0,,
2010,FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",Sheltered and Unsheltered Count,2262.0,471.0,1791.0,1248.0,1014.0,251.0,,
2010,FL-506,Tallahassee/Leon County CoC,No 2010 PIT Count,640.0,536.0,104.0,475.0,165.0,150.0,,
2010,FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",Sheltered and Unsheltered Count,4041.0,2065.0,1976.0,2696.0,1345.0,1614.0,,
2010,FL-508,"Gainesville/Alachua, Putnam Counties CoC",Sheltered and Unsheltered Count,1019.0,297.0,722.0,774.0,245.0,218.0,,
2010,FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",Sheltered and Unsheltered Count,2160.0,186.0,1974.0,1101.0,1059.0,179.0,,
2010,FL-510,"Jacksonville-Duval, Clay Counties CoC",Sheltered and Unsheltered Count,3241.0,2069.0,1172.0,2345.0,896.0,998.0,,
2010,FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",Sheltered-Only Count,1160.0,542.0,618.0,755.0,405.0,282.0,,
2010,FL-512,St. Johns County CoC,Sheltered and Unsheltered Count,1252.0,201.0,1051.0,1092.0,160.0,56.0,,
2010,FL-513,"Palm Bay, Melbourne/Brevard County CoC",No 2010 PIT Count,1221.0,1002.0,219.0,881.0,340.0,112.0,,
2010,FL-514,Ocala/Marion County CoC,Sheltered-Only Count,576.0,382.0,194.0,273.0,303.0,97.0,,
2010,FL-515,"Panama City/Bay, Jackson Counties CoC",Sheltered and Unsheltered Count,326.0,224.0,102.0,207.0,119.0,94.0,,
2010,FL-517,"Hendry, Hardee, Highlands Counties CoC",No 2010 PIT Count,4220.0,101.0,4119.0,812.0,3408.0,329.0,,
2010,FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",No 2010 PIT Count,1114.0,165.0,949.0,724.0,390.0,298.0,,
2010,FL-519,Pasco County CoC,No 2010 PIT Count,4527.0,1674.0,2853.0,1312.0,3215.0,995.0,,
2010,FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",Sheltered and Unsheltered Count,1385.0,295.0,1090.0,963.0,422.0,41.0,,
2010,FL-600,Miami-Dade County CoC,Sheltered and Unsheltered Count,3879.0,3120.0,759.0,2562.0,1317.0,547.0,,
2010,FL-601,Ft Lauderdale/Broward County CoC,No 2010 PIT Count,3225.0,2425.0,800.0,2575.0,650.0,377.0,,
2010,FL-602,Punta Gorda/Charlotte County CoC,Sheltered and Unsheltered Count,376.0,202.0,174.0,285.0,91.0,77.0,,
2010,FL-603,"Ft Myers, Cape Coral/Lee County CoC",Sheltered and Unsheltered Count,944.0,461.0,483.0,720.0,224.0,189.0,,
2010,FL-604,Monroe County CoC,No 2010 PIT Count,1040.0,324.0,716.0,838.0,202.0,289.0,,
2010,FL-605,West Palm Beach/Palm Beach County CoC,No 2010 PIT Count,2147.0,740.0,1407.0,1682.0,465.0,417.0,,
2010,FL-606,Naples/Collier County CoC,Sheltered and Unsheltered Count,401.0,324.0,77.0,276.0,125.0,66.0,,
2011,CA-500,San Jose/Santa Clara City & County CoC,Sheltered and Unsheltered Count,7067.0,1898.0,5169.0,6450.0,617.0,2520.0,667.0,
2011,CA-501,San Francisco CoC,Sheltered and Unsheltered Count,5669.0,2298.0,3371.0,5034.0,635.0,1738.0,919.0,
2011,CA-502,"Oakland, Berkeley/Alameda County CoC",Sheltered and Unsheltered Count,4178.0,1966.0,2212.0,3042.0,1136.0,1116.0,488.0,
2011,CA-503,Sacramento City & County CoC,Sheltered and Unsheltered Count,2376.0,1421.0,955.0,1772.0,604.0,353.0,297.0,
2011,CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Sheltered and Unsheltered Count,4541.0,1175.0,3366.0,3974.0,567.0,1015.0,404.0,
2011,CA-505,Richmond/Contra Costa County CoC,Sheltered and Unsheltered Count,2415.0,925.0,1490.0,1948.0,467.0,719.0,77.0,
2011,CA-506,"Salinas/Monterey, San Benito Counties CoC",Sheltered and Unsheltered Count,2699.0,788.0,1911.0,2115.0,584.0,792.0,296.0,
2011,CA-507,Marin County CoC,Sheltered and Unsheltered Count,862.0,509.0,353.0,626.0,236.0,224.0,68.0,
2011,CA-508,Watsonville/Santa Cruz City & County CoC,Sheltered and Unsheltered Count,2771.0,646.0,2125.0,2397.0,374.0,979.0,276.0,
2011,CA-509,Mendocino County CoC,Sheltered and Unsheltered Count,1456.0,142.0,1314.0,1352.0,104.0,300.0,92.0,
2011,CA-510,"Turlock, Modesto/Stanislaus County CoC",Sheltered and Unsheltered Count,1434.0,643.0,791.0,987.0,447.0,218.0,73.0,
2011,CA-511,Stockton/San Joaquin County CoC,Sheltered and Unsheltered Count,2540.0,2293.0,247.0,1538.0,1002.0,286.0,112.0,
2011,CA-512,Daly/San Mateo County CoC,Sheltered and Unsheltered Count,1926.0,764.0,1162.0,1425.0,501.0,486.0,324.0,
2011,CA-513,"Visalia/Kings, Tulare Counties CoC",Sheltered and Unsheltered Count,804.0,457.0,347.0,640.0,164.0,67.0,36.0,
2011,CA-514,Fresno City & County/Madera County CoC,Sheltered and Unsheltered Count,5135.0,1313.0,3822.0,3710.0,1425.0,654.0,619.0,
2011,CA-515,"Roseville, Rocklin/Placer County CoC",Sheltered and Unsheltered Count,821.0,466.0,355.0,544.0,277.0,101.0,74.0,
2011,CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Sheltered and Unsheltered Count,527.0,356.0,171.0,403.0,124.0,62.0,46.0,
2011,CA-517,Napa City & County CoC,Sheltered and Unsheltered Count,230.0,138.0,92.0,171.0,59.0,52.0,18.0,
2011,CA-518,Vallejo/Solano County CoC,Sheltered and Unsheltered Count,569.0,334.0,235.0,376.0,193.0,122.0,41.0,
2011,CA-519,"Chico, Paradise/Butte County CoC",Sheltered and Unsheltered Count,897.0,357.0,540.0,753.0,144.0,258.0,117.0,
2011,CA-520,Merced City & County CoC,Sheltered and Unsheltered Count,486.0,187.0,299.0,460.0,26.0,261.0,43.0,
2011,CA-521,"Davis, Woodland/Yolo County CoC",Sheltered and Unsheltered Count,468.0,205.0,263.0,350.0,118.0,187.0,50.0,
2011,CA-522,Humboldt County CoC,Sheltered and Unsheltered Count,861.0,407.0,454.0,599.0,262.0,306.0,99.0,
