"coc_year","state","state_abbr","coc_number","coc_name","year","estimated_coc_population","contributing_counties","contains_split_county_flag","population_allocation_method","log_estimated_coc_population","coc_land_area_sq_miles","population_density_per_sq_mile_derived","housing_units_per_1000_residents","permits_per_1000_residents","permits_per_1000_housing_units","multifamily_permit_share_pct","real_median_household_income_2025_usd","real_per_capita_personal_income_2025_usd","real_median_home_sale_price_2025_usd","real_state_minimum_wage_2025_usd","real_gdp_per_capita_2017_usd","population_change","births","deaths","natural_change","international_migration","domestic_migration","net_migration","group_quarters_population","birth_rate_per_1000","death_rate_per_1000","natural_change_rate_per_1000","international_migration_rate_per_1000","domestic_migration_rate_per_1000","net_migration_rate_per_1000","housing_units","permits_one_unit_units","permits_two_unit_units","permits_three_four_unit_units","permits_five_plus_unit_units","permits_total_units_authorized","permits_total_value_authorized","permits_total_reported_units","poverty_all_estimate","poverty_all_ci_low","poverty_all_ci_high","poverty_all_pct","poverty_all_pct_ci_low","poverty_all_pct_ci_high","poverty_child_estimate","poverty_child_ci_low","poverty_child_ci_high","poverty_child_pct","poverty_child_pct_ci_low","poverty_child_pct_ci_high","poverty_age_5_17_estimate","poverty_age_5_17_pct","median_household_income","median_household_income_ci_low","median_household_income_ci_high","civilian_labor_force","employed_people","unemployed_people","unemployment_rate_pct","bea_personal_income_thousands_usd","bea_population","bea_per_capita_personal_income_usd","bea_real_gdp_thousands_2017_usd","bea_real_gdp_quantity_index","bea_current_gdp_thousands_usd","annual_hpi_change_pct","hpi","hpi_1990_base","hpi_2000_base","high_school_graduate_or_higher_pct_age_18plus","homeownership_rate_pct","housing_cost_burdened_households_pct","income_inequality_top_bottom_quintile_ratio","state_minimum_wage_usd_per_hour","medicaid_expansion_status","housing_units_per_capita","population_density_per_sq_mile","permits_total_units_per_1000_population","population_growth_rate_pct","housing_supply_growth_rate_pct","foreclosure_rate_per_100_mortgages","median_home_sale_price_annual_avg_usd"
"CA-500 | 2010","California","CA","CA-500","San Jose/Santa Clara City & County CoC",2010,1786040,1,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",14.3955119964821,1298.43925136383,1375.52834922698,353.933842467134,2.31349801796152,6.53652671876483,79.6466602129719,124941.07401605,89853.5775307029,,11.8109893075307,95122.0412677658,,5868,2168,,2690,-2007,683,30048,,,,,,,632140,814,4,23,3291,4132,745488807,4011,186051,173255,198847,10.6,9.9,11.3,56661,51333,61989,13.3,12,14.6,38002,12.6,84627,82907,86347,927405,829964,97441,10.5,108733666,1786576,60861,169942756,60.583,165967271,-0.01,1317.35,214.35,127.49,86.3,61.6156754173928,43.0828836071603,14.4618514213252,8,0,0.353933842,1383.36467650439,2.31349801796152,,,,
"CA-500 | 2011","California","CA","CA-500","San Jose/Santa Clara City & County CoC",2011,1812054,1,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",14.4099721183253,1298.43925136383,1395.56317178235,350.955324730941,1.69145069628168,4.81956128626464,66.6557911908646,121300.952496066,94009.2759724237,,11.4514534873146,102326.681247035,,24027,9158,,14153,-2964,11189,29674,13.35540428,5.0904729,,7.866942887,-1.647538947,6.21940394,635950,970,2,50,2043,3065,700940177,3064,190005,178932,201078,10.7,10.1,11.3,53621,48596,58646,12.6,11.4,13.8,36750,12.1,84741,83335,86147,936148,849025,87123,9.3,119185630,1814769,65675,185699289,66.2,181388910,-3.17,1275.55,207.55,123.44,86.5,60.6596576810987,42.463427332773,14.6929701686122,8,0,0.350955324730941,1403.51363660304,1.69145069628168,1.45651833105642,0.602714588540509,,
"CA-500 | 2012","California","CA","CA-500","San Jose/Santa Clara City & County CoC",2012,1837853,1,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",14.4241091445751,1298.43925136383,1415.43241092688,347.532691678823,2.98772535126585,8.59696202056006,71.7719905299581,127888.049106688,100515.420886792,,11.2188649909919,105752.649100958,,23420,9308,,13618,-1564,12054,30119,12.8332037,5.100403928,,7.462107939,-0.857008137,6.605099801,638714,1460,28,62,3941,5491,1052185988,5479,195277,183763,206791,10.8,10.2,11.4,54064,48961,59167,12.6,11.4,13.8,38200,12.5,91195,89948,92442,955679,880129,75550,7.9,132084416,1842795,71676,194880453,69.473,191533411,2.81,1311.45,213.39,126.92,86.5,59.7929285197627,41.8084567880404,14.978749870426,8,0,0.347532691678823,1423.49606996911,2.98772535126585,1.42374344252434,0.434625363629215,,
"CA-500 | 2013","California","CA","CA-500","San Jose/Santa Clara City & County CoC",2013,1866425,1,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",14.4395359301538,1298.43925136383,1437.43729099346,344.955195092222,4.08320720093226,11.8369204436554,75.5543891877706,126935.932512361,98927.7373057257,,11.0567758032609,115131.70767898,,24177,9437,,16301,-2156,14145,30475,13.05355592,5.09518994,,8.80117529,-1.164059501,7.637115789,643833,1729,30,104,5758,7621,1613258474,7621,191898,179962,203834,10.5,9.8,11.2,55624,50205,61043,12.9,11.6,14.2,37118,12,91843,90443,93243,969065,905754,63311,6.5,134103796,1873543,71578,215704205,76.897,212929778,11.65,1464.24,238.25,141.7,86.5,58.9589265755671,40.8831320079716,15.5191371275983,8,0,0.344955195092222,1445.62631091393,4.08320720093226,1.55464011539552,0.801454172,,
"CA-500 | 2014","California","CA","CA-500","San Jose/Santa Clara City & County CoC",2014,1891753,1,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",14.4530149989988,1298.43925136383,1456.94378694496,344.137950356098,5.25015686508757,15.255965985893,80.7188884414015,132229.959402273,104788.084245151,,12.2411219475664,121730.900896541,,23416,9434,,19269,-7612,11657,30966,12.46135761,5.020517921,,10.25443712,-4.050899133,6.203537991,651024,1756,10,149,8017,9932,1867632995,9424,159553,146664,172442,8.5,7.8,9.2,40118,34171,46065,9.3,7.9,10.7,27769,8.9,97219,95336,99102,988666,937048,51618,5.2,146464866,1901084,77043,231420668,82.5,229218264,13.89,1667.57,271.33,161.38,86.8,58.2514256905118,39.991412352949,15.7562861678701,9,1,0.344137950356098,1465.24393455422,5.25015686508757,1.35703283,1.11690453890994,,
"CA-500 | 2015","California","CA","CA-500","San Jose/Santa Clara City & County CoC",2015,1916285,1,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",14.4658994956845,1298.43925136383,1475.83723919869,344.643933444138,2.90666576213872,8.43382250513297,67.8456014362657,138824.331262993,113783.487175248,,12.226311332377,130748.33777527,,23693,9894,,22124,-11266,10858,30900,12.44367835,5.196376717,,11.61963195,-5.916957761,5.702674186,660436,1685,12,94,3779,5570,1322181022,5570,156430,144514,168346,8.3,7.7,8.9,38654,33753,43555,9,7.9,10.1,26474,8.5,102191,100870,103512,1012676,970507,42169,4.2,161471908,1927838,83758,252061614,89.858,251565966,8.19,1804.12,293.55,174.6,87,58.1101075278196,38.8716713616102,16.0650345070777,9,1,0.344643933,1484.24502201251,2.90666576213872,1.29678663123569,1.44572243112389,,
"CA-500 | 2016","California","CA","CA-500","San Jose/Santa Clara City & County CoC",2016,1928368,1,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",14.4721851258814,1298.43925136383,1485.14302688749,345.178409930055,2.96053450378766,8.5768240962335,68.9963215974777,148693.410278019,120855.065501268,,13.4147767813952,137655.877102127,,23219,10108,,19970,-21024,-1054,30499,12.07859331,5.258211859,,10.38845378,-10.93674774,-0.548293955,665631,1646,14,110,3939,5709,1176448150,5705,175627,163575,187679,9.3,8.7,9.9,44669,39974,49364,10.4,9.3,11.5,30056,9.7,110843,109222,112464,1012114,972804,39310,3.9,175007448,1942556,90091,267404250,95.328,266748660,9.71,1979.25,322.05,191.54,87.1,57.8959769863363,38.0307415812282,16.2159810509015,10,1,0.345178409930055,1493.60382438323,2.96053450378766,0.630542951596458,0.786601578351265,,
"CA-500 | 2017","California","CA","CA-500","San Jose/Santa Clara City & County CoC",2017,1932510,1,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",14.4743307515362,1298.43925136383,1488.33301055107,347.218901842681,4.12313519723054,11.8747429225459,73.6069277108434,155605.531334246,128245.710811469,,13.7915561924704,143927.750994372,,22639,10225,,17926,-26261,-8335,30490,11.72738429,5.296722663,,9.285970704,-13.60364145,-4.317670747,671004,2023,12,68,5865,7968,1734780409,7947,142603,130922,154284,7.5,6.9,8.1,34255,29855,38655,8.1,7.1,9.1,24654,8,118468,115818,121118,1020707,986771,33936,3.3,190293049,1948968,97638,280510581,100,280510581,4.04,2059.24,335.06,199.29,87.6,58.2728083469309,37.2708800505153,16.10416950848,10.5,1,0.347218901842681,1496.81198124986,4.12313519723054,0.21479302705707,0.80720399140064,,
"CA-500 | 2018","California","CA","CA-500","San Jose/Santa Clara City & County CoC",2018,1932337,1,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",14.4742412266931,1298.43925136383,1488.199773667,351.099213025471,4.23890863757202,12.0732501820347,76.1323403735808,161472.360946738,136620.596120444,,14.1042933179875,155003.002553554,,21826,10727,,13262,-24573,-11311,30789,11.29462564,5.551060624,,6.86288487,-12.71615668,-5.853271811,678442,1915,20,20,6236,8191,1849046157,8191,139074,127269,150879,7.3,6.7,7.9,29633,23964,35302,7.1,5.7,8.5,21099,6.9,125933,123281,128585,1022127,994358,27769,2.7,207881196,1951006,106551,302411788,107.808,301321537,11.81,2302.51,374.64,222.83,88.1,58.2194569560017,36.7007081265957,16.3261064401861,11,1,0.351099213025471,1496.67798532086,4.23890863757202,-0.008952088,1.10848817592741,,
"CA-500 | 2019","California","CA","CA-500","San Jose/Santa Clara City & County CoC",2019,1927852,1,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",14.4719175064326,1298.43925136383,1484.74562670149,355.974421273002,2.85084124714968,8.00855644895711,64.6288209606987,166796.370807791,141771.373946313,,15.1124735714226,163091.24644499,,21713,11258,,13409,-28421,-15012,30212,11.24970824,5.832875022,,6.947328227,-14.72518574,-7.777857509,686266,1876,22,46,3552,5496,1301592338,5496,116401,105726,127076,6.1,5.5,6.7,22559,17795,27323,5.5,4.3,6.7,16217,5.4,132444,129361,135527,1026809,1000125,26684,2.6,218812289,1943736,112573,317006327,113.01,318495343,-1.89,2259.07,367.58,218.62,88.4,57.98529346,35.8889188185471,16.3973560188513,12,1,0.355974421273002,1493.20416022505,2.85084124714968,-0.232102371,1.15323048985765,,
"CA-500 | 2020","California","CA","CA-500","San Jose/Santa Clara City & County CoC",2020,1931349,1,0,"FY2024 CoC boundaries and ACS 2024 tract-population shares",14.4737297982229,1298.43925136383,1487.43886013257,356.987784186079,2.77370894644106,7.76975871251458,74.8179951465372,173461.287862589,152073.093902334,,14.9254668250209,175137.25983244,-4925,4895,2681,2214,191,-7022,-6831,39322,,,,,,,689468,1322,8,19,4008,5357,1011536845,4821,123516,110546,136486,6.6,5.9,7.3,25805,20981,30629,6.5,5.3,7.7,18923,6.5,139462,136115,142809,1000544,927766,72778,7.3,235337536,1924802,122266,337104548,120.175,341168867,-2.96,2192.11,356.68,212.14,88.7,58.0814620740644,35.5269047683987,16.2224340285565,12,1,0.356987784186079,1495.91273689396,2.77370894644106,,,,
