"coc_year","state","state_abbr","year","coc_number","coc_name","count_type","total_homeless","homeless_rate_per_10k_estimated","sheltered_homeless","unsheltered_homeless","unsheltered_share_pct","homeless_individuals","homeless_people_in_families","chronically_homeless_individuals","homeless_veterans","homeless_unaccompanied_youth_under_25","pit_count_caution_flag","estimated_coc_population","population_denominator_status"
"CA-500 | 2010","California","CA",2010,"CA-500","San Jose/Santa Clara City & County CoC","No 2010 PIT Count",7086,39.6743633961165,2103,4983,70.3217612193057,6078,1008,2270,,,0,1786040,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2011","California","CA",2011,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered and Unsheltered Count",7067,38.999941502847,1898,5169,73.1427762841375,6450,617,2520,667,,0,1812054,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2012","California","CA",2012,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered-Only Count",7053,38.3763010425752,1884,5169,73.2879625691195,6270,783,2617,667,,0,1837853,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2013","California","CA",2013,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered and Unsheltered Count",7631,40.8856503743788,1957,5674,74.3546062115057,6564,1067,2509,718,,0,1866425,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2014","California","CA",2014,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered-Only Count",7567,39.9999365667717,1893,5674,74.9834809039249,6681,886,2513,813,,0,1891753,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2015","California","CA",2015,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered and Unsheltered Count",6556,34.2120300477225,1929,4627,70.5765710799268,5648,908,2169,703,882,0,1916285,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2016","California","CA",2016,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered-Only Count",6524,33.8317167677539,1897,4627,70.9227467811159,5585,939,2095,701,885,0,1928368,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2017","California","CA",2017,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered and Unsheltered Count",7394,38.2611215465897,1946,5448,73.6813632675142,6319,1075,2018,660,2530,0,1932510,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2018","California","CA",2018,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered-Only Count",7254,37.5400357184073,1806,5448,75.1033912324235,6267,987,2056,658,2517,0,1932337,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2019","California","CA",2019,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered and Unsheltered Count",9706,50.3461884003544,1784,7922,81.6196167319184,8785,921,2353,653,1868,0,1927852,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2020","California","CA",2020,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered-Only Count",9605,49.7320784591495,1683,7922,82.4778761061947,8802,803,2381,613,1848,0,1931349,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2021","California","CA",2021,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered-Only Count",2301,12.2229257679036,2301,0,,1650,651,872,167,85,1,1882528,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2022","California","CA",2022,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered and Unsheltered Count",10028,53.3361416184126,2320,7708,76.8647786198644,9130,898,2703,660,1155,0,1880151,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2023","California","CA",2023,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered and Unsheltered Count",9903,52.3863758393167,2502,7401,74.7349288094517,8677,1226,3485,479,764,0,1890377,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2024","California","CA",2024,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered-Only Count",10394,54.4784607240383,2993,7401,71.2045410813931,9019,1375,3710,450,772,0,1907910,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2025","California","CA",2025,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered and Unsheltered Count",10711,55.9499078296962,3239,7472,69.7600597516572,9032,1679,4097,378,349,0,1914391,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2010","California","CA",2010,"CA-501","San Francisco CoC","No 2010 PIT Count",5823,72.290054065462,2881,2942,50.5237849905547,5309,514,2816,,,0,805505,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2011","California","CA",2011,"CA-501","San Francisco CoC","Sheltered and Unsheltered Count",5669,69.5028504873414,2298,3371,59.4637502204974,5034,635,1738,919,,0,815650,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2012","California","CA",2012,"CA-501","San Francisco CoC","Sheltered and Unsheltered Count",5895,71.1204088428185,2524,3371,57.1840542832909,5177,718,1818,774,,0,828876,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2013","California","CA",2013,"CA-501","San Francisco CoC","Sheltered and Unsheltered Count",7008,83.4711019424183,2693,4315,61.5724885844749,6329,679,1977,716,,0,839572,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2014","California","CA",2014,"CA-501","San Francisco CoC","Sheltered-Only Count",6408,75.321774904496,2093,4315,67.3377028714107,5776,632,2136,720,,0,850750,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2015","California","CA",2015,"CA-501","San Francisco CoC","Sheltered and Unsheltered Count",6775,78.5043047009884,2417,4358,64.3247232472325,6175,600,1574,557,1473,0,863010,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2016","California","CA",2016,"CA-501","San Francisco CoC","Sheltered-Only Count",6996,80.2742819375981,2638,4358,62.292738707833,6309,687,1805,580,1488,0,871512,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2017","California","CA",2017,"CA-501","San Francisco CoC","Sheltered and Unsheltered Count",6858,78.1057810578106,2505,4353,63.4733158355206,6257,601,2112,684,1274,0,878040,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2018","California","CA",2018,"CA-501","San Francisco CoC","Sheltered-Only Count",6857,77.8588752532088,2504,4353,63.4825725535949,6211,646,1732,656,1292,0,880696,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2019","California","CA",2019,"CA-501","San Francisco CoC","Sheltered and Unsheltered Count",8035,91.1463798382166,2855,5180,64.4679527069073,7404,631,2855,608,1145,0,881549,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2020","California","CA",2020,"CA-501","San Francisco CoC","Sheltered-Only Count",8124,92.8309674234607,2944,5180,63.7616937469227,7609,515,2754,699,1178,0,875139,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2021","California","CA",2021,"CA-501","San Francisco CoC","Sheltered-Only Count",4000,49.0094576000804,4000,0,,3411,589,1600,333,179,1,816169,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2022","California","CA",2022,"CA-501","San Francisco CoC","Sheltered and Unsheltered Count",7754,95.3439588031468,3357,4397,56.706216146505,7149,605,2648,605,1073,0,813266,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2023","California","CA",2023,"CA-501","San Francisco CoC","Sheltered-Only Count*",7582,92.8113439895413,3185,4397,57.9926140859931,6958,624,2487,548,1113,0,816926,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2024","California","CA",2024,"CA-501","San Francisco CoC","Sheltered and Unsheltered Count",8323,101.383162087594,3969,4354,52.3128679562658,7220,1103,2899,587,1118,0,820945,"Estimated from county population allocated with ACS 2024 tract shares"
