"state","state_abbr","county_fips","county_name","coc_number","coc_name","allocated_tract_population_2024","county_tract_population_2024","county_population_share","assigned_tract_count","nearest_boundary_fallback_tract_count","max_nearest_boundary_distance_km","split_county_flag"
"California","CA","06001","Alameda County","CA-502","Oakland, Berkeley/Alameda County CoC",1649473,1649473,1,379,7,3.37114262789336,0
"California","CA","06003","Alpine County","CA-530","Alpine, Inyo, Mono Counties CoC",1616,1616,1,1,0,0,0
"California","CA","06005","Amador County","CA-526","Amador, Calaveras, Mariposa, Tuolumne Counties CoC",41428,41428,1,10,0,0,0
"California","CA","06007","Butte County","CA-519","Chico, Paradise/Butte County CoC",207929,207929,1,54,0,0,0
"California","CA","06009","Calaveras County","CA-526","Amador, Calaveras, Mariposa, Tuolumne Counties CoC",46248,46248,1,14,0,0,0
"California","CA","06011","Colusa County","CA-523","Colusa, Glenn, Trinity Counties CoC",21984,21984,1,6,0,0,0
"California","CA","06013","Contra Costa County","CA-505","Contra Costa County CoC",1165012,1165012,1,242,3,0.817756913572367,0
"California","CA","06015","Del Norte County","CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",27107,27107,1,9,3,4.13395033513688,0
"California","CA","06017","El Dorado County","CA-525","El Dorado County CoC",192662,192662,1,55,0,0,0
"California","CA","06019","Fresno County","CA-514","Fresno City & County/Madera County CoC",1016725,1016725,1,225,0,0,0
"California","CA","06021","Glenn County","CA-523","Colusa, Glenn, Trinity Counties CoC",28494,28494,1,8,0,0,0
"California","CA","06023","Humboldt County","CA-522","Humboldt County CoC",134541,134541,1,36,2,2.97706295709908,0
"California","CA","06025","Imperial County","CA-613","Imperial County CoC",180202,180202,1,40,0,0,0
"California","CA","06027","Inyo County","CA-530","Alpine, Inyo, Mono Counties CoC",18739,18739,1,6,0,0,0
"California","CA","06029","Kern County","CA-604","Bakersfield/Kern County CoC",915075,915075,1,236,0,0,0
"California","CA","06031","Kings County","CA-513","Visalia/Kings, Tulare Counties CoC",153298,153298,1,31,0,0,0
"California","CA","06033","Lake County","CA-529","Lake County CoC",68152,68152,1,21,0,0,0
"California","CA","06035","Lassen County","CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",30356,30356,1,9,0,0,0
"California","CA","06037","Los Angeles County","CA-600","Los Angeles City & County CoC",9023013,9808667,0.919902062125261,2310,9,3.92404317634424,1
"California","CA","06037","Los Angeles County","CA-606","Long Beach CoC",457406,9808667,0.0466328401198654,112,6,0.954272585711499,1
"California","CA","06037","Los Angeles County","CA-612","Glendale CoC",190748,9808667,0.019446883047411,42,0,0,1
"California","CA","06037","Los Angeles County","CA-607","Pasadena CoC",137500,9808667,0.0140182147074623,34,0,0,1
"California","CA","06039","Madera County","CA-514","Fresno City & County/Madera County CoC",160940,160940,1,34,0,0,0
"California","CA","06041","Marin County","CA-507","Marin County CoC",257969,257969,1,63,4,2.44045253828078,0
"California","CA","06043","Mariposa County","CA-526","Amador, Calaveras, Mariposa, Tuolumne Counties CoC",17082,17082,1,6,0,0,0
"California","CA","06045","Mendocino County","CA-509","Mendocino County CoC",90244,90244,1,24,1,3.17629121432755,0
"California","CA","06047","Merced County","CA-520","Merced City & County CoC",290201,290201,1,63,0,0,0
"California","CA","06049","Modoc County","CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",8600,8600,1,4,0,0,0
"California","CA","06051","Mono County","CA-530","Alpine, Inyo, Mono Counties CoC",13148,13148,1,4,0,0,0
"California","CA","06053","Monterey County","CA-506","Salinas/Monterey, San Benito Counties CoC",437613,437613,1,104,1,2.94881971160191,0
"California","CA","06055","Napa County","CA-517","Napa City & County CoC",134869,134869,1,40,0,0,0
"California","CA","06057","Nevada County","CA-531","Nevada County CoC",102481,102481,1,26,0,0,0
"California","CA","06059","Orange County","CA-602","Santa Ana, Anaheim/Orange County CoC",3165820,3165820,1,614,5,3.69791466770703,0
"California","CA","06061","Placer County","CA-515","Roseville, Rocklin/Placer County CoC",419156,419156,1,92,0,0,0
"California","CA","06063","Plumas County","CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",19423,19423,1,7,0,0,0
"California","CA","06065","Riverside County","CA-608","Riverside City & County CoC",2478600,2478600,1,518,0,0,0
"California","CA","06067","Sacramento County","CA-503","Sacramento City & County CoC",1594006,1594006,1,363,0,0,0
"California","CA","06069","San Benito County","CA-506","Salinas/Monterey, San Benito Counties CoC",67290,67290,1,12,0,0,0
"California","CA","06071","San Bernardino County","CA-609","San Bernardino City & County CoC",2197104,2197104,1,466,0,0,0
