"state","state_abbr","coc_number","coc_name","predictor_year","target_year","target_total_homeless","target_estimated_coc_population","target_homeless_rate_per_10k","state_florida","time_index","log_estimated_coc_population","population_density_per_sq_mile_derived","housing_units_per_1000_residents","permits_per_1000_housing_units","multifamily_permit_share_pct","net_migration_rate_per_1000","poverty_all_pct","real_median_household_income_2025_usd","homeownership_rate_pct","housing_cost_burdened_households_pct","income_inequality_top_bottom_quintile_ratio","annual_hpi_change_pct","real_gdp_per_capita_2017_usd","real_state_minimum_wage_2025_usd","medicaid_expansion_status","contains_split_county_flag","contributing_counties","population_allocation_method","target_definition"
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2011,2012,7053,1837853,38.3763010425752,0,1,14.4099721183253,1395.56317178235,350.955324730941,4.81956128626464,66.6557911908646,6.21940394,10.7,121300.952496066,60.6596576810987,42.463427332773,14.6929701686122,-3.17,102326.681247035,11.4514534873146,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2012,2013,7631,1866425,40.8856503743788,0,2,14.4241091445751,1415.43241092688,347.532691678823,8.59696202056006,71.7719905299581,6.605099801,10.8,127888.049106688,59.7929285197627,41.8084567880404,14.978749870426,2.81,105752.649100958,11.2188649909919,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2013,2014,7567,1891753,39.9999365667717,0,3,14.4395359301538,1437.43729099346,344.955195092222,11.8369204436554,75.5543891877706,7.637115789,10.5,126935.932512361,58.9589265755671,40.8831320079716,15.5191371275983,11.65,115131.70767898,11.0567758032609,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2014,2015,6556,1916285,34.2120300477225,0,4,14.4530149989988,1456.94378694496,344.137950356098,15.255965985893,80.7188884414015,6.203537991,8.5,132229.959402273,58.2514256905118,39.991412352949,15.7562861678701,13.89,121730.900896541,12.2411219475664,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2015,2016,6524,1928368,33.8317167677539,0,5,14.4658994956845,1475.83723919869,344.643933444138,8.43382250513297,67.8456014362657,5.702674186,8.3,138824.331262993,58.1101075278196,38.8716713616102,16.0650345070777,8.19,130748.33777527,12.226311332377,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2016,2017,7394,1932510,38.2611215465897,0,6,14.4721851258814,1485.14302688749,345.178409930055,8.5768240962335,68.9963215974777,-0.548293955,9.3,148693.410278019,57.8959769863363,38.0307415812282,16.2159810509015,9.71,137655.877102127,13.4147767813952,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2017,2018,7254,1932337,37.5400357184073,0,7,14.4743307515362,1488.33301055107,347.218901842681,11.8747429225459,73.6069277108434,-4.317670747,7.5,155605.531334246,58.2728083469309,37.2708800505153,16.10416950848,4.04,143927.750994372,13.7915561924704,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2018,2019,9706,1927852,50.3461884003544,0,8,14.4742412266931,1488.199773667,351.099213025471,12.0732501820347,76.1323403735808,-5.853271811,7.3,161472.360946738,58.2194569560017,36.7007081265957,16.3261064401861,11.81,155003.002553554,14.1042933179875,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2019,2020,9605,1931349,49.7320784591495,0,9,14.4719175064326,1484.74562670149,355.974421273002,8.00855644895711,64.6288209606987,-7.777857509,6.1,166796.370807791,57.98529346,35.8889188185471,16.3973560188513,-1.89,163091.24644499,15.1124735714226,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2021,2022,10028,1880151,53.3361416184126,0,11,14.448126643584,1449.83910338714,368.851353074164,5.8239591689193,51.6073194856578,-27.29453519,6.9,167722.965626143,58.2500275474541,34.9543378275713,16.4148969340031,4.85,202199.871161463,15.4461823955615,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2022,2023,9903,1890377,52.3863758393167,0,12,14.4468631826017,1448.00844400319,371.745673618768,12.9825535312145,60.3041657482918,-5.997854188,7.5,165589.668198673,58.057527750973,34.51456783,17.1516389487567,15.71,195368.635836855,15.4034853675129,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2023,2024,10394,1907910,54.4784607240383,0,13,14.4522873670385,1455.88405311563,372.150105508055,8.29277445472947,69.4377785395955,1.295309304,7.6,163328.284178065,57.8763599769551,34.6354284395904,17.196520718104,6.24,198309.707206174,16.377947020243,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2024,2025,10711,1914391,55.9499078296962,0,14,14.4615194842001,1469.3871877302,370.918963682773,5.41770291657246,48.8784559207094,5.082817597,7.1,171382.855051123,57.8072693583254,35.0677629327234,17.8562672197629,5.34,207212.999364074,16.4214875725696,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2011,2012,5895,828876,71.1204088428185,0,1,13.6117418463798,17197.5167712483,463.175381597499,4.81220999023264,95.4895489548955,8.596340264,13.8,99275.5131449025,43.584482181149,42.9863907981398,23.0559173042487,-4.92,136274.054396479,11.4514534873146,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2012,2013,7008,839572,83.4711019424183,0,2,13.6278270515773,17476.3794658067,458.236213860698,8.13277833505783,97.5720297831013,11.84414232,14.9,101100.204224447,43.2513836457258,43.3430830567203,24.3255480607083,3.22,147028.879273981,11.2188649909919,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2013,2014,6408,850750,75.321774904496,0,3,13.640648708241,17701.898547993,456.319410366234,11.6780166687113,97.228430934287,8.732666526,13.8,106328.866609033,42.7632493696145,43.0140219810504,24.8226683396069,11.04,151532.981605657,11.0567758032609,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2014,2015,6775,863010,78.5043047009884,0,4,13.6538747677959,17937.5803262913,455.51101968851,6.99565964606246,95.0202877167097,9.006567979,12.1,113962.125082522,42.763672297193,42.0828678695141,25.1212717141921,15.86,161416.128752203,12.2411219475664,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2015,2016,6996,871512,80.2742819375981,0,5,13.6681827162184,18196.0754597622,452.050381803224,9.39444894443818,94.8976807639836,10.1997946,12.4,122979.031776233,42.5830733072515,40.5478723248764,26.3084855866829,10.81,171066.894020404,12.226311332377,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2016,2017,6858,878040,78.1057810578106,0,6,13.6779860606411,18375.3352986504,451.522182138628,10.3860922423235,95.42451676046,5.9820515393,10.2,136660.355505108,42.8429102526726,38.8342383918296,26.7734999611892,10.49,182365.772038746,13.4147767813952,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2017,2018,6857,880696,77.8588752532088,0,7,13.6854485685657,18512.9744692293,452.685526855269,10.1490404452093,97.5706494794249,3.7952573,10.1,143958.890500091,43.3858440319685,36.9553171269513,26.3579638752052,4.63,196595.541064685,13.7915561924704,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
