state_year_county,data_status_note,state_fips,county_fips,fips,state,county_name,year,population,population_change,births,deaths,natural_change,international_migration,domestic_migration,net_migration,group_quarters_population,birth_rate_per_1000,death_rate_per_1000,natural_change_rate_per_1000,international_migration_rate_per_1000,domestic_migration_rate_per_1000,net_migration_rate_per_1000,housing_units,permits_one_unit_units,permits_two_unit_units,permits_three_four_unit_units,permits_five_plus_unit_units,permits_total_units_authorized,permits_total_value_authorized,permits_total_reported_units,poverty_all_estimate,poverty_all_ci_low,poverty_all_ci_high,poverty_all_pct,poverty_all_pct_ci_low,poverty_all_pct_ci_high,poverty_child_estimate,poverty_child_ci_low,poverty_child_ci_high,poverty_child_pct,poverty_child_pct_ci_low,poverty_child_pct_ci_high,poverty_age_5_17_estimate,poverty_age_5_17_pct,median_household_income,median_household_income_ci_low,median_household_income_ci_high,civilian_labor_force,employed_people,unemployed_people,unemployment_rate_pct,bea_personal_income_thousands_usd,bea_population,bea_per_capita_personal_income_usd,bea_real_gdp_thousands_2017_usd,bea_real_gdp_quantity_index,bea_current_gdp_thousands_usd,annual_hpi_change_pct,hpi,hpi_1990_base,hpi_2000_base
California | Alameda County | 2010,,06,001,06001,California,Alameda County,2010,1512986,,4879,2153,,1687,-1592,95,37446,,,,,,,582867,879,44,29,775,1727,397632529,1699,200273,185384,215162,13.5,12.5,14.5,57722,51479,63965,17.2,15.3,19.1,40580,17,66937,65510,68364,783073,696994,86079,11,72075011,1513413,47624,97503433,74.755,88040021,-0.95,1113.82,200.75,136.99
California | Alameda County | 2011,,06,001,06001,California,Alameda County,2011,1530915,,19220,9076,,9020,-1206,7814,37394,12.628531611,5.9634002551,,5.9266053659,-0.792404221,5.1342011452,584528,820,26,23,1303,2172,516025562,2142,198382,185035,211729,13.2,12.3,14.1,56573,51002,62144,16.8,15.1,18.5,37420,15.6,67295,65680,68910,783564,704558,79006,10.1,77301332,1532981,50425,99901787,76.594,91204292,-5.24,1055.42,190.22,129.81
California | Alameda County | 2012,,06,001,06001,California,Alameda County,2012,1553764,,18979,9207,,9087,4019,13106,36524,12.305332257,5.9695028235,,5.8916989418,2.6057816713,8.4974806131,586639,1373,104,47,1221,2745,758613275,2697,200101,189366,210836,13.1,12.4,13.8,58641,53903,63379,17.3,15.9,18.7,39621,16.4,70209,68893,71525,796119,726694,69425,8.7,81435436,1557493,52286,103075886,79.028,95914097,0.82,1064.1,191.79,130.88
California | Alameda County | 2013,,06,001,06001,California,Alameda County,2013,1579593,,19469,9620,,10177,5725,15902,36528,12.426927414,6.1403791525,,6.495908382,3.6542277181,10.1501361,589352,1391,84,14,1592,3081,796597852,2895,201303,189228,213378,13,12.2,13.8,52179,47057,57301,15.4,13.9,16.9,37025,15.3,72128,70566,73690,800580,742070,58510,7.3,85777177,1584943,54120,106957044,82.003,100944214,13.74,1210.34,218.15,148.86
California | Alameda County | 2014,,06,001,06001,California,Alameda County,2014,1607792,,19496,9248,,11514,6320,17834,37084,12.233225669,5.8028760253,,7.2247312452,3.9656332699,11.190364515,592396,1613,4,41,1780,3438,889511669,3438,197984,186953,209015,12.5,11.8,13.2,48750,43470,54030,14.3,12.8,15.8,33524,13.8,76996,75788,78204,807190,759594,47596,5.9,92038123,1614744,56999,111256132,85.299,106556287,15.94,1403.31,252.92,172.6
California | Alameda County | 2015,,06,001,06001,California,Alameda County,2015,1634538,,19489,9602,,14029,2849,16878,36747,12.021601749,5.9229011236,,8.6536533912,1.7573781817,10.411031573,595760,1905,14,75,3107,5101,1186659834,5101,184716,172690,196742,11.5,10.8,12.2,47108,41834,52382,13.8,12.3,15.3,32636,13.4,81462,80249,82675,819367,780345,39022,4.8,101231136,1643103,61610,119277959,91.45,116681306,9.3,1533.87,276.46,188.66
California | Alameda County | 2016,,06,001,06001,California,Alameda County,2016,1650950,,19503,9569,,12725,-6171,6554,36393,11.872208938,5.8250098615,,7.7461856504,-3.756519579,3.9896660709,600467,2398,22,85,3187,5692,1460017786,5335,173386,162673,184099,10.7,10,11.4,42498,37518,47478,12.4,10.9,13.9,30141,12.3,89472,87862,91082,878166,842046,36120,4.1,108327158,1661218,65209,123298691,94.532,122106447,11.43,1709.18,308.05,210.22
California | Alameda County | 2017,,06,001,06001,California,Alameda County,2017,1660196,,19594,9974,,11386,-11712,-326,36437,11.835177307,6.0245002788,,6.8773771981,-7.074287875,-0.196910677,605974,2595,26,144,6493,9258,2335440977,8718,152087,142181,161993,9.3,8.7,9.9,35658,31083,40233,10.5,9.2,11.8,24513,10.1,95550,93504,97596,885684,854374,31310,3.5,115789437,1671949,69254,130430017,100,130430017,7.03,1829.39,329.72,225
California | Alameda County | 2018,,06,001,06001,California,Alameda County,2018,1666756,,18497,10330,,8473,-10045,-1572,36410,11.119487146,6.20988821,,5.0935510942,-6.03856022,-0.945009125,615030,1965,58,209,5824,8056,2034825812,7338,147394,137363,157425,9,8.4,9.6,33305,28853,37757,9.8,8.5,11.1,22809,9.4,101744,100351,103137,888859,862930,25929,2.9,124671796,1680392,74192,135481671,103.873,137388106,8.99,1993.82,359.35,245.23
California | Alameda County | 2019,,06,001,06001,California,Alameda County,2019,1671329,,18628,10944,,8540,-11626,-3086,36951,11.160890151,6.5570529211,,5.1167061354,-6.965670437,-1.848964301,622922,1972,56,101,4273,6402,1485707291,5959,146315,135008,157622,8.9,8.2,9.6,32720,28023,37417,9.8,8.4,11.2,22189,9.2,107589,105354,109824,889297,864097,25200,2.8,134683858,1683879,79984,139438051,106.906,144158659,1.15,2016.67,363.47,248.04
California | Alameda County | 2020,,06,001,06001,California,Alameda County,2020,1680489,-1757,4374,2660,1714,160,-3826,-3666,53682,,,,,,,623339,1342,36,81,2661,4120,1157616092,3282,139636,124941,154331,8.6,7.7,9.5,29982,24183,35781,9.1,7.3,10.9,21299,8.9,113518,110514,116522,860047,787096,72951,8.5,148199107,1680614,88182,136209080,104.431,143534210,0,2016.74,363.49,248.05
California | Alameda County | 2021,,06,001,06001,California,Alameda County,2021,1644275,-36214,16770,11645,5125,4233,-43102,-38869,44443,10.08793406,7.005008476,3.082925585,2.546346147,-25.92785533,-23.38150918,629781,1368,54,62,3541,5025,1267192200,4872,152654,140318,164990,9.4,8.6,10.2,32470,27762,37178,9.9,8.5,11.3,25200,10.5,108971,106170,111772,848295,798842,49453,5.8,162177784,1643856,98657,145824780,111.803,156893980,9.81,2214.53,399.14,272.37
California | Alameda County | 2022,,06,001,06001,California,Alameda County,2022,1633138,-11137,16981,11038,5943,15793,-33560,-17767,50906,10.36244135,6.735800462,3.62664089,9.637479317,-20.47956727,-10.84208795,637679,1228,56,89,3703,5076,1054688504,4552,161918,152173,171663,10.1,9.5,10.7,32186,27511,36861,10.3,8.8,11.8,21718,9.4,121190,118039,124341,858860,831428,27432,3.2,163748943,1635693,100110,148762514,114.055,168731055,13.19,2506.65,451.78,308.3
California | Alameda County | 2023,,06,001,06001,California,Alameda County,2023,1633055,-83,16585,10868,5717,20121,-26253,-6132,50181,10.15555419,6.654842503,3.500711685,12.3207661,-16.07559627,-3.754830165,644987,975,42,38,1829,2884,771266437,2731,151872,138959,164785,9.5,8.7,10.3,28117,22066,34168,9,7.1,10.9,21236,9.2,119230,115954,122506,869167,836018,33149,3.8,171119975,1638142,104460,147576503,113.146,175675407,-0.29,2499.29,450.46,307.4
California | Alameda County | 2024,,06,001,06001,California,Alameda County,2024,1636624,3569,16179,10477,5702,19919,-22233,-2314,49839,9.896384324,6.40858017,3.487804155,12.18407067,-13.59950013,-1.415429466,650406,826,28,33,856,1743,469802380,1469,142324,130410,154238,8.8,8.1,9.5,24998,19695,30301,8,6.3,9.7,16854,7.3,128031,124696,131366,870727,832168,38559,4.4,183486862,1649060,111268,149073515,114.294,182539223,1.41,2534.52,456.81,311.73
California | Alameda County | 2025,2025 is complete only for sources that had published county data by 2026-07-24; blanks from lagged sources are not zero.,06,001,06001,California,Alameda County,2025,1636630,6,16073,10480,5593,10373,-15960,-5587,50793,9.820808284,6.403413851,3.417394434,6.338035484,-9.751763841,-3.413728357,655191,1117,40,17,1604,2778,828595616,2534,,,,,,,,,,,,,,,,,,873291,832615,40676,4.7,,,,,,,-1.91,2486.02,448.07,305.76
California | Alpine County | 2010,,06,003,06003,California,Alpine County,2010,1161,,2,4,,0,-13,-13,24,,,,,,,1760,4,0,0,0,4,1236638,4,196,150,242,16.9,12.9,20.9,77,58,96,29.2,21.9,36.5,51,26.7,44241,39968,48514,542,472,70,12.9,48691,1164,41831,94445,82.218,82178,-15.67,183.2,,124.17
California | Alpine County | 2011,,06,003,06003,California,Alpine County,2011,1093,,5,8,,0,-65,-65,24,4.4365572316,7.0984915705,,0,-57.67524401,-57.67524401,1761,3,0,0,0,3,1625233,3,191,146,236,17.4,13.3,21.5,61,46,76,29.3,22.3,36.3,40,25.3,46706,42096,51316,589,515,74,12.6,59552,1105,53893,106013,92.288,93437,-13.31,158.81,,107.64
California | Alpine County | 2012,,06,003,06003,California,Alpine County,2012,1110,,5,6,,0,17,17,24,4.5392646391,5.447117567,,0,15.433499773,15.433499773,1764,1,0,0,0,1,295805,1,217,174,260,19.3,15.4,23.2,66,51,81,29.1,22.4,35.8,44,23.5,46336,41770,50902,543,482,61,11.2,63498,1132,56094,105258,91.631,95001,2.59,162.92,,110.43
California | Alpine County | 2013,,06,003,06003,California,Alpine County,2013,1128,,6,7,,1,17,18,24,5.3619302949,6.2555853441,,0.8936550492,15.192135836,16.085790885,1765,0,0,0,0,0,0,0,227,178,276,19.7,15.5,23.9,76,59,93,31.9,24.7,39.1,48,23.8,49392,44466,54318,523,472,51,9.8,63059,1160,54361,101992,88.788,93880,5.42,171.75,,116.41
California | Alpine County | 2014,,06,003,06003,California,Alpine County,2014,1080,,6,9,,0,-46,-46,24,5.4347826087,8.152173913,,0,-41.66666667,-41.66666667,1764,3,0,0,0,3,1485659,3,211,164,258,19,14.7,23.3,62,47,77,28.2,21.4,35,40,21.7,53003,48227,57779,509,467,42,8.3,68364,1122,60930,109676,95.477,102992,17.2,201.28,,136.43
California | Alpine County | 2015,,06,003,06003,California,Alpine County,2015,1077,,5,12,,2,1,3,24,4.6360686138,11.126564673,,1.8544274455,0.9272137228,2.7816411683,1766,4,0,0,0,4,1953127,4,210,163,257,19,14.7,23.3,75,59,91,35.7,28,43.4,49,26.9,50882,45513,56251,548,508,40,7.3,71467,1128,63357,112863,98.251,109227,-8.73,183.72,,124.52
California | Alpine County | 2016,,06,003,06003,California,Alpine County,2016,1047,,3,8,,2,-26,-24,24,2.8248587571,7.5329566855,,1.8832391714,-24.48210923,-22.59887006,1769,2,0,0,0,2,429566,2,199,156,242,18.6,14.5,22.7,65,50,80,33.9,26.1,41.7,43,26.9,57481,51404,63558,411,375,36,8.8,77273,1110,69615,111940,97.448,110320,6.3,195.3,,132.37
California | Alpine County | 2017,,06,003,06003,California,Alpine County,2017,1111,,8,10,,1,66,67,24,7.4142724745,9.2678405931,,0.9267840593,61.167747915,62.094531974,1770,9,0,0,0,9,3368473,9,202,155,249,18.1,13.9,22.3,67,50,84,35.3,26.5,44.1,45,28.7,55755,49538,61972,406,371,35,8.6,80393,1183,67957,114872,100,114872,10.14,215.1,,145.79
California | Alpine County | 2018,,06,003,06003,California,Alpine County,2018,1089,,8,9,,1,-23,-22,24,7.2727272727,8.1818181818,,0.9090909091,-20.90909091,-20,1778,4,0,0,0,4,1256629,4,190,143,237,17.3,13,21.6,66,48,84,34.7,25.1,44.3,44,29.7,55384,49477,61291,400,375,25,6.3,85025,1157,73487,115488,100.537,118346,2.06,219.54,,148.8
California | Alpine County | 2019,,06,003,06003,California,Alpine County,2019,1129,,10,5,,1,35,36,24,9.0171325518,4.5085662759,,0.9017132552,31.559963931,32.461677187,1782,5,0,0,0,5,2313746,5,193,145,241,17.2,13,21.4,58,40,76,29.6,20.3,38.9,38,25.5,58112,50969,65255,394,366,28,7.1,93899,1198,78380,133602,116.305,140189,9.84,241.14,,163.44
