database,producer,category,geography,published_coverage_used,retrieval_date,access_method,exact_url_or_pattern,raw_files,important_limitation
County Population Estimates,U.S. Census Bureau PEP,Demographics,County,2010-2025,2026-07-24,Bulk CSV,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/counties/totals/co-est2019-alldata.csv | https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/counties/totals/co-est2025-alldata.csv,census_pep_co-est2019-alldata.csv | census_pep_co-est2025-alldata.csv,2010-2019 and 2020-2025 come from different Census vintages; do not compute a 2020 change across vintages without review.
County Housing Unit Estimates,U.S. Census Bureau PEP,Housing supply,County,2010-2025,2026-07-24,Bulk XLSX,https://www2.census.gov/programs-surveys/popest/tables/2010-2019/housing/totals/CO-EST2019-ANNHU.xlsx | https://www2.census.gov/programs-surveys/popest/tables/2020-2025/housing/totals/CO-EST2025-HU.xlsx,census_CO-EST2019-ANNHU.xlsx | census_CO-EST2025-HU.xlsx,Same Census-vintage boundary as population estimates.
Building Permits Survey,U.S. Census Bureau and HUD,Housing supply,County,2010-2025,2026-07-24,Annual bulk text files,https://www2.census.gov/econ/bps/County/coYYYYa.txt,census_bps_co2010a.txt through census_bps_co2025a.txt,"Permits are authorizations, not starts or completions; reported-place coverage fields are retained."
Small Area Income and Poverty Estimates,U.S. Census Bureau,Income and poverty,County,2010-2024,2026-07-24,Annual bulk XLS workbooks,https://www2.census.gov/programs-surveys/saipe/datasets/YYYY/YYYY-state-and-county/estYYall.xls,census_saipe_est10all.xls through census_saipe_est24all.xls,2025 estimates were not published by retrieval date; 90% confidence bounds are retained.
Local Area Unemployment Statistics,U.S. Bureau of Labor Statistics,Labor market,County,2010-2025 all counties,2026-07-24,BLS public API v2 plus annual BLS series distributed through FRED graph CSV,https://fred.stlouisfed.org/graph/fredgraph.csv?id=LAUCN[county-series]A,fred_bls_laus12_annual_batch_*.csv; earlier partial verification files are also preserved,BLS is the producer and FRED is only the distributor. The 2025 annual estimate is an 11-month average excluding October due to the federal shutdown.
CAINC1 County Personal Income,U.S. Bureau of Economic Analysis,Economic output and income,County,2010-2024,2026-07-24,Regional bulk ZIP,https://apps.bea.gov/regional/zip/CAINC1.zip,bea_CAINC1.zip,Nominal dollars unless the BEA unit explicitly says chained dollars; 2025 not published in this vintage.
CAGDP1 County GDP,U.S. Bureau of Economic Analysis,Economic output and income,County,2010-2024,2026-07-24,Regional bulk ZIP,https://apps.bea.gov/regional/zip/CAGDP1.zip,bea_CAGDP1.zip,Real GDP is in chained 2017 dollars and is not additive across detailed components; 2025 not published in this vintage.
Annual County House Price Index,Federal Housing Finance Agency,Housing market,County,2010-2025 where published,2026-07-24,Bulk XLSX,https://www.fhfa.gov/hpi/download/annual/hpi_at_county.xlsx,fhfa_hpi_at_county.xlsx,"County indexes are developmental, repeat-sales indexes; they are not median sale prices and some small counties are unavailable."
County Median Sale Price,Zillow Research,Housing market,County,2010-2025 where published,2026-07-24,Bulk monthly CSV,https://files.zillowstatic.com/research/public_csvs/median_sale_price/County_median_sale_price_uc_sfrcondo_month.csv,zillow_county_median_sale_price_monthly.csv,Monthly median sale prices are summarized as an annual arithmetic mean; this is not a median over all annual transactions. County coverage varies.
Zillow Observed Rent Index,Zillow Research,Housing market,County,2015-2025 where published,2026-07-24,Bulk monthly CSV,https://files.zillowstatic.com/research/public_csvs/zori/County_zori_uc_sfrcondomfr_sm_month.csv,zillow_county_zori_monthly.csv,ZORI is a smoothed typical observed market rent measure and is not ACS median gross rent; county coverage varies.
County Eviction Estimates,Princeton University Eviction Lab,Eviction,County,2010-2018,2026-07-24,Public bulk CSV,https://eviction-lab-data-downloads.s3.amazonaws.com/estimating-eviction-prevalance-across-us/county_eviction_estimates_2000_2018.csv,eviction_lab_county_estimates_2000_2018.csv,Estimates combine observed and modeled data; uncertainty bounds and source flags are retained. Do not splice these estimates to the post-2020 tracking system.
2024 County Gazetteer,U.S. Census Bureau,Demographics,County,Time-invariant denominator,2026-07-24,Bulk ZIP/TXT,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,census_2024_Gaz_counties_national.zip,2024 land area is applied to every panel year; boundary changes are not modeled.
Selected ACS County Indicators,U.S. Census Bureau,Housing affordability; income; education,County,2009/2010-2024 depending on series,2026-07-24,FRED graph CSV batches,https://fred.stlouisfed.org/graph/fredgraph.csv?id=[series IDs],fred_county_acs_batch_*.csv,"ACS 5-year period estimates overlap across adjacent years. Homeownership, burden, inequality ratio, and educational attainment have distinct definitions; none is relabeled as a requested but different measure."
State Minimum Wage,U.S. Department of Labor Wage and Hour Division,Policy and safety net,State replicated to counties,2010-2025,2026-07-24,FRED graph CSV,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCA%2CSTTMINWGFL,fred_state_minimum_wage_CA_FL.csv,A state-level value is repeated for every county in the state-year; it does not capture local minimum-wage ordinances.
ACA Medicaid Expansion Status,CMS; implementation dates compiled by KFF,Policy and safety net,State replicated to counties,2010-2025,2026-07-24,Documented state-year coding,https://www.kff.org/affordable-care-act/state-indicator/state-activity-around-expanding-medicaid-under-the-affordable-care-act/,No external raw table; coding is generated in build_county_raw_panel.R,"California is coded 1 beginning in 2014; Florida is coded 0 throughout. This is state policy exposure, not county implementation intensity."
