variable,category,definition,unit,source,candidate_role,transformation_status,cleaning_status
population,Demographics,July 1 resident population estimate,people,Census PEP,scale/control,Published value; reshaped only,Uncleaned; missing values retained
population_change,Demographics,Annual population change,people,Census PEP,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
births,Demographics,Births component of population change,people,Census PEP,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
deaths,Demographics,Deaths component of population change,people,Census PEP,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
natural_change,Demographics,Births minus deaths component,people,Census PEP,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
international_migration,Demographics,International migration component,people,Census PEP,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
domestic_migration,Demographics,Domestic migration component,people,Census PEP,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
net_migration,Demographics,Net migration component,people,Census PEP,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
group_quarters_population,Demographics,Population living in group quarters,people,Census PEP,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
birth_rate_per_1000,Demographics,Birth rate,"per 1,000 population",Census PEP,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
death_rate_per_1000,Demographics,Death rate,"per 1,000 population",Census PEP,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
natural_change_rate_per_1000,Demographics,Natural change rate,"per 1,000 population",Census PEP,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
international_migration_rate_per_1000,Demographics,International migration rate,"per 1,000 population",Census PEP,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
domestic_migration_rate_per_1000,Demographics,Domestic migration rate,"per 1,000 population",Census PEP,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
net_migration_rate_per_1000,Demographics,Net migration rate,"per 1,000 population",Census PEP,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
population_growth_rate_pct,Demographics,Year-over-year population growth rate; 2010 and the 2020 Census-vintage boundary are suppressed,percent,Derived from Census PEP,candidate covariate,Mechanical derivation; component fields retained,Uncleaned; missing values retained
land_area_sq_miles,Demographics,2024 Gazetteer land area used as a time-invariant county denominator,square miles,Census Gazetteer,scale/control,Published value; reshaped only,Uncleaned; missing values retained
population_density_per_sq_mile,Demographics,Resident population divided by 2024 Gazetteer land area,people per square mile,Derived from Census PEP and Gazetteer,candidate covariate,Mechanical derivation; component fields retained,Uncleaned; missing values retained
housing_units,Housing supply,July 1 housing-unit estimate,housing units,Census PEP housing estimates,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
housing_units_per_capita,Housing supply,Housing units divided by resident population,housing units per person,Derived from Census PEP,candidate covariate,Mechanical derivation; component fields retained,Uncleaned; missing values retained
housing_supply_growth_rate_pct,Housing supply,Year-over-year housing-unit growth rate; 2010 and the 2020 Census-vintage boundary are suppressed,percent,Derived from Census PEP housing estimates,candidate covariate,Mechanical derivation; component fields retained,Uncleaned; missing values retained
permits_one_unit_units,Housing supply,One-unit housing units authorized,housing units,Census/HUD BPS,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
permits_two_unit_units,Housing supply,Units authorized in two-unit structures,housing units,Census/HUD BPS,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
permits_three_four_unit_units,Housing supply,Units authorized in 3-4 unit structures,housing units,Census/HUD BPS,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
permits_five_plus_unit_units,Housing supply,Units authorized in 5+ unit structures,housing units,Census/HUD BPS,candidate covariate,Published value; reshaped only,Uncleaned; missing values retained
permits_total_units_authorized,Housing supply,Mechanical sum of published authorized-unit categories,housing units,Census/HUD BPS,candidate covariate,Mechanical row sum; components retained,Uncleaned; missing values retained
