state_year,state,year,median_rent,median_home_price,rent_as_pct_income,rent_burden_share,rental_vacancy_rate,homeownership_rate,housing_units_per_capita,new_housing_permits,housing_supply_growth_rate,eviction_filing_rate,foreclosure_rate
California 2010,California,2010,1147,255500,,41.4,7.5,56.1,0.36678268107650525,43242,,4,
California 2011,California,2011,1255,244833,,45.03,6.1,55.3,0.36474542773094126,45207,0.29423997272968183,3.85,
California 2012,California,2012,1255,267500,,45.03,5.2,54.5,0.36288778564803104,57491,0.31127391689489414,3.36,
California 2013,California,2013,1255,348333,,45.03,5.1,54.3,0.36140903217699105,77630,0.4112799245030718,3.04,
California 2014,California,2014,1255,380667,,45.03,4.5,54.2,0.3603052332706307,82603,0.5705682338050355,2.88,
California 2015,California,2015,1255,402666.5,,45.03,4.1,54.3,0.359360651337959,97611,0.5675181824346343,2.66,
California 2016,California,2016,1503,425458.5,,42.99,3.6,53.8,0.35936431062822416,100629,0.6410158324117843,2.48,
California 2017,California,2017,1503,458995.5,,42.99,4.3,54.4,0.3600835672154859,111788,0.6897490519538474,2.28,
California 2018,California,2018,1503,485424,,42.99,4.4,55.1,0.3617531306646859,116411,0.726802644134894,2.18,
California 2019,California,2019,1503,499917,32.5,,4.2,54.8,0.36359219778649254,109904,0.6373432586920913,,
California 2020,California,2020,1586,512000,32.2,,4,55.9,0.3647435749536124,104554,,,
California 2021,California,2021,1698,650000,32.2,,4.3,54.2,0.37098250662076937,119558,0.7458775486536728,,
California 2022,California,2022,1856,675833,32.3,,3.9,55.3,0.37424268722779636,113094,0.8077355459887858,,
California 2023,California,2023,1956,693500,32.5,,4.4,55.8,0.376745889857111,109707,0.8137819172094662,,
California 2024,California,2024,2036,730208.5,32.8,,4.8,55.3,0.3780529770093434,100385,0.8158909251424484,,
California 2025,California,2025,,731667,,,4.8,55.3,0.38102635657110456,102163,0.7622646732925897,,
Florida 2010,Florida,2010,957,122167,,40.32,15.1,69.3,0.47730664294681546,38736,,5.77,
Florida 2011,Florida,2011,1002,114997.5,,45.13,14.9,69,0.47345466809655495,43677,0.2862002645884987,5.76,
Florida 2012,Florida,2012,1002,126600,,45.13,13.1,67,0.46896452874319183,63844,0.3231404955013062,5.7,
Florida 2013,Florida,2013,1002,145858,,45.13,10.3,66.1,0.4656257276246173,86895,0.5629837986632857,5.57,
Florida 2014,Florida,2014,1002,155416.5,,45.13,10.1,64.9,0.46221652409909525,84951,0.7929287335467716,5.28,
Florida 2015,Florida,2015,1002,169686.5,,45.13,8,64.8,0.45735399035738555,106021,0.7584997364034063,4.85,
Florida 2016,Florida,2016,1175,186500,,43.54,8.1,64.3,0.45297447878395286,112253,1.0245181974157802,4.55,
Florida 2017,Florida,2017,1175,202983.5,,43.54,8.5,64.1,0.4502414254642079,117715,1.0849725602869897,4.38,
Florida 2018,Florida,2018,1175,219117,,43.54,8.2,65.5,0.4493328733514944,142546,1.1345116116256326,4.12,
Florida 2019,Florida,2019,1175,232316.5,33.3,,8.4,66,0.45040508690463993,153041,1.3399861928372392,,
Florida 2020,Florida,2020,1218,250562.5,33.3,,7.3,68.7,0.4585298030574779,161531,,,
Florida 2021,Florida,2021,1301,299954,33.5,,6.5,67.2,0.4602956454313743,209219,1.525928697269352,,
Florida 2022,Florida,2022,1444,350000,33.9,,7.2,67.3,0.45736794106573353,205901,1.9908097798332802,,
Florida 2023,Florida,2023,1564,363800,34.5,,8.5,67.3,0.45561603241414633,190773,1.906980872931019,,
Florida 2024,Florida,2024,1669,375833,35.2,,10,68.4,0.45679871922085935,174492,1.7313406719464908,,
Florida 2025,Florida,2025,,375833.5,,,10.2,66.2,0.45984182089918907,174133,1.517171231500769,,
