"state","state_abbr","coc_number","coc_name","year","homeless_rate_per_10k","total_homeless","sheltered_homeless","unsheltered_homeless","estimated_population","count_type","sheltered_only_count","pit_count_caution_flag","interpretation_note"
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2010,39.6743633961165,7086,2103,4983,1786040,"No 2010 PIT Count",FALSE,0,"Full sheltered + unsheltered enumeration."
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2011,38.999941502847,7067,1898,5169,1812054,"Sheltered and Unsheltered Count",FALSE,0,"Full sheltered + unsheltered enumeration."
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2012,38.3763010425752,7053,1884,5169,1837853,"Sheltered-Only Count",TRUE,0,"Sheltered-only count: unsheltered people were not enumerated this year."
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2013,40.8856503743788,7631,1957,5674,1866425,"Sheltered and Unsheltered Count",FALSE,0,"Full sheltered + unsheltered enumeration."
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2014,39.9999365667717,7567,1893,5674,1891753,"Sheltered-Only Count",TRUE,0,"Sheltered-only count: unsheltered people were not enumerated this year."
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2015,34.2120300477225,6556,1929,4627,1916285,"Sheltered and Unsheltered Count",FALSE,0,"Full sheltered + unsheltered enumeration."
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2016,33.8317167677539,6524,1897,4627,1928368,"Sheltered-Only Count",TRUE,0,"Sheltered-only count: unsheltered people were not enumerated this year."
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2017,38.2611215465897,7394,1946,5448,1932510,"Sheltered and Unsheltered Count",FALSE,0,"Full sheltered + unsheltered enumeration."
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2018,37.5400357184073,7254,1806,5448,1932337,"Sheltered-Only Count",TRUE,0,"Sheltered-only count: unsheltered people were not enumerated this year."
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2019,50.3461884003544,9706,1784,7922,1927852,"Sheltered and Unsheltered Count",FALSE,0,"Full sheltered + unsheltered enumeration."
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2020,49.7320784591495,9605,1683,7922,1931349,"Sheltered-Only Count",TRUE,0,"Sheltered-only count: unsheltered people were not enumerated this year."
