"state","year","n_cocs","mean_rate_per_10k","median_rate_per_10k","n_sheltered_only","pct_sheltered_only","comparable_to_neighbours"
"California",2010,40,42.0624069514662,29.5082644833463,6,15,TRUE
"California",2011,40,40.4849582838445,28.3321215258214,0,0,TRUE
"California",2012,40,38.1540235522071,27.1785361358882,29,72.5,TRUE
"California",2013,40,41.1536976612205,26.8209350847537,0,0,TRUE
"California",2014,40,38.7833841751166,26.1303646870085,28,70,TRUE
"California",2015,43,33.4375893613234,24.9648715185887,0,0,TRUE
"California",2016,43,34.5529948445571,25.4752106603958,23,53.4883720930233,TRUE
"California",2017,43,36.0375804571982,29.953658419255,0,0,TRUE
"California",2018,43,37.2287974829539,32.9742325811336,22,51.1627906976744,TRUE
"California",2019,44,41.7462974348495,39.231493177847,0,0,TRUE
"California",2020,44,42.526881976223,38.5489644643477,21,47.7272727272727,TRUE
"California",2021,44,18.7096972821751,13.2931384137333,36,81.8181818181818,FALSE
"California",2022,44,44.7730602775561,43.1651598268346,2,4.54545454545455,TRUE
"California",2023,44,45.3672054602668,43.1873866884006,15,34.0909090909091,TRUE
"California",2024,44,47.4969965076101,41.9185157121117,7,15.9090909090909,TRUE
"California",2025,44,45.8103793288917,42.8759449159623,14,31.8181818181818,TRUE
"Florida",2010,27,42.4681740818368,23.6066763541392,2,7.40740740740741,TRUE
"Florida",2011,27,40.1373277549505,27.2572509753052,0,0,TRUE
"Florida",2012,27,39.0180520260614,27.2858242505384,13,48.1481481481481,TRUE
"Florida",2013,27,36.0887036936899,22.3119638605304,0,0,TRUE
"Florida",2014,27,30.1727006769217,18.4281102956527,5,18.5185185185185,TRUE
"Florida",2015,27,24.9046341247914,19.5793581574853,0,0,TRUE
"Florida",2016,27,22.9014362419172,16.5777878417091,4,14.8148148148148,TRUE
"Florida",2017,27,19.7334435905851,14.9887317337379,0,0,TRUE
"Florida",2018,27,20.2658151103913,13.4744340343716,3,11.1111111111111,TRUE
"Florida",2019,27,16.225356043627,13.4506105670415,0,0,TRUE
"Florida",2020,27,15.5670652725549,13.2434080665707,1,3.7037037037037,TRUE
"Florida",2021,27,10.1701365911015,9.15816379199838,11,40.7407407407407,FALSE
"Florida",2022,27,14.687471660171,11.9825660248166,2,7.40740740740741,TRUE
"Florida",2023,27,17.191605265765,13.1066988080614,0,0,TRUE
"Florida",2024,27,16.2810386630251,13.5128215340324,1,3.7037037037037,TRUE
"Florida",2025,27,14.3262177589772,12.1866847774343,0,0,TRUE
