"","coc_annual_hpi_change_pct","state_real_home_price_growth_pct","coc_contains_split_county_flag","coc_contributing_counties","coc_group_quarters_per_1000_residents","coc_hic_temporary_beds_per_10k","state_substance_use_disorder_rate","state_rental_vacancy_rate","state_tanf_max_benefit_3person","state_ssi_state_supplement","state_real_minimum_wage_2025_usd","state_real_median_rent_2025_usd","state_avg_in_state_tuition","state_real_median_home_price_2025_usd","state_home_price_to_income_ratio","state_medicaid_expansion","state_uninsured_rate","state_homeless_funding_per_capita","state_anticamping_strictness","coc_unemployment_rate_pct","coc_housing_units_per_1000_residents","coc_birth_rate_per_1000","coc_high_school_graduate_pct","coc_domestic_migration_rate_per_1000","coc_population_growth_rate_pct","coc_permits_per_1000_housing_units","coc_housing_supply_growth_rate_pct","coc_death_rate_per_1000","coc_homeownership_rate_pct","coc_housing_cost_burdened_households_pct","state_average_student_debt_per_borrower","state_pct_age_18_24","state_avg_household_size","state_labor_force_participation","state_serious_mental_illness_rate","state_pct_age_65plus","coc_log_estimated_population","coc_international_migration_rate_per_1000","coc_poverty_all_pct","coc_poverty_child_pct","coc_real_gdp_per_capita_2017_usd","coc_real_median_household_income_2025_usd","coc_real_per_capita_personal_income_2025_usd","coc_multifamily_permit_share_pct","coc_income_inequality_ratio","coc_population_density_per_sq_mile","coc_hic_psh_beds_per_10k"
"coc_annual_hpi_change_pct",1,0.462,-0.05,-0.069,-0.135,-0.107,0.244,-0.293,-0.063,-0.093,0.046,0.013,0.082,0.196,0.283,0.138,-0.3,0.225,-0.028,-0.32,-0.018,-0.09,0.06,0.217,0.233,0.33,0.225,0.186,-0.011,-0.214,0.319,-0.289,-0.148,-0.339,0.287,0.226,0.085,0.121,-0.145,-0.134,0.007,0.053,0.065,0.047,0.057,-0.005,0
"state_real_home_price_growth_pct",0.462,1,0.006,0.004,-0.016,-0.034,-0.002,-0.133,-0.114,-0.085,-0.17,-0.138,-0.057,-0.002,0.026,-0.129,0.122,0.03,0.122,0.063,-0.027,0.025,-0.028,0.053,-0.001,0.06,-0.013,0.026,-0.059,0.014,-0.087,0.047,0.073,-0.127,0.033,-0.048,0.007,-0.156,0.074,0.094,-0.029,-0.047,-0.012,0.019,-0.026,0.002,-0.015
"coc_contains_split_county_flag",-0.05,0.006,1,0.407,0.264,-0.014,-0.066,0.064,-0.068,-0.073,-0.059,-0.071,-0.073,-0.068,-0.067,-0.061,0.051,-0.033,0.04,-0.029,-0.135,0.05,-0.148,-0.155,-0.141,-0.074,-0.036,-0.113,-0.246,0.108,0.035,-0.046,-0.061,-0.063,0.062,0.061,0.023,-0.007,0.237,0.188,0.025,-0.127,-0.092,0.287,0.329,0.284,0.146
"coc_contributing_counties",-0.069,0.004,0.407,1,0.634,-0.08,-0.271,0.296,-0.303,-0.34,-0.236,-0.297,-0.315,-0.285,-0.281,-0.266,0.191,-0.128,0.156,-0.02,0.223,-0.07,0.03,0.086,-0.021,-0.003,-0.002,0.31,0.231,-0.409,0.216,-0.254,-0.311,-0.316,0.314,0.312,-0.127,-0.114,0.34,0.314,-0.224,-0.371,-0.31,-0.177,-0.042,-0.171,-0.165
"coc_group_quarters_per_1000_residents",-0.135,-0.016,0.264,0.634,1,0.042,-0.088,0.075,-0.067,-0.062,-0.077,-0.084,-0.084,-0.09,-0.093,-0.07,0.085,-0.067,0.06,0.108,0.025,0.047,-0.122,-0.096,-0.178,-0.184,-0.134,0.077,-0.067,-0.19,-0.012,-0.001,-0.035,-0.027,0.028,0.029,-0.245,-0.188,0.393,0.271,-0.103,-0.239,-0.226,-0.13,0.04,-0.119,-0.011
"coc_hic_temporary_beds_per_10k",-0.107,-0.034,-0.014,-0.08,0.042,1,0.059,-0.112,0.241,0.223,0.183,0.174,0.189,0.17,0.149,0.135,-0.083,0.148,-0.208,0.034,0.188,-0.063,0.057,-0.318,-0.348,-0.247,-0.218,-0.067,-0.312,0.259,-0.106,0.144,0.136,0.195,-0.167,-0.158,-0.26,0.015,0.001,-0.069,0.219,0.068,0.212,0.139,0.295,0.221,0.448
"state_substance_use_disorder_rate",0.244,-0.002,-0.066,-0.271,-0.088,0.059,1,-0.876,0.669,0.731,0.63,0.814,0.829,0.811,0.862,0.682,-0.742,0.294,-0.325,-0.104,-0.427,0.156,-0.162,-0.332,-0.283,-0.077,0.013,-0.296,-0.414,0.157,-0.132,0.273,0.542,0.478,-0.478,-0.489,-0.063,-0.013,-0.179,-0.35,0.264,0.408,0.226,0.144,0.154,0.127,0.185
"state_rental_vacancy_rate",-0.293,-0.133,0.064,0.296,0.075,-0.112,-0.876,1,-0.752,-0.821,-0.656,-0.797,-0.86,-0.825,-0.856,-0.736,0.716,-0.371,0.423,0.023,0.477,-0.226,0.233,0.383,0.369,0.203,0.142,0.362,0.511,-0.226,0.318,-0.398,-0.714,-0.595,0.619,0.627,0.09,0.17,0.122,0.284,-0.266,-0.406,-0.2,-0.147,-0.142,-0.138,-0.211
"state_tanf_max_benefit_3person",-0.063,-0.114,-0.068,-0.303,-0.067,0.241,0.669,-0.752,1,0.949,0.898,0.905,0.954,0.914,0.871,0.815,-0.715,0.531,-0.763,0.08,-0.428,0.136,-0.221,-0.542,-0.529,-0.375,-0.246,-0.382,-0.435,0.291,-0.271,0.421,0.616,0.723,-0.653,-0.612,-0.117,-0.085,-0.121,-0.296,0.315,0.434,0.23,0.117,0.178,0.133,0.257
"state_ssi_state_supplement",-0.093,-0.085,-0.073,-0.34,-0.062,0.223,0.731,-0.821,0.949,1,0.764,0.884,0.934,0.855,0.829,0.776,-0.596,0.407,-0.573,0.213,-0.509,0.278,-0.31,-0.561,-0.529,-0.456,-0.317,-0.5,-0.528,0.433,-0.511,0.646,0.802,0.873,-0.831,-0.809,-0.118,-0.168,-0.045,-0.227,0.296,0.418,0.187,0.134,0.132,0.155,0.241
"state_real_minimum_wage_2025_usd",0.046,-0.17,-0.059,-0.236,-0.077,0.183,0.63,-0.656,0.898,0.764,1,0.89,0.907,0.933,0.886,0.849,-0.881,0.654,-0.86,-0.166,-0.303,-0.042,-0.087,-0.445,-0.471,-0.179,-0.099,-0.198,-0.3,0.054,0.069,0.061,0.363,0.438,-0.387,-0.315,-0.103,-0.018,-0.245,-0.4,0.315,0.446,0.277,0.089,0.22,0.099,0.246
"state_real_median_rent_2025_usd",0.013,-0.138,-0.071,-0.297,-0.084,0.174,0.814,-0.797,0.905,0.884,0.89,1,0.956,0.937,0.916,0.804,-0.814,0.546,-0.659,-0.02,-0.427,0.115,-0.186,-0.49,-0.475,-0.255,-0.138,-0.335,-0.421,0.207,-0.171,0.31,0.581,0.631,-0.595,-0.552,-0.103,-0.056,-0.19,-0.369,0.318,0.463,0.257,0.125,0.185,0.132,0.245
"state_avg_in_state_tuition",0.082,-0.057,-0.073,-0.315,-0.084,0.189,0.829,-0.86,0.954,0.934,0.907,0.956,1,0.98,0.961,0.866,-0.824,0.562,-0.708,-0.013,-0.457,0.137,-0.21,-0.517,-0.507,-0.286,-0.174,-0.367,-0.462,0.239,-0.22,0.367,0.642,0.675,-0.634,-0.603,-0.111,-0.095,-0.172,-0.359,0.329,0.475,0.258,0.135,0.189,0.14,0.257
