"variable","row","value","robust_z","coc","state","predictor_year"
"coc_population_density_per_sq_mile",22,18586.9597403018,52.34,"CA-501","California",2019
"coc_population_density_per_sq_mile",21,18568.9747200041,52.28,"CA-501","California",2018
"coc_population_density_per_sq_mile",20,18512.9744692293,52.12,"CA-501","California",2017
"coc_population_density_per_sq_mile",19,18375.3352986504,51.73,"CA-501","California",2016
"coc_population_density_per_sq_mile",18,18196.0754597622,51.22,"CA-501","California",2015
"coc_population_density_per_sq_mile",17,17937.5803262913,50.48,"CA-501","California",2014
"coc_population_density_per_sq_mile",16,17701.898547993,49.8,"CA-501","California",2013
"coc_population_density_per_sq_mile",15,17476.3794658067,49.16,"CA-501","California",2012
"coc_population_density_per_sq_mile",26,17309.1588374578,48.68,"CA-501","California",2024
"coc_population_density_per_sq_mile",25,17224.4205061838,48.43,"CA-501","California",2023
"coc_population_density_per_sq_mile",23,17208.4595913357,48.39,"CA-501","California",2021
"coc_population_density_per_sq_mile",14,17197.5167712483,48.36,"CA-501","California",2011
"coc_population_density_per_sq_mile",24,17147.2514859143,48.21,"CA-501","California",2022
"coc_housing_supply_growth_rate_pct",255,-13.85474749,-33.28,"CA-519","California",2019
"coc_population_density_per_sq_mile",451,9112.03514041015,25.2,"CA-606","California",2016
"coc_population_density_per_sq_mile",452,9110.23450118969,25.19,"CA-606","California",2017
"coc_population_density_per_sq_mile",450,9093.73840978334,25.15,"CA-606","California",2015
"coc_population_density_per_sq_mile",453,9083.36016370042,25.12,"CA-606","California",2018
"coc_population_density_per_sq_mile",449,9052.85298924608,25.03,"CA-606","California",2014
"coc_population_density_per_sq_mile",454,9051.98287565181,25.03,"CA-606","California",2019
"coc_population_density_per_sq_mile",448,9009.9442164751,24.91,"CA-606","California",2013
"coc_population_density_per_sq_mile",447,8958.45062346473,24.76,"CA-606","California",2012
"coc_population_density_per_sq_mile",446,8905.34844739511,24.61,"CA-606","California",2011
"coc_population_density_per_sq_mile",455,8845.83448089146,24.44,"CA-606","California",2021
"coc_population_density_per_sq_mile",456,8789.97228646739,24.28,"CA-606","California",2022
