"variable_1","variable_2","r","abs_r"
"state_tanf_max_benefit_3person","state_ssi_state_supplement",0.949,0.949
"coc_permits_per_1000_housing_units","coc_permits_value_per_1000_housing_units_2025_usd",0.932,0.932
"coc_poverty_all_pct","coc_poverty_child_pct",0.921,0.921
"state_tanf_max_benefit_3person","state_real_median_rent_2025_usd",0.904,0.904
"state_real_minimum_wage_2025_usd","state_tanf_max_benefit_3person",0.897,0.897
"state_real_minimum_wage_2025_usd","state_real_median_rent_2025_usd",0.889,0.889
"coc_domestic_migration_rate_per_1000","coc_population_growth_rate_pct",0.887,0.887
"state_ssi_state_supplement","state_real_median_rent_2025_usd",0.882,0.882
"state_ssi_state_supplement","state_labor_force_participation_pct",0.872,0.872
"state_real_minimum_wage_2025_usd","state_anticamping_strictness",-0.86,0.86
"state_real_minimum_wage_2025_usd","state_medicaid_expansion",0.847,0.847
"coc_real_median_household_income_2025_usd","coc_real_per_capita_personal_income_2025_usd",0.84,0.84
"state_ssi_state_supplement","state_rental_vacancy_rate",-0.822,0.822
"coc_poverty_child_pct","coc_real_median_household_income_2025_usd",-0.815,0.815
"state_medicaid_expansion","state_tanf_max_benefit_3person",0.813,0.813
"coc_real_gdp_quantity_index","coc_relative_home_price_index_2000_base",0.812,0.812
"coc_real_per_capita_personal_income_2025_usd","coc_real_gdp_per_capita_2017_usd",0.802,0.802
"state_medicaid_expansion","state_real_median_rent_2025_usd",0.802,0.802
