"","coc_annual_hpi_change_pct","coc_contributing_counties","coc_group_quarters_per_1000_residents","coc_poverty_all_pct","coc_poverty_child_pct","coc_real_gdp_per_capita_2017_usd","coc_real_median_household_income_2025_usd","coc_real_per_capita_personal_income_2025_usd","coc_unemployment_rate_pct","coc_real_gdp_quantity_index","coc_relative_home_price_index_2000_base","coc_housing_units_per_1000_residents","coc_birth_rate_per_1000","coc_high_school_graduate_pct","coc_housing_cost_burdened_households_pct","coc_death_rate_per_1000","coc_homeownership_rate_pct","coc_domestic_migration_rate_per_1000","coc_population_growth_rate_pct","coc_housing_supply_growth_rate_pct","coc_permits_per_1000_housing_units","coc_permits_value_per_1000_housing_units_2025_usd","state_labor_force_participation_pct","state_real_minimum_wage_2025_usd","state_anticamping_strictness","state_rental_vacancy_rate","state_medicaid_expansion","state_real_median_rent_2025_usd","state_tanf_max_benefit_3person","state_ssi_state_supplement","coc_log_estimated_population","coc_international_migration_rate_per_1000","coc_hic_temporary_beds_per_10k","coc_contains_split_county_flag","coc_multifamily_permit_share_pct","coc_income_inequality_ratio","coc_population_density_per_sq_mile","coc_hic_psh_beds_per_10k"
"coc_annual_hpi_change_pct",1,-0.061,-0.127,-0.136,-0.126,0.003,0.048,0.06,-0.317,0.266,0.319,-0.019,-0.089,0.056,-0.223,0.187,-0.009,0.216,0.23,0.222,0.327,0.308,-0.343,0.042,-0.026,-0.284,0.136,0.005,-0.068,-0.1,0.082,0.118,-0.111,-0.041,0.043,0.052,-0.007,-0.004
"coc_contributing_counties",-0.061,1,0.582,0.308,0.279,-0.206,-0.351,-0.29,-0.015,0.044,-0.125,0.241,-0.071,0.054,-0.367,0.282,0.207,0.082,-0.013,0.015,0.022,-0.052,-0.296,-0.215,0.144,0.276,-0.247,-0.272,-0.281,-0.316,-0.094,-0.095,-0.06,0.343,-0.147,-0.02,-0.165,-0.156
"coc_group_quarters_per_1000_residents",-0.127,0.582,1,0.361,0.218,-0.065,-0.203,-0.194,0.134,-0.04,-0.152,0.04,0.057,-0.102,-0.099,0.013,-0.14,-0.122,-0.187,-0.123,-0.168,-0.241,0.032,-0.029,0.034,0.015,-0.021,-0.021,-0.01,0.004,-0.215,-0.174,0.09,0.136,-0.081,0.088,-0.112,0.017
"coc_poverty_all_pct",-0.136,0.308,0.361,1,0.921,-0.406,-0.742,-0.632,0.616,-0.35,-0.37,-0.195,0.571,-0.634,0.235,-0.06,-0.31,-0.146,-0.103,-0.261,-0.301,-0.385,0.132,-0.233,0.221,0.1,-0.136,-0.171,-0.103,-0.023,-0.11,-0.172,0.014,0.198,-0.162,-0.034,-0.11,-0.092
"coc_poverty_child_pct",-0.126,0.279,0.218,0.921,1,-0.5,-0.815,-0.669,0.614,-0.387,-0.447,-0.049,0.517,-0.616,0.152,0.092,-0.133,0.013,0.022,-0.214,-0.231,-0.289,-0.01,-0.391,0.336,0.268,-0.288,-0.354,-0.283,-0.209,-0.086,-0.201,-0.058,0.145,-0.259,-0.213,-0.145,-0.191
"coc_real_gdp_per_capita_2017_usd",0.003,-0.206,-0.065,-0.406,-0.5,1,0.755,0.802,-0.272,0.209,0.252,-0.119,-0.081,0.141,0.089,-0.386,-0.401,-0.421,-0.274,-0.042,-0.115,-0.062,0.19,0.309,-0.255,-0.259,0.275,0.31,0.308,0.287,0.216,0.381,0.213,0.057,0.599,0.569,0.616,0.596
"coc_real_median_household_income_2025_usd",0.048,-0.351,-0.203,-0.742,-0.815,0.755,1,0.84,-0.411,0.235,0.292,-0.215,-0.21,0.311,0.046,-0.414,-0.159,-0.269,-0.178,0.066,0.013,0.087,0.271,0.439,-0.346,-0.397,0.405,0.453,0.425,0.407,0.224,0.216,0.059,-0.092,0.414,0.338,0.315,0.349
"coc_real_per_capita_personal_income_2025_usd",0.06,-0.29,-0.194,-0.632,-0.669,0.802,0.84,1,-0.407,0.256,0.313,0.088,-0.343,0.361,0.026,-0.232,-0.116,-0.245,-0.173,0.049,0.008,0.117,0.045,0.268,-0.235,-0.189,0.209,0.245,0.219,0.174,0.089,0.34,0.205,-0.059,0.433,0.564,0.388,0.442
"coc_unemployment_rate_pct",-0.317,-0.015,0.134,0.616,0.614,-0.272,-0.411,-0.407,1,-0.479,-0.526,-0.283,0.574,-0.648,0.368,-0.245,-0.177,-0.194,-0.162,-0.303,-0.381,-0.399,0.44,-0.169,0.137,0.021,-0.114,-0.021,0.079,0.213,-0.148,-0.296,0.032,-0.024,-0.187,-0.251,-0.106,-0.196
"coc_real_gdp_quantity_index",0.266,0.044,-0.04,-0.35,-0.387,0.209,0.235,0.256,-0.479,1,0.812,0.068,-0.343,0.254,-0.481,0.279,0.192,0.091,0.09,0.462,0.466,0.422,-0.423,0.386,-0.349,-0.103,0.143,0.27,0.108,-0.063,0.057,0.312,-0.063,-0.014,0.009,0.124,-0.012,0.041
"coc_relative_home_price_index_2000_base",0.319,-0.125,-0.152,-0.37,-0.447,0.252,0.292,0.313,-0.526,0.812,1,-0.015,-0.323,0.187,-0.217,0.138,-0.014,-0.092,-0.027,0.349,0.321,0.296,-0.274,0.54,-0.489,-0.223,0.285,0.43,0.303,0.124,0.125,0.462,0.036,0.092,0.233,0.323,0.162,0.199
"coc_housing_units_per_1000_residents",-0.019,0.241,0.04,-0.195,-0.049,-0.119,-0.215,0.088,-0.283,0.068,-0.015,1,-0.649,0.587,-0.374,0.635,0.579,0.36,0.145,0.093,0.175,0.241,-0.496,-0.307,0.176,0.485,-0.384,-0.434,-0.434,-0.517,-0.402,-0.001,0.187,-0.136,-0.247,-0.046,-0.1,-0.061
"coc_birth_rate_per_1000",-0.089,-0.071,0.057,0.571,0.517,-0.081,-0.21,-0.343,0.574,-0.343,-0.323,-0.649,1,-0.769,0.387,-0.598,-0.572,-0.342,-0.097,-0.222,-0.291,-0.314,0.427,-0.043,0.132,-0.229,0.119,0.115,0.136,0.279,0.191,-0.087,-0.064,0.055,0.031,-0.15,-0.036,-0.059
"coc_high_school_graduate_pct",0.056,0.054,-0.102,-0.634,-0.616,0.141,0.311,0.361,-0.648,0.254,0.187,0.587,-0.769,1,-0.361,0.424,0.56,0.353,0.199,0.237,0.333,0.37,-0.404,-0.095,0.017,0.247,-0.197,-0.197,-0.232,-0.323,-0.037,0.112,0.052,-0.135,-0.011,0.068,-0.049,0.037
