"state","target_year","unweighted_mean_rate","median_rate","n_cocs"
"California",2012,38.1540235522071,27.1785361358882,40
"California",2013,41.1536976612205,26.8209350847537,40
"California",2014,38.7833841751166,26.1303646870085,40
"California",2015,33.7753168034644,25.1921686100585,40
"California",2016,34.4445624932164,25.4237535592205,42
"California",2017,36.0313237299022,29.1176914808428,42
"California",2018,37.2287974829539,32.9742325811336,43
"California",2019,41.7496549399494,38.5133676929631,43
"California",2020,42.526881976223,38.5489644643477,44
"California",2022,44.7730602775561,43.1651598268346,44
"California",2023,44.7745328346423,42.6076707355073,43
"California",2024,47.4969965076101,41.9185157121117,44
"California",2025,45.8103793288917,42.8759449159623,44
"Florida",2012,37.5837151313532,26.1064555636458,26
"Florida",2013,34.280342272728,22.303365526303,26
"Florida",2014,28.664178336207,18.3868621377272,26
"Florida",2015,23.0906642874852,19.2638954231799,26
"Florida",2016,20.96102652065,16.2719069232621,26
"Florida",2017,19.2649077123149,14.8792917781983,26
"Florida",2018,19.8448800355054,13.2127033600978,26
"Florida",2019,15.5502977325771,13.2711297955763,26
"Florida",2020,14.7355197390577,13.2252560765097,26
"Florida",2022,14.0695944542969,11.7449082944854,26
"Florida",2023,16.6828992659331,13.0988758043205,26
"Florida",2024,15.6821928157416,13.5092700915524,26
"Florida",2025,13.7251883420963,11.7981352405736,26
