"variable","n_nonNA","n_unique","pct_unique","freq_ratio","is_constant","is_near_zero_var"
"coc_log_estimated_population",887,887,100,1,FALSE,FALSE
"coc_population_density_per_sq_mile",887,887,100,1,FALSE,FALSE
"coc_contributing_counties",887,8,0.9,5.3,FALSE,FALSE
"coc_contains_split_county_flag",887,2,0.23,8.75,FALSE,FALSE
"coc_housing_units_per_1000_residents",887,850,95.83,1,FALSE,FALSE
"coc_permits_per_1000_housing_units",887,851,95.94,1,FALSE,FALSE
"coc_multifamily_permit_share_pct",887,723,81.51,31.25,FALSE,FALSE
"coc_permits_value_per_1000_housing_units_2025_usd",887,856,96.51,1,FALSE,FALSE
"coc_birth_rate_per_1000",887,848,95.6,1,FALSE,FALSE
"coc_death_rate_per_1000",887,848,95.6,1,FALSE,FALSE
"coc_international_migration_rate_per_1000",887,848,95.6,1,FALSE,FALSE
"coc_domestic_migration_rate_per_1000",887,848,95.6,1,FALSE,FALSE
"coc_group_quarters_per_1000_residents",887,855,96.39,1,FALSE,FALSE
"coc_population_growth_rate_pct",887,848,95.6,1,FALSE,FALSE
"coc_housing_supply_growth_rate_pct",887,848,95.6,1,FALSE,FALSE
"coc_poverty_all_pct",887,425,47.91,1,FALSE,FALSE
"coc_poverty_child_pct",887,490,55.24,1,FALSE,FALSE
"coc_real_median_household_income_2025_usd",887,848,95.6,1,FALSE,FALSE
"coc_real_per_capita_personal_income_2025_usd",887,847,95.49,1,FALSE,FALSE
"coc_unemployment_rate_pct",887,376,42.39,1.11,FALSE,FALSE
"coc_high_school_graduate_pct",887,459,51.75,1.08,FALSE,FALSE
"coc_homeownership_rate_pct",887,849,95.72,1,FALSE,FALSE
"coc_housing_cost_burdened_households_pct",887,848,95.6,1,FALSE,FALSE
"coc_income_inequality_ratio",887,848,95.6,1,FALSE,FALSE
"coc_annual_hpi_change_pct",887,779,87.82,1.25,FALSE,FALSE
"coc_real_gdp_per_capita_2017_usd",887,851,95.94,1,FALSE,FALSE
"coc_real_gdp_quantity_index",887,781,88.05,13.8,FALSE,FALSE
"coc_relative_home_price_index_2000_base",887,832,93.8,1,FALSE,FALSE
"state_real_minimum_wage_2025_usd",887,26,2.93,1,FALSE,FALSE
"state_medicaid_expansion",887,2,0.23,1.07,FALSE,FALSE
"coc_hic_temporary_beds_per_10k",887,887,100,1,FALSE,FALSE
"coc_hic_psh_beds_per_10k",887,828,93.35,60,FALSE,FALSE
"state_anticamping_strictness",887,2,0.23,3.05,FALSE,FALSE
"state_tanf_max_benefit_3person",887,10,1.13,2.66,FALSE,FALSE
"state_ssi_state_supplement",887,6,0.68,1.12,FALSE,FALSE
"state_labor_force_participation_pct",887,25,2.82,1.18,FALSE,FALSE
"state_real_median_rent_2025_usd",887,26,2.93,1,FALSE,FALSE
"state_rental_vacancy_rate",887,23,2.59,1,FALSE,FALSE
