"file","bytes","md5","generated","deliverable"
"tables/KEY_NUMBERS.csv",2717,"0ff36e4bcf38db36ffc7257ad73fbb7d","2026-07-25T10:25:09-0400","Supporting: narrative key numbers"
"tables/TABLE_01_model_performance_comparison.csv",1780,"48ac26f4fa5fa87079eede2a266b6cfa","2026-07-25T10:25:09-0400","1. Model-performance comparison table"
"tables/TABLE_02_performance_by_validation_year.csv",7782,"c083535607bc01061e4424776bc463c0","2026-07-25T10:25:09-0400","3. RMSE and R2 by validation year"
"tables/TABLE_03_state_performance_ca_fl.csv",2773,"faa844b4df0a32e3678c558d13c8dccb","2026-07-25T10:25:09-0400","4. California-versus-Florida performance comparison"
"tables/TABLE_03b_observed_outcome_spread_by_state.csv",163,"81a0dc90c2b612fcb2deb66837254df9","2026-07-25T10:25:09-0400","4. California-versus-Florida performance comparison"
"tables/TABLE_04_stable_standardized_coefficients.csv",8540,"a4d50ec7941c056ae5edefcb835bfd36","2026-07-25T10:25:09-0400","5. Stable standardized-coefficient plot"
"tables/TABLE_04b_unpenalized_controls.csv",338,"c22036768444710a01d3d441cdf2eecf","2026-07-25T10:25:09-0400","5. Stable standardized-coefficient plot"
"tables/TABLE_05_state_interaction_coefficients.csv",6159,"b28e8887629247a2a35b8f4b77e4ebbe","2026-07-25T10:25:09-0400","6. State-interaction coefficient plot"
"tables/TABLE_06_sensitivity_comparison_own_rows.csv",9764,"9f68a509ca26e116fd1899c48e3f4033","2026-07-25T10:25:09-0400","7. Sensitivity-analysis comparison plot"
"tables/TABLE_06b_sensitivity_comparison_common_rows.csv",4888,"634a394db0ba77a258097ced0d8423d8","2026-07-25T10:25:09-0400","7. Sensitivity-analysis comparison plot"
"tables/TABLE_07_residuals_by_year_and_state.csv",4186,"135833400d3b31f9598b34b0e70a1535","2026-07-25T10:25:09-0400","8. Residual plots by year and state"
"tables/TABLE_08_robust_predictor_matrix.csv",21476,"d735d485cb83d697125e8d1ddf34c1ff","2026-07-25T10:25:09-0400","9. Robust-predictor table"
"tables/TABLE_08b_robust_predictor_matrix_compact.csv",7095,"8d1a0291705901067e0df84c3d77596e","2026-07-25T10:25:09-0400","9. Robust-predictor table"
"tables/TABLE_09_persistence_benchmark.csv",2687,"16045f7d70007e944ffda8d6434243a9","2026-07-25T10:25:09-0400","Supporting: persistence benchmark"
"tables/TABLE_10_reporting_constraints.csv",5384,"db21908307e0a113dc8e3649238ed4b3","2026-07-25T10:25:09-0400","Supporting: reporting constraints"
"figures/FIG_01_model_performance_comparison.png",366515,"ac6cd66f04ece7aff06c6e1d0007ac2d","2026-07-25T10:25:09-0400","1. Model-performance comparison table"
"figures/FIG_02_observed_vs_predicted_headline.png",417127,"0f7db949b4f81a5de205e9e07f0d0aad","2026-07-25T10:25:09-0400","2. Observed-versus-predicted plot, headline model"
"figures/FIG_03_rmse_r2_by_validation_year.png",293736,"aa95fbe71b3929aa813c17ebd9ae5c4f","2026-07-25T10:25:09-0400","3. RMSE and R2 by validation year"
"figures/FIG_04_california_vs_florida_performance.png",327060,"07276dfeba399f04029e39374666ac59","2026-07-25T10:25:09-0400","4. California-versus-Florida performance comparison"
"figures/FIG_05_stable_standardized_coefficients.png",359003,"e6bd5475d126009481e9ee5d74924fb5","2026-07-25T10:25:09-0400","5. Stable standardized-coefficient plot"
"figures/FIG_06_state_interaction_coefficients.png",346062,"15f580e4bc600b9a8c7960c897f44436","2026-07-25T10:25:09-0400","6. State-interaction coefficient plot"
"figures/FIG_07_sensitivity_comparison.png",422818,"0667e8f7c92855e697dbc67a3f117dc8","2026-07-25T10:25:09-0400","7. Sensitivity-analysis comparison plot"
"figures/FIG_08a_residuals_by_year_and_state.png",196867,"7d73fb430ba772ecaf7858071fe177f9","2026-07-25T10:25:09-0400","8. Residual plots by year and state"
"figures/FIG_08b_residuals_vs_predicted_by_state.png",383095,"8f8b0c3a2267d485b60816de4de76516","2026-07-25T10:25:09-0400","8. Residual plots by year and state"
"figures/FIG_09_persistence_benchmark.png",272016,"681b31ebfb7771ed0e97f40db7009e73","2026-07-25T10:25:09-0400","Supporting: persistence benchmark"
"FINAL_LASSO_REPORT_TABLES.xlsx",60636,"5d46c3898f788249977ac8fce2180fa1","2026-07-25T10:25:09-0400","Supporting"
