"key","value","source"
"input_workbook","outputs/lasso_model/CA_FL_LASSO_MODEL_INPUT_v2.xlsx","FINAL_run_manifest.csv"
"input_md5_live_and_recorded","5d3fd16b32c687e5207ea59c902e7bef","tools::md5sum + FINAL_run_manifest.csv"
"n_rows","887","FINAL_run_manifest.csv"
"n_cocs","70","FINAL_run_manifest.csv"
"n_predictors","38","FINAL_run_manifest.csv"
"n_outer_folds","8","FINAL_run_manifest.csv"
"validation_years","2017;2018;2019;2020;2022;2023;2024;2025","FINAL_run_manifest.csv"
"n_scored_rows","555","FINAL_predictions.csv"
"n_scored_CA","347","FINAL_ca_fl_state_performance.csv"
"n_scored_FL","208","FINAL_ca_fl_state_performance.csv"
"headline_rmse","14.6922","FINAL_metrics_overall_out_of_time.csv"
"headline_mae","10.1413","FINAL_metrics_overall_out_of_time.csv"
"headline_r2","0.6364","FINAL_metrics_overall_out_of_time.csv"
"best_unified_mae_model","pooled_lasso / 1se","FINAL_metrics_overall_out_of_time.csv"
"best_unified_mae","9.8050","FINAL_metrics_overall_out_of_time.csv"
"separate_state_rmse","13.9020","FINAL_metrics_overall_out_of_time.csv"
"separate_state_r2","0.6745","FINAL_metrics_overall_out_of_time.csv"
"baseline_rmse","21.9315","FINAL_metrics_overall_out_of_time.csv"
"baseline_pooled_r2","0.1899","FINAL_metrics_overall_out_of_time.csv"
"baseline_r2_CA","-0.1257","FINAL_ca_fl_state_performance.csv"
"baseline_r2_FL","-0.0723","FINAL_ca_fl_state_performance.csv"
"headline_rmse_CA","16.7508","FINAL_ca_fl_state_performance.csv"
"headline_r2_CA","0.5201","FINAL_ca_fl_state_performance.csv"
"headline_rmse_FL","10.3863","FINAL_ca_fl_state_performance.csv"
"headline_r2_FL","0.3758","FINAL_ca_fl_state_performance.csv"
"best_FL_unified_model","pooled_lasso / 1se","FINAL_ca_fl_state_performance.csv"
"best_FL_unified_rmse","8.4715","FINAL_ca_fl_state_performance.csv"
"best_FL_unified_r2","0.5847","FINAL_ca_fl_state_performance.csv"
"observed_sd_CA","24.2160","derived from FINAL_predictions.csv"
"observed_sd_FL","13.1780","derived from FINAL_predictions.csv"
"headline_rmse_over_sd_CA","0.6917","derived"
"headline_rmse_over_sd_FL","0.7882","derived"
"S3_rmse_interactions_min","17.8224","SENSITIVITY_metrics_overall_pooled.csv"
"S3_r2_interactions_min","0.4650","SENSITIVITY_metrics_overall_pooled.csv"
"S4_prior_rate_only_r2","0.8593","SENSITIVITY_persistence_benchmark.csv"
"S4_factor_plus_prior_nonzero","0","SENSITIVITY_persistence_benchmark.csv"
"n_stable_predictors_min","6","SENSITIVITY_stable_predictors_across_models.csv"
"n_stable_predictors_1se","3","SENSITIVITY_stable_predictors_across_models.csv"
"audit_pass","93","audit_checks.csv"
"audit_warning","7","audit_checks.csv"
"audit_fail","0","audit_checks.csv"
"n_highly_correlated_pairs","18","highly_correlated_pairs_v2.csv"
