"term","domain","variation_level","n_folds","n_selected","selection_freq","mean_coef_all_folds","mean_coef_when_selected","sd_coef_across_folds","sign_consistency","direction","coefficient_scale","in_highly_correlated_pair","correlated_partners","attribution_identified"
"coc_hic_psh_beds_per_10k","Service capacity","CoC-year",8,8,1,13.55636,13.55636,2.4547,1,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_hic_temporary_beds_per_10k","Service capacity","CoC-year",8,8,1,8.17802,8.17802,1.52593,1,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_log_estimated_population","Scale/geography","CoC-year",8,8,1,-7.13026,-7.13026,0.89553,1,"Negative","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_housing_cost_burdened_households_pct","Housing market","CoC-year",8,8,1,5.79367,5.79367,1.40064,1,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_population_density_per_sq_mile","Scale/geography","CoC-year",8,8,1,-5.73412,-5.73412,0.93698,1,"Negative","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_population_growth_rate_pct","Demographic","CoC-year",8,8,1,-1.42218,-1.42218,0.56565,1,"Negative","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"coc_domestic_migration_rate_per_1000",FALSE
"coc_real_gdp_quantity_index","Economic","CoC-year",8,8,1,1.34188,1.34188,1.00641,1,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"coc_relative_home_price_index_2000_base",FALSE
"coc_international_migration_rate_per_1000","Demographic","CoC-year",8,8,1,-0.95526,-0.95526,0.5474,1,"Negative","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_annual_hpi_change_pct","Housing market","CoC-year",8,8,1,-0.6823,-0.6823,0.40675,1,"Negative","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_housing_units_per_1000_residents","Housing stock/supply","CoC-year",8,5,0.625,1.17263,1.87621,0.98351,1,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_income_inequality_ratio","Economic","CoC-year",8,5,0.625,-0.89767,-1.43627,1.05069,1,"Negative","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_group_quarters_per_1000_residents","Housing stock/supply","CoC-year",8,5,0.625,0.24864,0.39782,0.29151,1,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_unemployment_rate_pct","Economic","CoC-year",8,2,0.25,-0.52868,-2.11473,1.08219,1,"Negative","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_poverty_child_pct","Economic","CoC-year",8,2,0.25,-0.09163,-0.36651,0.19703,1,"Negative","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"coc_poverty_all_pct; coc_real_median_household_income_2025_usd",TRUE
"coc_permits_value_per_1000_housing_units_2025_usd","Housing stock/supply","CoC-year",8,2,0.25,-0.05914,-0.23657,0.13765,1,"Negative","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"coc_permits_per_1000_housing_units",TRUE
"coc_real_per_capita_personal_income_2025_usd","Economic","CoC-year",8,2,0.25,-0.02279,-0.09115,0.04403,1,"Negative","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"coc_real_gdp_per_capita_2017_usd; coc_real_median_household_income_2025_usd",TRUE
"coc_homeownership_rate_pct","Housing market","CoC-year",8,1,0.125,-0.05058,-0.40465,0.14306,1,"Negative","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_contributing_counties","Scale/geography","CoC-year",8,1,0.125,-0.02,-0.16003,0.05658,1,"Negative","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_birth_rate_per_1000","Demographic","CoC-year",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_contains_split_county_flag","Scale/geography","CoC-year",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_death_rate_per_1000","Demographic","CoC-year",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_domestic_migration_rate_per_1000","Demographic","CoC-year",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"coc_population_growth_rate_pct",TRUE
"coc_high_school_graduate_pct","Demographic","CoC-year",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_housing_supply_growth_rate_pct","Housing stock/supply","CoC-year",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_multifamily_permit_share_pct","Housing stock/supply","CoC-year",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",FALSE,,TRUE
"coc_permits_per_1000_housing_units","Housing stock/supply","CoC-year",8,0,0,0,,0,,"Positive","rate per 10,000 residents per 1 training-window SD of the predictor",TRUE,"coc_permits_value_per_1000_housing_units_2025_usd",TRUE
