"predictor","domain","base_selection_freq","base_sign_consistency","interaction_selection_freq","interaction_sign_consistency","california_slope_mean","florida_interaction_mean","florida_slope_mean","interaction_sd_across_folds","interaction_selected_at_least_half","interpretation"
"coc_hic_temporary_beds_per_10k","Service capacity",1,1,1,1,8.17802,-4.8701,3.30792,1.11974,TRUE,"Same direction in both states, different magnitude"
"coc_homeownership_rate_pct","Housing market",0.125,1,1,1,-0.05058,2.58683,2.53625,0.6329,TRUE,"Direction differs between states (small magnitudes; treat cautiously)"
"coc_real_gdp_quantity_index","Economic",1,1,1,1,1.34188,-1.34999,-0.00811,0.63913,TRUE,"Direction differs between states (small magnitudes; treat cautiously)"
"coc_income_inequality_ratio","Economic",0.625,1,1,1,-0.89767,-1.03845,-1.93612,0.3966,TRUE,"Same direction in both states, different magnitude"
"coc_contains_split_county_flag","Scale/geography",0,,1,1,0,-0.40374,-0.40374,0.33466,TRUE,"Direction differs between states (small magnitudes; treat cautiously)"
"coc_group_quarters_per_1000_residents","Housing stock/supply",0.625,1,0.875,1,0.24864,-0.65162,-0.40298,0.64846,TRUE,"Direction differs between states (small magnitudes; treat cautiously)"
"coc_annual_hpi_change_pct","Housing market",1,1,0.75,1,-0.6823,-1.15652,-1.83881,0.82415,TRUE,"Same direction in both states, different magnitude"
"coc_log_estimated_population","Scale/geography",1,1,0.5,1,-7.13026,-1.00492,-8.13518,1.20639,TRUE,"Same direction in both states, different magnitude"
"coc_permits_value_per_1000_housing_units_2025_usd","Housing stock/supply",0.25,1,0.5,1,-0.05914,0.90697,0.84783,1.31849,TRUE,"Direction differs between states (small magnitudes; treat cautiously)"
"coc_multifamily_permit_share_pct","Housing stock/supply",0,,0.5,1,0,-0.59308,-0.59308,0.6543,TRUE,"Direction differs between states (small magnitudes; treat cautiously)"
"coc_international_migration_rate_per_1000","Demographic",1,1,0.5,1,-0.95526,-0.50432,-1.45958,0.59374,TRUE,"Same direction in both states, different magnitude"
"coc_housing_cost_burdened_households_pct","Housing market",1,1,0.375,1,5.79367,-0.83804,4.95563,1.1986,FALSE,"Same direction in both states, different magnitude"
"coc_high_school_graduate_pct","Demographic",0,,0.375,1,0,-0.76668,-0.76668,1.20422,FALSE,"Direction differs between states (small magnitudes; treat cautiously)"
"state_rental_vacancy_rate","Housing market",0,,0.25,1,0,0.55268,0.55268,1.0257,FALSE,"Direction differs between states (small magnitudes; treat cautiously)"
"coc_housing_supply_growth_rate_pct","Housing stock/supply",0,,0.125,1,0,0.02848,0.02848,0.08056,FALSE,"Direction differs between states (small magnitudes; treat cautiously)"
"coc_hic_psh_beds_per_10k","Service capacity",1,1,0,,13.55636,0,13.55636,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"coc_population_density_per_sq_mile","Scale/geography",1,1,0,,-5.73412,0,-5.73412,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"coc_population_growth_rate_pct","Demographic",1,1,0,,-1.42218,0,-1.42218,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"coc_housing_units_per_1000_residents","Housing stock/supply",0.625,1,0,,1.17263,0,1.17263,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"coc_unemployment_rate_pct","Economic",0.25,1,0,,-0.52868,0,-0.52868,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"coc_poverty_child_pct","Economic",0.25,1,0,,-0.09163,0,-0.09163,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"coc_real_per_capita_personal_income_2025_usd","Economic",0.25,1,0,,-0.02279,0,-0.02279,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"coc_contributing_counties","Scale/geography",0.125,1,0,,-0.02,0,-0.02,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"coc_birth_rate_per_1000","Demographic",0,,0,,0,0,0,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"coc_death_rate_per_1000","Demographic",0,,0,,0,0,0,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"coc_domestic_migration_rate_per_1000","Demographic",0,,0,,0,0,0,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"coc_permits_per_1000_housing_units","Housing stock/supply",0,,0,,0,0,0,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"coc_poverty_all_pct","Economic",0,,0,,0,0,0,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"coc_real_gdp_per_capita_2017_usd","Economic",0,,0,,0,0,0,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"coc_real_median_household_income_2025_usd","Economic",0,,0,,0,0,0,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"coc_relative_home_price_index_2000_base","Housing market",0,,0,,0,0,0,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"state_anticamping_strictness","Policy",0,,0,,0,0,0,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"state_labor_force_participation_pct","Economic",0,,0,,0,0,0,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"state_medicaid_expansion","Policy",0,,0,,0,0,0,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"state_real_median_rent_2025_usd","Housing market",0,,0,,0,0,0,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"state_real_minimum_wage_2025_usd","Economic",0,,0,,0,0,0,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"state_ssi_state_supplement","Policy",0,,0,,0,0,0,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
"state_tanf_max_benefit_3person","Policy",0,,0,,0,0,0,0,FALSE,"No state-specific slope retained: the pooled slope applies to both states"
