"sample_id","sample_label","selection_rule","sample_rows","sample_cocs","sample_predictors","model","lambda_rule","scored_rows","rmse","mae","r2","mean_nonzero_penalized_per_fold","comparison_basis"
"S0_primary","Primary v2 panel (replication reference)","All audited v2 complete-case rows and all 38 candidate predictors.",887,70,38,"pooled_lasso","1se",555,15.8054,9.805,0.5792,3.125,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S0_primary","Primary v2 panel (replication reference)","All audited v2 complete-case rows and all 38 candidate predictors.",887,70,38,"pooled_lasso","min",555,15.2968,10.1582,0.6059,14,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S0_primary","Primary v2 panel (replication reference)","All audited v2 complete-case rows and all 38 candidate predictors.",887,70,38,"pooled_lasso_state_interactions","1se",555,15.1266,9.9113,0.6146,12.625,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S0_primary","Primary v2 panel (replication reference)","All audited v2 complete-case rows and all 38 candidate predictors.",887,70,38,"pooled_lasso_state_interactions","min",555,14.6922,10.1413,0.6364,21.875,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S1_split_county_excluded","Split-county CoCs excluded","Keep rows with coc_contains_split_county_flag == 0.",796,63,37,"pooled_lasso","1se",499,15.4083,9.7004,0.6037,3.375,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S1_split_county_excluded","Split-county CoCs excluded","Keep rows with coc_contains_split_county_flag == 0.",796,63,37,"pooled_lasso","min",499,14.9383,9.8476,0.6275,10.75,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S1_split_county_excluded","Split-county CoCs excluded","Keep rows with coc_contains_split_county_flag == 0.",796,63,37,"pooled_lasso_state_interactions","1se",499,14.9867,9.713,0.6251,7.125,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S1_split_county_excluded","Split-county CoCs excluded","Keep rows with coc_contains_split_county_flag == 0.",796,63,37,"pooled_lasso_state_interactions","min",499,14.6846,10.1702,0.64,21.5,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S2_stable_cocs","Stable CoCs only","Keep CoCs with a modeling row in all 13 usable v2 target years (2012;2013;2014;2015;2016;2017;2018;2019;2020;2022;2023;2024;2025).",845,65,38,"pooled_lasso","1se",520,16.0326,10.3737,0.5253,3,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
"S2_stable_cocs","Stable CoCs only","Keep CoCs with a modeling row in all 13 usable v2 target years (2012;2013;2014;2015;2016;2017;2018;2019;2020;2022;2023;2024;2025).",845,65,38,"pooled_lasso","min",520,14.3746,9.2678,0.6184,11.875,"each sample's own scored rows (row sets differ; not like-for-like except S3)"
