"sample_id","model","lambda_rule","n_common_rows","n_common_cocs","sens_rmse","primary_rmse","rmse_diff_sens_minus_primary","sens_r2","primary_r2","r2_diff_sens_minus_primary","pred_correlation","comparison_basis"
"S1_split_county_excluded","pooled_lasso","min",499,63,14.9383,14.9142,0.024,0.6275,0.6287,-0.0012,0.9893,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S1_split_county_excluded","pooled_lasso","1se",499,63,15.4083,15.4737,-0.0654,0.6037,0.6003,0.0034,0.987,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S1_split_county_excluded","pooled_lasso_state_interactions","min",499,63,14.6846,14.5718,0.1127,0.64,0.6455,-0.0055,0.9914,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S1_split_county_excluded","pooled_lasso_state_interactions","1se",499,63,14.9867,14.7797,0.207,0.6251,0.6353,-0.0103,0.9846,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S2_stable_cocs","pooled_lasso","min",520,65,14.3746,14.9791,-0.6046,0.6184,0.5857,0.0328,0.9633,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S2_stable_cocs","pooled_lasso","1se",520,65,16.0326,15.0076,1.025,0.5253,0.5841,-0.0588,0.9293,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S2_stable_cocs","pooled_lasso_state_interactions","min",520,65,13.3223,14.1159,-0.7935,0.6723,0.6321,0.0402,0.9621,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S2_stable_cocs","pooled_lasso_state_interactions","1se",520,65,13.9716,14.6408,-0.6692,0.6395,0.6042,0.0354,0.9604,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S3_no_structural_beds","pooled_lasso","min",555,70,18.2932,15.2968,2.9964,0.4364,0.6059,-0.1695,0.8565,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S3_no_structural_beds","pooled_lasso","1se",555,70,19.2035,15.8054,3.3981,0.3789,0.5792,-0.2004,0.817,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S3_no_structural_beds","pooled_lasso_state_interactions","min",555,70,17.8224,14.6922,3.1302,0.465,0.6364,-0.1714,0.8352,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S3_no_structural_beds","pooled_lasso_state_interactions","1se",555,70,17.8126,15.1266,2.6861,0.4656,0.6146,-0.149,0.8586,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S4_persistence","pooled_lasso","min",485,70,15.6576,15.463,0.1945,0.5852,0.5955,-0.0102,0.9991,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S4_persistence","pooled_lasso","1se",485,70,16.1317,15.9098,0.2219,0.5597,0.5718,-0.012,0.9985,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S4_persistence","pooled_lasso_state_interactions","min",485,70,15.1284,14.9496,0.1788,0.6128,0.6219,-0.0091,0.9994,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S4_persistence","pooled_lasso_state_interactions","1se",485,70,15.5557,15.3118,0.2438,0.5906,0.6034,-0.0127,0.9987,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S4b_persistence_full_enum","pooled_lasso","min",408,70,15.3451,15.0995,0.2456,0.5849,0.5981,-0.0132,0.9957,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S4b_persistence_full_enum","pooled_lasso","1se",408,70,16.0042,15.3891,0.6151,0.5485,0.5826,-0.034,0.9965,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S4b_persistence_full_enum","pooled_lasso_state_interactions","min",408,70,15.4532,14.7836,0.6695,0.5791,0.6148,-0.0357,0.9928,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S4b_persistence_full_enum","pooled_lasso_state_interactions","1se",408,70,15.3792,14.9369,0.4423,0.5831,0.6067,-0.0236,0.9934,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S5_no_hpi_fl518","pooled_lasso","min",555,70,15.4281,15.2968,0.1313,0.5991,0.6059,-0.0068,0.9952,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S5_no_hpi_fl518","pooled_lasso","1se",555,70,15.8217,15.8054,0.0163,0.5784,0.5792,-9e-04,0.9956,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S5_no_hpi_fl518","pooled_lasso_state_interactions","min",555,70,14.8739,14.6922,0.1817,0.6274,0.6364,-0.009,0.9918,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
"S5_no_hpi_fl518","pooled_lasso_state_interactions","1se",555,70,15.1804,15.1266,0.0538,0.6119,0.6146,-0.0027,0.9968,"rows present in BOTH the sensitivity sample and the primary model (like-for-like)"
