"validation_year","state","n","mean_residual","sd_residual","median_residual","mean_abs_residual","max_abs_residual","rmse","model","lambda_rule","residual_definition"
2017,"Both states",68,3.2714,13.8982,1.0338,9.7949,51.7389,14.1782,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2017,"California",42,4.1486,15.6878,-0.0687,11.1863,51.7389,16.0455,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2017,"Florida",26,1.8544,10.5199,1.7224,7.5473,36.5705,10.481,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2018,"Both states",69,1.9449,15.9565,-0.834,10.1379,61.9154,15.9594,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2018,"California",43,2.843,17.2736,-0.5456,11.3589,61.9154,17.3067,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2018,"Florida",26,0.4597,13.696,-0.8654,8.1185,44.8738,13.4379,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2019,"Both states",69,0.5015,17.8359,-1.5954,11.6235,70.4937,17.7133,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2019,"California",43,4.9155,19.2247,1.6165,13.8746,70.4937,19.6254,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2019,"Florida",26,-6.7985,12.4676,-3.8439,7.9006,58.0313,13.9886,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2020,"Both states",70,-0.4295,15.7783,-1.943,10.2207,63.6303,15.6711,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2020,"California",44,2.2064,18.6287,-0.5192,13.0231,63.6303,18.5475,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2020,"Florida",26,-4.8904,7.5697,-3.4703,5.4782,30.884,8.8889,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2022,"Both states",70,0.4584,12.8513,-0.0134,8.8105,56.9271,12.7674,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2022,"California",44,-0.1061,15.7459,-1.7713,11.3705,56.9271,15.5663,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2022,"Florida",26,1.4136,5.2795,2.3446,4.4782,13.0102,5.3665,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2023,"Both states",69,4.9036,13.6395,4.9375,10.8831,45.8913,14.4008,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2023,"California",43,1.6069,15.522,-1.1948,11.1641,45.8913,15.4244,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2023,"Florida",26,10.3558,7.186,10.3898,10.4184,33.9116,12.5258,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2024,"Both states",70,-2.0856,13.0914,-3.6632,9.6421,47.2091,13.1638,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2024,"California",44,-1.4006,15.9874,-3.5905,12.3116,47.2091,15.8667,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2024,"Florida",26,-3.2447,5.5828,-3.6632,5.1244,14.9756,6.3637,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2025,"Both states",70,-5.1812,12.0324,-5.8071,10.0395,41.6068,13.0213,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2025,"California",44,-4.2693,14.6295,-4.8552,11.8423,41.6068,15.0793,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
2025,"Florida",26,-6.7244,5.2471,-6.5306,6.9886,22.9411,8.467,"pooled_lasso_state_interactions","min","observed minus predicted (positive = model under-predicts)"
