"predictor","domain","variation_level","main_headline_selfreq","main_headline_mean_coef","main_headline_sign_consistency","headline_fl_interaction_selfreq","main_pooled_selfreq","main_pooled_mean_coef","main_pooled_sign_consistency","direction_main","sens_S1_split_county","sens_S1_sign","available_S1","sens_S2_stable_cocs","sens_S2_sign","available_S2","sens_S3_structural_only","sens_S3_sign","available_S3","sens_S4_persistence_adjusted","sens_S4_sign","available_S4","sens_S4b_persistence_strict","sens_S4b_sign","available_S4b","sens_S5_no_hpi","sens_S5_sign","available_S5","n_sens_available","n_sens_selected_half","sign_agreement_across_samples","stable_across_all_samples","in_highly_correlated_pair","correlated_partners","attribution_identified","robustness_class","selfreq_when_prior_year_rate_is_available","prior_rate_note"
"coc_annual_hpi_change_pct","Housing market","CoC-year",1,-0.6823,1,0.75,1,-0.82851,1,"negative",0.875,"negative",TRUE,0.75,"negative",TRUE,1,"negative",TRUE,1,"negative",TRUE,1,"negative",TRUE,1,"negative",TRUE,6,6,1,TRUE,FALSE,,TRUE,"A. Stable in every sample where available (>=50% of folds and the same sign throughout)",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_log_estimated_population","Scale/geography","CoC-year",1,-7.13026,1,0.5,1,-7.4036,1,"negative",1,"negative",TRUE,1,"negative",TRUE,1,"negative",TRUE,1,"negative",TRUE,1,"negative",TRUE,1,"negative",TRUE,6,6,1,TRUE,FALSE,,TRUE,"A. Stable in every sample where available (>=50% of folds and the same sign throughout)",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_hic_psh_beds_per_10k","Service capacity","CoC-year",1,13.55636,1,0,1,12.49409,1,"positive",1,"positive",TRUE,1,"positive",TRUE,,,FALSE,1,"positive",TRUE,1,"positive",TRUE,1,"positive",TRUE,5,5,1,TRUE,FALSE,,TRUE,"A. Stable in every sample where available (>=50% of folds and the same sign throughout)",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_hic_temporary_beds_per_10k","Service capacity","CoC-year",1,8.17802,1,1,1,5.29972,1,"positive",1,"positive",TRUE,1,"positive",TRUE,,,FALSE,1,"positive",TRUE,1,"positive",TRUE,1,"positive",TRUE,5,5,1,TRUE,FALSE,,TRUE,"A. Stable in every sample where available (>=50% of folds and the same sign throughout)",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_population_density_per_sq_mile","Scale/geography","CoC-year",1,-5.73412,1,0,1,-3.69231,1,"negative",0.75,"negative",TRUE,0,,TRUE,1,"positive",TRUE,1,"negative",TRUE,1,"negative",TRUE,1,"negative",TRUE,6,5,0.833333333333333,FALSE,FALSE,,TRUE,"B. Frequently selected in the main model; falls below 50% in one or two samples",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_population_growth_rate_pct","Demographic","CoC-year",1,-1.42218,1,0,1,-0.68567,1,"negative",0.875,"negative",TRUE,0.5,"negative",TRUE,1,"negative",TRUE,1,"negative",TRUE,0,,TRUE,1,"negative",TRUE,6,5,1,FALSE,TRUE,"coc_domestic_migration_rate_per_1000",FALSE,"B. Frequently selected in the main model; falls below 50% in one or two samples",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_housing_cost_burdened_households_pct","Housing market","CoC-year",1,5.79367,1,0.375,0.875,2.6047,1,"positive",1,"positive",TRUE,0.75,"positive",TRUE,1,"positive",TRUE,1,"positive",TRUE,1,"positive",TRUE,1,"positive",TRUE,6,6,1,TRUE,FALSE,,TRUE,"A. Stable in every sample where available (>=50% of folds and the same sign throughout)",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_international_migration_rate_per_1000","Demographic","CoC-year",1,-0.95526,1,0.5,0.875,-1.76189,1,"negative",0.75,"negative",TRUE,0.875,"negative",TRUE,1,"negative",TRUE,0.857142857142857,"negative",TRUE,0.714285714285714,"negative",TRUE,0.875,"negative",TRUE,6,6,1,TRUE,FALSE,,TRUE,"A. Stable in every sample where available (>=50% of folds and the same sign throughout)",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_contributing_counties","Scale/geography","CoC-year",0.125,-0.02,1,0,0.75,-0.33268,1,"negative",0,,TRUE,1,"negative",TRUE,1,"negative",TRUE,0.714285714285714,"negative",TRUE,0.714285714285714,"negative",TRUE,1,"negative",TRUE,6,5,1,FALSE,FALSE,,TRUE,"B. Frequently selected in the main model; falls below 50% in one or two samples",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
"coc_birth_rate_per_1000","Demographic","CoC-year",0,0,,0,0.625,-0.08467,1,"negative",0,,TRUE,0.75,"negative",TRUE,0.625,"negative",TRUE,0.428571428571429,"negative",TRUE,0,,TRUE,0.625,"negative",TRUE,6,3,1,FALSE,FALSE,,TRUE,"C. Selected in the main model but not carried by the sensitivity samples",0,"With each CoC's own prior-year rate present as an unpenalized control, EVERY candidate factor and every state interaction is shrunk to exactly zero in all 7 folds, under both lambda rules, in both S4 and S4b."
