"predictor","domain","main_model","sign_consistency","split_county","stable_coc","structural_only","persistence_adj","no_hpi","robustness_class"
"coc_annual_hpi_change_pct","Housing market","1.00 (negative)","1.00","0.88","0.75","1.00","1.00","1.00","A. Stable in every sample where available (>=50% of folds and the same sign throughout)"
"coc_log_estimated_population","Scale/geography","1.00 (negative)","1.00","1.00","1.00","1.00","1.00","1.00","A. Stable in every sample where available (>=50% of folds and the same sign throughout)"
"coc_hic_psh_beds_per_10k","Service capacity","1.00 (positive)","1.00","1.00","1.00","n/a","1.00","1.00","A. Stable in every sample where available (>=50% of folds and the same sign throughout)"
"coc_hic_temporary_beds_per_10k","Service capacity","1.00 (positive)","1.00","1.00","1.00","n/a","1.00","1.00","A. Stable in every sample where available (>=50% of folds and the same sign throughout)"
"coc_population_density_per_sq_mile","Scale/geography","1.00 (negative)","1.00","0.75","0.00","1.00","1.00","1.00","B. Frequently selected in the main model; falls below 50% in one or two samples"
"coc_population_growth_rate_pct","Demographic","1.00 (negative)","1.00","0.88","0.50","1.00","1.00","1.00","B. Frequently selected in the main model; falls below 50% in one or two samples"
"coc_housing_cost_burdened_households_pct","Housing market","0.88 (positive)","1.00","1.00","0.75","1.00","1.00","1.00","A. Stable in every sample where available (>=50% of folds and the same sign throughout)"
"coc_international_migration_rate_per_1000","Demographic","0.88 (negative)","1.00","0.75","0.88","1.00","0.86","0.88","A. Stable in every sample where available (>=50% of folds and the same sign throughout)"
"coc_contributing_counties","Scale/geography","0.75 (negative)","1.00","0.00","1.00","1.00","0.71","1.00","B. Frequently selected in the main model; falls below 50% in one or two samples"
"coc_birth_rate_per_1000","Demographic","0.62 (negative)","1.00","0.00","0.75","0.62","0.43","0.62","C. Selected in the main model but not carried by the sensitivity samples"
"coc_housing_units_per_1000_residents","Housing stock/supply","0.62 (positive)","1.00","0.12","0.00","1.00","0.57","0.00","C. Selected in the main model but not carried by the sensitivity samples"
"coc_income_inequality_ratio","Economic","0.62 (negative)","1.00","0.38","0.00","0.75","0.71","1.00","C. Selected in the main model but not carried by the sensitivity samples"
"coc_real_gdp_quantity_index","Economic","0.50 (positive)","1.00","0.50","0.38","0.75","0.57","0.62","B. Frequently selected in the main model; falls below 50% in one or two samples"
"state_anticamping_strictness","Policy","0.50 (negative)","1.00","0.50","0.50","0.50","0.43","0.50","B. Frequently selected in the main model; falls below 50% in one or two samples"
"state_rental_vacancy_rate","Housing market","0.50 (positive)","1.00","0.12","0.75","0.50","0.43","0.50","C. Selected in the main model but not carried by the sensitivity samples"
"state_real_minimum_wage_2025_usd","Economic","0.38 (positive)","1.00","0.12","0.62","0.25","0.29","0.50","D. Sensitivity-only: below 50% in the main model; reaches 50% only under an alternative sample or predictor set"
"coc_permits_value_per_1000_housing_units_2025_usd","Housing stock/supply","0.38 (positive)","0.67","0.12","0.00","0.00","0.43","0.25","E. Occasionally selected but never in half the folds of any sample"
"coc_unemployment_rate_pct","Economic","0.25 (negative)","1.00","0.50","0.25","0.50","0.29","0.38","D. Sensitivity-only: below 50% in the main model; reaches 50% only under an alternative sample or predictor set"
"coc_death_rate_per_1000","Demographic","0.25 (positive)","1.00","0.00","0.00","0.38","0.29","0.25","E. Occasionally selected but never in half the folds of any sample"
"coc_group_quarters_per_1000_residents","Housing stock/supply","0.12 (positive)","1.00","0.50","1.00","0.25","0.14","1.00","D. Sensitivity-only: below 50% in the main model; reaches 50% only under an alternative sample or predictor set"
"coc_contains_split_county_flag","Scale/geography","0.12 (negative)","1.00","n/a","0.00","1.00","0.00","0.25","D. Sensitivity-only: below 50% in the main model; reaches 50% only under an alternative sample or predictor set"
"coc_housing_supply_growth_rate_pct","Housing stock/supply","0.12 (positive)","1.00","0.12","0.00","0.12","0.14","0.00","E. Occasionally selected but never in half the folds of any sample"
"coc_poverty_all_pct","Economic","0.12 (negative)","1.00","0.00","0.00","0.00","0.14","0.00","E. Occasionally selected but never in half the folds of any sample"
"coc_real_gdp_per_capita_2017_usd","Economic","0.12 (negative)","1.00","0.00","0.00","0.25","0.14","0.25","E. Occasionally selected but never in half the folds of any sample"
"coc_real_median_household_income_2025_usd","Economic","0.12 (negative)","1.00","0.00","0.00","0.00","0.14","0.12","E. Occasionally selected but never in half the folds of any sample"
"coc_relative_home_price_index_2000_base","Housing market","0.12 (positive)","1.00","0.00","0.25","0.00","0.14","n/a","E. Occasionally selected but never in half the folds of any sample"
"coc_high_school_graduate_pct","Demographic","0.00 (-)","NA","0.25","0.00","0.88","0.00","0.12","D. Sensitivity-only: below 50% in the main model; reaches 50% only under an alternative sample or predictor set"
"coc_homeownership_rate_pct","Housing market","0.00 (-)","NA","0.12","0.00","1.00","0.00","0.00","D. Sensitivity-only: below 50% in the main model; reaches 50% only under an alternative sample or predictor set"
"coc_poverty_child_pct","Economic","0.00 (-)","NA","0.12","0.50","0.38","0.00","0.00","D. Sensitivity-only: below 50% in the main model; reaches 50% only under an alternative sample or predictor set"
"coc_real_per_capita_personal_income_2025_usd","Economic","0.00 (-)","NA","0.00","0.00","0.50","0.00","0.00","D. Sensitivity-only: below 50% in the main model; reaches 50% only under an alternative sample or predictor set"
"coc_domestic_migration_rate_per_1000","Demographic","0.00 (-)","NA","0.00","0.00","0.00","0.00","0.00","F. Never selected in any sample"
"coc_multifamily_permit_share_pct","Housing stock/supply","0.00 (-)","NA","0.00","0.00","0.00","0.00","0.00","F. Never selected in any sample"
"coc_permits_per_1000_housing_units","Housing stock/supply","0.00 (-)","NA","0.00","0.00","0.00","0.00","0.00","F. Never selected in any sample"
"state_labor_force_participation_pct","Economic","0.00 (-)","NA","0.00","0.00","0.00","0.00","0.00","F. Never selected in any sample"
"state_medicaid_expansion","Policy","0.00 (-)","NA","0.00","0.00","0.00","0.00","0.00","F. Never selected in any sample"
"state_real_median_rent_2025_usd","Housing market","0.00 (-)","NA","0.00","0.00","0.00","0.00","0.00","F. Never selected in any sample"
"state_ssi_state_supplement","Policy","0.00 (-)","NA","0.00","0.00","0.00","0.00","0.00","F. Never selected in any sample"
"state_tanf_max_benefit_3person","Policy","0.00 (-)","NA","0.00","0.00","0.00","0.00","0.00","F. Never selected in any sample"
