"coefficient","SE","Coefficient","lambda_rule","logged_variable","control_type"
5.29638407821118,NA,"(Intercept)","lambda.min",FALSE,""
-0.408032046468023,NA,"control_state_florida","lambda.min",FALSE,"state (binary)"
0.0396224646045471,NA,"control_predictor_year2012","lambda.min",FALSE,"time (categorical)"
0.0447779926312987,NA,"control_predictor_year2013","lambda.min",FALSE,"time (categorical)"
-0.175339334192483,NA,"control_predictor_year2014","lambda.min",FALSE,"time (categorical)"
-0.182478409320327,NA,"control_predictor_year2015","lambda.min",FALSE,"time (categorical)"
-0.281884150078938,NA,"control_predictor_year2016","lambda.min",FALSE,"time (categorical)"
-0.318371751014063,NA,"control_predictor_year2017","lambda.min",FALSE,"time (categorical)"
-0.318056619432605,NA,"control_predictor_year2018","lambda.min",FALSE,"time (categorical)"
-0.425505013162619,NA,"control_predictor_year2019","lambda.min",FALSE,"time (categorical)"
-0.59404519086989,NA,"control_predictor_year2021","lambda.min",FALSE,"time (categorical)"
-0.501518435659402,NA,"control_predictor_year2022","lambda.min",FALSE,"time (categorical)"
-0.628940503442386,NA,"control_predictor_year2023","lambda.min",FALSE,"time (categorical)"
-0.782613576103201,NA,"control_predictor_year2024","lambda.min",FALSE,"time (categorical)"
-0.113282149986354,NA,"coc_log_estimated_population","lambda.min",FALSE,""
-0.0590564430946322,NA,"coc_population_density_per_sq_mile","lambda.min",TRUE,""
-0.00345133718362302,NA,"coc_contributing_counties","lambda.min",FALSE,""
0.00109552469102556,NA,"coc_housing_units_per_1000_residents","lambda.min",FALSE,""
0.00148479806273053,NA,"coc_multifamily_permit_share_pct","lambda.min",FALSE,""
-0.101568752815065,NA,"coc_permits_value_per_1000_housing_units_2025_usd","lambda.min",TRUE,""
0.0305045759099997,NA,"coc_death_rate_per_1000","lambda.min",FALSE,""
0.0032683476476578,NA,"coc_international_migration_rate_per_1000","lambda.min",FALSE,""
0.00048747895709108,NA,"coc_group_quarters_per_1000_residents","lambda.min",FALSE,""
-0.0191165361212903,NA,"coc_poverty_child_pct","lambda.min",FALSE,""
0.343563725616418,NA,"coc_real_per_capita_personal_income_2025_usd","lambda.min",TRUE,""
0.0146886241771722,NA,"coc_unemployment_rate_pct","lambda.min",FALSE,""
-0.0038176738897558,NA,"coc_high_school_graduate_pct","lambda.min",FALSE,""
-0.0196837001143335,NA,"coc_homeownership_rate_pct","lambda.min",FALSE,""
-0.0111201345044946,NA,"coc_housing_cost_burdened_households_pct","lambda.min",FALSE,""
-0.404853257844511,NA,"coc_real_gdp_per_capita_2017_usd","lambda.min",TRUE,""
0.00536060220652056,NA,"coc_real_gdp_quantity_index","lambda.min",FALSE,""
0.0487322571910275,NA,"coc_relative_home_price_index_2000_base","lambda.min",TRUE,""
0.0995459549958599,NA,"state_real_minimum_wage_2025_usd","lambda.min",FALSE,""
0.0520975932130722,NA,"state_medicaid_expansion","lambda.min",FALSE,""
0.378453282157795,NA,"coc_hic_temporary_beds_per_10k","lambda.min",TRUE,""
0.19647528450773,NA,"coc_hic_psh_beds_per_10k","lambda.min",TRUE,""
0.0531038531835742,NA,"state_rental_vacancy_rate","lambda.min",FALSE,""
4.18718990227909,NA,"(Intercept)","lambda.1se",FALSE,""
-0.313497875950967,NA,"control_state_florida","lambda.1se",FALSE,"state (binary)"
-0.0226461893545663,NA,"control_predictor_year2012","lambda.1se",FALSE,"time (categorical)"
-0.0615983670377138,NA,"control_predictor_year2013","lambda.1se",FALSE,"time (categorical)"
-0.258568747192807,NA,"control_predictor_year2014","lambda.1se",FALSE,"time (categorical)"
-0.26230431574425,NA,"control_predictor_year2015","lambda.1se",FALSE,"time (categorical)"
-0.263151644897183,NA,"control_predictor_year2016","lambda.1se",FALSE,"time (categorical)"
-0.221865670134787,NA,"control_predictor_year2017","lambda.1se",FALSE,"time (categorical)"
-0.19257201076987,NA,"control_predictor_year2018","lambda.1se",FALSE,"time (categorical)"
-0.20880095271169,NA,"control_predictor_year2019","lambda.1se",FALSE,"time (categorical)"
-0.271651701521824,NA,"control_predictor_year2021","lambda.1se",FALSE,"time (categorical)"
-0.216750647191787,NA,"control_predictor_year2022","lambda.1se",FALSE,"time (categorical)"
-0.249107713458733,NA,"control_predictor_year2023","lambda.1se",FALSE,"time (categorical)"
-0.342196756506201,NA,"control_predictor_year2024","lambda.1se",FALSE,"time (categorical)"
-0.135498951566804,NA,"coc_log_estimated_population","lambda.1se",FALSE,""
-0.0138829405706899,NA,"coc_population_density_per_sq_mile","lambda.1se",TRUE,""
-0.0030665154015694,NA,"coc_contains_split_county_flag","lambda.1se",FALSE,""
0.00095013145495713,NA,"coc_housing_units_per_1000_residents","lambda.1se",FALSE,""
-0.0770125610964423,NA,"coc_permits_value_per_1000_housing_units_2025_usd","lambda.1se",TRUE,""
0.000526366709135156,NA,"coc_group_quarters_per_1000_residents","lambda.1se",FALSE,""
0.00593145830709977,NA,"coc_real_per_capita_personal_income_2025_usd","lambda.1se",TRUE,""
0.0312857807095047,NA,"state_real_minimum_wage_2025_usd","lambda.1se",FALSE,""
0.136517707381465,NA,"state_medicaid_expansion","lambda.1se",FALSE,""
0.435987249663226,NA,"coc_hic_temporary_beds_per_10k","lambda.1se",TRUE,""
0.156205524221811,NA,"coc_hic_psh_beds_per_10k","lambda.1se",TRUE,""
