"predictor","coefficient","direction","nominal_post_selection_p_value","role"
"Predictor-year fixed effects (control; 2011 reference)",NA,"Categorical",0.000352235878125651,"unpenalized control"
"State: Florida vs California (control)",-0.432760885606747,"decreases",0.0111515616115944,"unpenalized control"
"Log estimated population",-0.105121292804358,"decreases",6.1717223976401e-07,"retained term"
"Population density (log)",-0.0688840566153978,"decreases",3.16508091720596e-05,"retained term"
"Housing units per 1,000 residents",0.00112401530623849,"increases",0.00163389504749793,"retained term"
"Multifamily permit share",0.00220029499729628,"increases",0.0270442923097912,"retained term"
"Permit value per 1,000 housing units (log)",-0.103034822864706,"decreases",0.00016087523001229,"retained term"
"Death rate per 1,000",0.0357805924657692,"increases",0.0054696122249223,"retained term"
"Child poverty rate",-0.0230965410922167,"decreases",6.91275516233639e-06,"retained term"
"Real per-capita personal income (log)",0.455457363930937,"increases",3.64514960191476e-05,"retained term"
"Unemployment rate",0.0236413106796723,"increases",0.00699016641795988,"retained term"
"Homeownership rate",-0.0280000510174227,"decreases",1.90313307130621e-08,"retained term"
"Housing-cost-burdened households",-0.013368416225577,"decreases",0.00436827282912869,"retained term"
"Real GDP per capita (log)",-0.539492563102053,"decreases",3.06919544883524e-07,"retained term"
"Real GDP quantity index",0.00703735808580748,"increases",0.00120024150050758,"retained term"
"Real minimum wage",0.120164038086453,"increases",7.02136110267174e-06,"retained term"
"Temporary beds per 10,000 (log)",0.349847201044229,"increases",1.84641886621334e-22,"retained term"
"PSH beds per 10,000 (log)",0.201031448564623,"increases",1.72621298618827e-15,"retained term"
"Rental vacancy rate",0.0668983351168037,"increases",0.00262134095965031,"retained term"
