"variable","transform","min_original","n_zero","reason"
"target_homeless_rate_per_10k","log(x)",4.82755130246556,0,"smallest rate is 4.83, so plain log works"
"coc_population_density_per_sq_mile","log(x)",2.27484028534356,0,"all values above zero"
"coc_real_gdp_per_capita_2017_usd","log(x)",22972.4574725176,0,"all values above zero"
"coc_hic_psh_beds_per_10k","log(1 + x)",0,60,"60 real zeros (CoC-years with no beds); log(0) undefined"
"coc_hic_temporary_beds_per_10k","log(1 + x)",0,1,"1 real zeros (CoC-years with no beds); log(0) undefined"
"coc_permits_per_1000_housing_units","log(x)",0.2142602071182,0,"all values above zero"
"coc_permits_value_per_1000_housing_units_2025_usd","log(x)",77600.2760910554,0,"all values above zero"
"coc_real_median_household_income_2025_usd","log(x)",48419.6080448505,0,"all values above zero"
"coc_real_per_capita_personal_income_2025_usd","log(x)",38242.0896546557,0,"all values above zero"
"coc_relative_home_price_index_2000_base","log(x)",91.18,0,"all values above zero"
