"model","lambda_rule","state","scope","n","rmse","mae","r2"
"pooled_lasso","1se","California","pooled_all_folds",347,18.8821426803854,12.7287033828634,0.390252718318497
"pooled_lasso","1se","Florida","pooled_all_folds",208,8.47151511368297,4.9274975982346,0.584742642436457
"pooled_lasso","min","California","pooled_all_folds",347,17.7440313702756,12.3273863166976,0.461541897935129
"pooled_lasso","min","Florida","pooled_all_folds",208,9.95465617447362,6.53940186209325,0.426613207645941
"pooled_lasso_state_interactions","1se","California","pooled_all_folds",347,17.6596435149369,12.1899485833718,0.466651365146358
"pooled_lasso_state_interactions","1se","Florida","pooled_all_folds",208,9.50064451755434,6.10981525634732,0.477722528165983
"pooled_lasso_state_interactions","min","California","pooled_all_folds",347,16.7508216061155,12.0202008726193,0.520134475217338
"pooled_lasso_state_interactions","min","Florida","pooled_all_folds",208,10.3862986529626,7.00677991409103,0.375810054383318
"separate_lasso_CA","1se","California","pooled_all_folds",347,15.6257218402124,11.8771617374655,0.582431719825526
"separate_lasso_CA","min","California","pooled_all_folds",347,15.8351784432386,12.188017405043,0.571162015422629
"separate_lasso_FL","1se","Florida","pooled_all_folds",208,10.4093278023429,7.34697458140855,0.373038999925975
"separate_lasso_FL","min","Florida","pooled_all_folds",208,10.4406935389008,7.88574148368405,0.369254947450166
"separate_state_lasso","1se","California","pooled_all_folds",347,15.6257218402124,11.8771617374655,0.582431719825526
"separate_state_lasso","1se","Florida","pooled_all_folds",208,10.4093278023429,7.34697458140855,0.373038999925975
"separate_state_lasso","min","California","pooled_all_folds",347,15.8351784432386,12.188017405043,0.571162015422629
"separate_state_lasso","min","Florida","pooled_all_folds",208,10.4406935389008,7.88574148368405,0.369254947450166
"state_time_baseline","none","California","pooled_all_folds",347,25.6558867595267,18.6502825628232,-0.125696673999119
"state_time_baseline","none","Florida","pooled_all_folds",208,13.6130144366568,8.86547910335601,-0.0722690390948102
