"model","lambda_rule","term","n_folds","n_selected","selection_freq","mean_coef","sd_coef","mean_coef_when_selected","sign_consistency"
"pooled_lasso","1se","control_state_florida",8,8,1,-9.11035884461282,3.01429497083426,-9.11035884461282,1
"pooled_lasso","1se","coc_hic_temporary_beds_per_10k",8,8,1,6.05606832174213,1.14654944840364,6.05606832174213,1
"pooled_lasso","1se","coc_hic_psh_beds_per_10k",8,8,1,5.97724926959698,0.885402629533838,5.97724926959698,1
"pooled_lasso","1se","coc_log_estimated_population",8,8,1,-5.44251309514748,0.917889352581088,-5.44251309514748,1
"pooled_lasso","1se","control_time_index",8,8,1,-1.14840018395327,0.789663780957682,-1.14840018395327,1
"pooled_lasso","1se","coc_population_growth_rate_pct",8,1,0.125,-0.0447626520462735,0.126607899223255,-0.358101216370188,1
"pooled_lasso","1se","coc_annual_hpi_change_pct",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_birth_rate_per_1000",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_contains_split_county_flag",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_contributing_counties",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_death_rate_per_1000",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_domestic_migration_rate_per_1000",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_group_quarters_per_1000_residents",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_high_school_graduate_pct",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_homeownership_rate_pct",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_housing_cost_burdened_households_pct",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_housing_supply_growth_rate_pct",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_housing_units_per_1000_residents",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_income_inequality_ratio",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_international_migration_rate_per_1000",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_multifamily_permit_share_pct",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_permits_per_1000_housing_units",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_permits_value_per_1000_housing_units_2025_usd",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_population_density_per_sq_mile",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_poverty_all_pct",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_poverty_child_pct",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_real_gdp_per_capita_2017_usd",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_real_gdp_quantity_index",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_real_median_household_income_2025_usd",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_real_per_capita_personal_income_2025_usd",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_relative_home_price_index_2000_base",8,0,0,0,0,NA,NA
"pooled_lasso","1se","coc_unemployment_rate_pct",8,0,0,0,0,NA,NA
"pooled_lasso","1se","state_anticamping_strictness",8,0,0,0,0,NA,NA
"pooled_lasso","1se","state_labor_force_participation_pct",8,0,0,0,0,NA,NA
"pooled_lasso","1se","state_medicaid_expansion",8,0,0,0,0,NA,NA
"pooled_lasso","1se","state_real_median_rent_2025_usd",8,0,0,0,0,NA,NA
"pooled_lasso","1se","state_real_minimum_wage_2025_usd",8,0,0,0,0,NA,NA
"pooled_lasso","1se","state_rental_vacancy_rate",8,0,0,0,0,NA,NA
"pooled_lasso","1se","state_ssi_state_supplement",8,0,0,0,0,NA,NA
"pooled_lasso","1se","state_tanf_max_benefit_3person",8,0,0,0,0,NA,NA
"pooled_lasso","min","coc_hic_psh_beds_per_10k",8,8,1,12.4940918842762,2.9685968211775,12.4940918842762,1
"pooled_lasso","min","coc_log_estimated_population",8,8,1,-7.40360191158945,1.1935603734181,-7.40360191158945,1
"pooled_lasso","min","coc_hic_temporary_beds_per_10k",8,8,1,5.29971941347036,1.47312563242575,5.29971941347036,1
"pooled_lasso","min","control_state_florida",8,8,1,-4.70473149466939,5.43974598542329,-4.70473149466939,0.625
"pooled_lasso","min","coc_population_density_per_sq_mile",8,8,1,-3.69230931107453,1.34140179255317,-3.69230931107453,1
"pooled_lasso","min","control_time_index",8,8,1,-1.0987627673661,1.03290212549547,-1.0987627673661,1
"pooled_lasso","min","coc_annual_hpi_change_pct",8,8,1,-0.828508851340082,0.376822733670438,-0.828508851340082,1
"pooled_lasso","min","coc_population_growth_rate_pct",8,8,1,-0.685667612862749,0.309405631880615,-0.685667612862749,1
"pooled_lasso","min","coc_housing_cost_burdened_households_pct",8,7,0.875,2.60470081931234,1.61300911939314,2.97680093635696,1
"pooled_lasso","min","coc_international_migration_rate_per_1000",8,7,0.875,-1.76189471597851,1.1492845063842,-2.0135939611183,1
"pooled_lasso","min","coc_contributing_counties",8,6,0.75,-0.332682604989063,0.272590997643739,-0.443576806652084,1
"pooled_lasso","min","coc_income_inequality_ratio",8,5,0.625,-0.991963735047676,1.11894625549082,-1.58714197607628,1
"pooled_lasso","min","coc_housing_units_per_1000_residents",8,5,0.625,0.637805716446858,0.573122668695538,1.02048914631497,1
"pooled_lasso","min","coc_birth_rate_per_1000",8,5,0.625,-0.0846715720302122,0.105338710538065,-0.13547451524834,1
"pooled_lasso","min","coc_real_gdp_quantity_index",8,4,0.5,0.806811462254978,0.980528660975464,1.61362292450996,1
"pooled_lasso","min","state_rental_vacancy_rate",8,4,0.5,0.200018593328312,0.264147221525723,0.400037186656625,1
"pooled_lasso","min","state_anticamping_strictness",8,4,0.5,-0.129601011014711,0.164295742769833,-0.259202022029423,1
"pooled_lasso","min","state_real_minimum_wage_2025_usd",8,3,0.375,0.215625735200631,0.419765631973815,0.575001960535016,1
"pooled_lasso","min","coc_permits_value_per_1000_housing_units_2025_usd",8,3,0.375,0.168861838130483,0.339535457696449,0.450298235014623,0.666666666666667
"pooled_lasso","min","coc_unemployment_rate_pct",8,2,0.25,-0.460299244366986,0.921128779718815,-1.84119697746795,1
"pooled_lasso","min","coc_death_rate_per_1000",8,2,0.25,0.0928618904189269,0.178258813418669,0.371447561675708,1
"pooled_lasso","min","coc_housing_supply_growth_rate_pct",8,1,0.125,0.0433601371471005,0.122640988039574,0.346881097176804,1
"pooled_lasso","min","coc_poverty_all_pct",8,1,0.125,-0.0304959337565547,0.0862555262315022,-0.243967470052437,1
"pooled_lasso","min","coc_relative_home_price_index_2000_base",8,1,0.125,0.0258147508213255,0.0730151414416009,0.206518006570604,1
"pooled_lasso","min","coc_real_median_household_income_2025_usd",8,1,0.125,-0.0195034923059626,0.0551642066654634,-0.156027938447701,1
"pooled_lasso","min","coc_contains_split_county_flag",8,1,0.125,-0.0156378577068329,0.0442305409109275,-0.125102861654664,1
"pooled_lasso","min","coc_group_quarters_per_1000_residents",8,1,0.125,0.0137737842420412,0.0389581449605909,0.110190273936329,1
"pooled_lasso","min","coc_real_gdp_per_capita_2017_usd",8,1,0.125,-0.0101134589547071,0.0286051816325008,-0.0809076716376567,1
"pooled_lasso","min","coc_domestic_migration_rate_per_1000",8,0,0,0,0,NA,NA
"pooled_lasso","min","coc_high_school_graduate_pct",8,0,0,0,0,NA,NA
"pooled_lasso","min","coc_homeownership_rate_pct",8,0,0,0,0,NA,NA
"pooled_lasso","min","coc_multifamily_permit_share_pct",8,0,0,0,0,NA,NA
"pooled_lasso","min","coc_permits_per_1000_housing_units",8,0,0,0,0,NA,NA
"pooled_lasso","min","coc_poverty_child_pct",8,0,0,0,0,NA,NA
"pooled_lasso","min","coc_real_per_capita_personal_income_2025_usd",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_labor_force_participation_pct",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_medicaid_expansion",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_real_median_rent_2025_usd",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_ssi_state_supplement",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_tanf_max_benefit_3person",8,0,0,0,0,NA,NA
"pooled_lasso_state_interactions","1se","coc_hic_psh_beds_per_10k",8,8,1,10.8309901046687,1.8132235541344,10.8309901046687,1
"pooled_lasso_state_interactions","1se","coc_log_estimated_population",8,8,1,-6.91236076266618,0.856857147690531,-6.91236076266618,1
"pooled_lasso_state_interactions","1se","control_state_florida",8,8,1,-6.80590168689738,4.58763123652163,-6.80590168689738,1
"pooled_lasso_state_interactions","1se","coc_hic_temporary_beds_per_10k",8,8,1,6.14144283480428,1.70879424851418,6.14144283480428,1
"pooled_lasso_state_interactions","1se","coc_population_density_per_sq_mile",8,8,1,-2.87312152023899,0.823450818918185,-2.87312152023899,1
"pooled_lasso_state_interactions","1se","coc_housing_cost_burdened_households_pct",8,8,1,1.44695657269421,0.658572731604866,1.44695657269421,1
"pooled_lasso_state_interactions","1se","control_time_index",8,8,1,-1.08011427958394,1.12620662817936,-1.08011427958394,1
"pooled_lasso_state_interactions","1se","coc_international_migration_rate_per_1000",8,7,0.875,-1.47037263611685,0.897830138321465,-1.68042586984782,1
"pooled_lasso_state_interactions","1se","coc_population_growth_rate_pct",8,6,0.75,-0.544256537905742,0.452254894631173,-0.725675383874323,1
"pooled_lasso_state_interactions","1se","coc_annual_hpi_change_pct",8,6,0.75,-0.540887890744424,0.431795005404673,-0.721183854325899,1
"pooled_lasso_state_interactions","1se","coc_contains_split_county_flag:FL",8,6,0.75,-0.446092316167798,0.424012055883491,-0.594789754890398,1
"pooled_lasso_state_interactions","1se","coc_housing_units_per_1000_residents",8,5,0.625,0.689934427413513,0.588109221410664,1.10389508386162,1
"pooled_lasso_state_interactions","1se","coc_hic_temporary_beds_per_10k:FL",8,4,0.5,-0.751272069337286,1.00327570060411,-1.50254413867457,1
"pooled_lasso_state_interactions","1se","coc_real_gdp_quantity_index",8,3,0.375,0.518798562777419,0.741174957926651,1.38346283407312,1
"pooled_lasso_state_interactions","1se","state_rental_vacancy_rate:FL",8,3,0.375,0.422971422963232,0.769244094998392,1.12792379456862,1
"pooled_lasso_state_interactions","1se","coc_real_gdp_quantity_index:FL",8,3,0.375,-0.272193178863636,0.484266941375157,-0.725848476969697,1
"pooled_lasso_state_interactions","1se","coc_unemployment_rate_pct",8,2,0.25,-0.201552728622649,0.451858890285217,-0.806210914490598,1
"pooled_lasso_state_interactions","1se","coc_homeownership_rate_pct:FL",8,2,0.25,0.121987596308733,0.233249261525572,0.487950385234934,1
"pooled_lasso_state_interactions","1se","coc_group_quarters_per_1000_residents:FL",8,2,0.25,-0.095364040890368,0.198481150316011,-0.381456163561472,1
"pooled_lasso_state_interactions","1se","coc_annual_hpi_change_pct:FL",8,2,0.25,-0.0662011979222075,0.135553893047324,-0.26480479168883,1
"pooled_lasso_state_interactions","1se","coc_income_inequality_ratio",8,2,0.25,-0.0513252339813266,0.104550855098387,-0.205300935925306,1
"pooled_lasso_state_interactions","1se","coc_income_inequality_ratio:FL",8,2,0.25,-0.0374902941912552,0.0998271066008263,-0.149961176765021,1
"pooled_lasso_state_interactions","1se","coc_death_rate_per_1000",8,1,0.125,0.0207031774377553,0.0585574286333805,0.165625419502043,1
"pooled_lasso_state_interactions","1se","coc_group_quarters_per_1000_residents",8,1,0.125,0.0147582698916143,0.0417426908757668,0.118066159132914,1
"pooled_lasso_state_interactions","1se","state_anticamping_strictness",8,1,0.125,-0.0142816247409822,0.0403945348028403,-0.114252997927858,1
"pooled_lasso_state_interactions","1se","coc_real_median_household_income_2025_usd",8,1,0.125,-0.013399474536952,0.0378994372376609,-0.107195796295616,1
"pooled_lasso_state_interactions","1se","coc_permits_value_per_1000_housing_units_2025_usd:FL",8,1,0.125,0.0121716209243755,0.0344265427746319,0.097372967395004,1
"pooled_lasso_state_interactions","1se","coc_permits_value_per_1000_housing_units_2025_usd",8,1,0.125,-0.0107167375115517,0.0303115110664578,-0.0857339000924135,1
"pooled_lasso_state_interactions","1se","coc_birth_rate_per_1000",8,0,0,0,0,NA,NA
"pooled_lasso_state_interactions","1se","coc_birth_rate_per_1000:FL",8,0,0,0,0,NA,NA
"pooled_lasso_state_interactions","1se","coc_contains_split_county_flag",8,0,0,0,0,NA,NA
