"model","lambda_rule","fold","validation_year","term","coefficient","lambda"
"pooled_lasso","min",1,2017,"(Intercept)",42.8824847939109,0.651484478321249
"pooled_lasso","min",1,2017,"control_state_florida",1.42774226435343,0.651484478321249
"pooled_lasso","min",1,2017,"control_time_index",-3.14218484328993,0.651484478321249
"pooled_lasso","min",1,2017,"coc_log_estimated_population",-8.73309826756357,0.651484478321249
"pooled_lasso","min",1,2017,"coc_population_density_per_sq_mile",-3.58802576366424,0.651484478321249
"pooled_lasso","min",1,2017,"coc_contributing_counties",-0.339430270708087,0.651484478321249
"pooled_lasso","min",1,2017,"coc_contains_split_county_flag",0,0.651484478321249
"pooled_lasso","min",1,2017,"coc_housing_units_per_1000_residents",0,0.651484478321249
"pooled_lasso","min",1,2017,"coc_permits_per_1000_housing_units",0,0.651484478321249
"pooled_lasso","min",1,2017,"coc_multifamily_permit_share_pct",0,0.651484478321249
"pooled_lasso","min",1,2017,"coc_permits_value_per_1000_housing_units_2025_usd",0.74336632193291,0.651484478321249
"pooled_lasso","min",1,2017,"coc_birth_rate_per_1000",0,0.651484478321249
"pooled_lasso","min",1,2017,"coc_death_rate_per_1000",0,0.651484478321249
"pooled_lasso","min",1,2017,"coc_international_migration_rate_per_1000",-3.25612714815587,0.651484478321249
"pooled_lasso","min",1,2017,"coc_domestic_migration_rate_per_1000",0,0.651484478321249
"pooled_lasso","min",1,2017,"coc_group_quarters_per_1000_residents",0,0.651484478321249
"pooled_lasso","min",1,2017,"coc_population_growth_rate_pct",-0.646477159548811,0.651484478321249
"pooled_lasso","min",1,2017,"coc_housing_supply_growth_rate_pct",0.346881097176804,0.651484478321249
"pooled_lasso","min",1,2017,"coc_poverty_all_pct",0,0.651484478321249
"pooled_lasso","min",1,2017,"coc_poverty_child_pct",0,0.651484478321249
"pooled_lasso","min",1,2017,"coc_real_median_household_income_2025_usd",0,0.651484478321249
"pooled_lasso","min",1,2017,"coc_real_per_capita_personal_income_2025_usd",0,0.651484478321249
"pooled_lasso","min",1,2017,"coc_unemployment_rate_pct",-2.49477870037192,0.651484478321249
"pooled_lasso","min",1,2017,"coc_high_school_graduate_pct",0,0.651484478321249
"pooled_lasso","min",1,2017,"coc_homeownership_rate_pct",0,0.651484478321249
"pooled_lasso","min",1,2017,"coc_housing_cost_burdened_households_pct",3.96960087841114,0.651484478321249
"pooled_lasso","min",1,2017,"coc_income_inequality_ratio",-2.89740085542533,0.651484478321249
"pooled_lasso","min",1,2017,"coc_annual_hpi_change_pct",-0.253593489455802,0.651484478321249
"pooled_lasso","min",1,2017,"coc_real_gdp_per_capita_2017_usd",0,0.651484478321249
"pooled_lasso","min",1,2017,"coc_real_gdp_quantity_index",2.08374403853805,0.651484478321249
"pooled_lasso","min",1,2017,"coc_relative_home_price_index_2000_base",0.206518006570604,0.651484478321249
"pooled_lasso","min",1,2017,"state_real_minimum_wage_2025_usd",0,0.651484478321249
"pooled_lasso","min",1,2017,"state_medicaid_expansion",0,0.651484478321249
"pooled_lasso","min",1,2017,"coc_hic_temporary_beds_per_10k",4.01737868225667,0.651484478321249
"pooled_lasso","min",1,2017,"coc_hic_psh_beds_per_10k",15.0897977123164,0.651484478321249
"pooled_lasso","min",1,2017,"state_anticamping_strictness",0,0.651484478321249
"pooled_lasso","min",1,2017,"state_tanf_max_benefit_3person",0,0.651484478321249
"pooled_lasso","min",1,2017,"state_ssi_state_supplement",0,0.651484478321249
"pooled_lasso","min",1,2017,"state_labor_force_participation_pct",0,0.651484478321249
"pooled_lasso","min",1,2017,"state_real_median_rent_2025_usd",0,0.651484478321249
"pooled_lasso","min",1,2017,"state_rental_vacancy_rate",0,0.651484478321249
"pooled_lasso","1se",1,2017,"(Intercept)",43.4568786074396,4.59609420305808
"pooled_lasso","1se",1,2017,"control_state_florida",-5.11319882081356,4.59609420305808
"pooled_lasso","1se",1,2017,"control_time_index",-2.48256124830974,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_log_estimated_population",-5.01648277517285,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_population_density_per_sq_mile",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_contributing_counties",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_contains_split_county_flag",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_housing_units_per_1000_residents",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_permits_per_1000_housing_units",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_multifamily_permit_share_pct",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_permits_value_per_1000_housing_units_2025_usd",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_birth_rate_per_1000",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_death_rate_per_1000",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_international_migration_rate_per_1000",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_domestic_migration_rate_per_1000",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_group_quarters_per_1000_residents",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_population_growth_rate_pct",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_housing_supply_growth_rate_pct",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_poverty_all_pct",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_poverty_child_pct",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_real_median_household_income_2025_usd",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_real_per_capita_personal_income_2025_usd",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_unemployment_rate_pct",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_high_school_graduate_pct",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_homeownership_rate_pct",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_housing_cost_burdened_households_pct",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_income_inequality_ratio",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_annual_hpi_change_pct",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_real_gdp_per_capita_2017_usd",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_real_gdp_quantity_index",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_relative_home_price_index_2000_base",0,4.59609420305808
"pooled_lasso","1se",1,2017,"state_real_minimum_wage_2025_usd",0,4.59609420305808
"pooled_lasso","1se",1,2017,"state_medicaid_expansion",0,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_hic_temporary_beds_per_10k",4.58940443443082,4.59609420305808
"pooled_lasso","1se",1,2017,"coc_hic_psh_beds_per_10k",5.64875473756609,4.59609420305808
"pooled_lasso","1se",1,2017,"state_anticamping_strictness",0,4.59609420305808
"pooled_lasso","1se",1,2017,"state_tanf_max_benefit_3person",0,4.59609420305808
"pooled_lasso","1se",1,2017,"state_ssi_state_supplement",0,4.59609420305808
"pooled_lasso","1se",1,2017,"state_labor_force_participation_pct",0,4.59609420305808
"pooled_lasso","1se",1,2017,"state_real_median_rent_2025_usd",0,4.59609420305808
"pooled_lasso","1se",1,2017,"state_rental_vacancy_rate",0,4.59609420305808
"pooled_lasso_state_interactions","min",1,2017,"(Intercept)",37.9045901249196,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"control_state_florida",2.75476916121465,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"control_time_index",-2.10603690480547,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_log_estimated_population",-7.62100627701281,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_population_density_per_sq_mile",-5.37461410416301,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_contributing_counties",0,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_contains_split_county_flag",0,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_housing_units_per_1000_residents",0,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_permits_per_1000_housing_units",0,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_multifamily_permit_share_pct",0,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_permits_value_per_1000_housing_units_2025_usd",0,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_birth_rate_per_1000",0,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_death_rate_per_1000",0,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_international_migration_rate_per_1000",-1.82946523522672,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_domestic_migration_rate_per_1000",0,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_group_quarters_per_1000_residents",0.258920459653413,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_population_growth_rate_pct",-2.37149081281227,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_housing_supply_growth_rate_pct",0,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_poverty_all_pct",0,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_poverty_child_pct",0,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_real_median_household_income_2025_usd",0,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_real_per_capita_personal_income_2025_usd",0,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_unemployment_rate_pct",-2.97783372349519,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_high_school_graduate_pct",0,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_homeownership_rate_pct",-0.404648116633754,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_housing_cost_burdened_households_pct",7.23662319564641,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_income_inequality_ratio",-2.71080750037659,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_annual_hpi_change_pct",-0.10727311845026,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_real_gdp_per_capita_2017_usd",0,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_real_gdp_quantity_index",2.47453673890776,0.554742419761636
"pooled_lasso_state_interactions","min",1,2017,"coc_relative_home_price_index_2000_base",0,0.554742419761636
