"model","fold","validation_year","lambda_min","lambda_1se","n_inner_splits","n_grid"
"pooled_lasso",1,2017,0.651484478321249,4.59609420305808,3,100
"pooled_lasso_state_interactions",1,2017,0.554742419761636,1.40647423436272,3,100
"separate_lasso_CA",1,2017,0.986086150426308,2.27798690294048,3,100
"separate_lasso_FL",1,2017,1.55105999439488,3.26483261058858,3,96
"pooled_lasso",2,2018,0.641519665786302,3.42359750720548,4,95
"pooled_lasso_state_interactions",2,2018,0.546257330090195,1.14981931807692,4,100
"separate_lasso_CA",2,2018,1.05417397560045,2.21893517027809,4,92
"separate_lasso_FL",2,2018,0.907429583867308,2.30066474771525,4,89
"pooled_lasso",3,2019,0.651303525503346,2.62932357304179,5,97
"pooled_lasso_state_interactions",3,2019,0.505320238102894,1.06365066348858,5,100
"separate_lasso_CA",3,2019,1.10633354048741,2.12184845013326,5,89
"separate_lasso_FL",3,2019,0.823452373125847,2.29130514311109,5,81
"pooled_lasso",4,2020,0.670091742505107,2.70517192933615,6,93
"pooled_lasso_state_interactions",4,2020,0.519897260822864,1.09433389902649,6,87
"separate_lasso_CA",4,2020,1.1138116237567,2.13619074277307,6,89
"separate_lasso_FL",4,2020,0.843268862190074,2.57522126022684,6,83
"pooled_lasso",5,2022,0.677350788674731,2.73447682400388,7,100
"pooled_lasso_state_interactions",5,2022,0.525529263100142,1.00791796650894,7,91
"separate_lasso_CA",5,2022,1.13753261220631,2.18168546993759,7,88
"separate_lasso_FL",5,2022,0.862419285384612,2.89048676311585,7,82
"pooled_lasso",6,2023,0.6962676298288,2.56113676534133,8,83
"pooled_lasso_state_interactions",6,2023,0.540206080132173,1.03606678450337,8,87
"separate_lasso_CA",6,2023,1.25761921311984,2.19772529132223,8,88
"separate_lasso_FL",6,2023,1.4410228151504,4.00973158309171,8,94
"pooled_lasso",7,2024,1.02612463816201,2.85525275975409,9,100
"pooled_lasso_state_interactions",7,2024,0.499992139339912,0.958940054795599,9,82
"separate_lasso_CA",7,2024,1.27135423598507,2.43834333541655,9,89
"separate_lasso_FL",7,2024,1.5356508327776,4.27303966325252,9,89
"pooled_lasso",8,2025,1.0483170314737,2.91700441242102,10,86
"pooled_lasso_state_interactions",8,2025,0.510805662177509,0.979679421210654,10,84
"separate_lasso_CA",8,2025,1.28697822177494,2.46830873809118,10,77
"separate_lasso_FL",8,2025,1.51537984311923,4.62775108188477,10,93
