"model","target_transform","group","fold","validation_year","lambda_rule","smearing_factor"
"state_time_baseline","log","all",1,2017,"none",1.27346893929999
"pooled_lasso","log","all",1,2017,"min",1.15535791555629
"pooled_lasso","log","all",1,2017,"1se",1.17382440888027
"pooled_lasso_state_interactions","log","all",1,2017,"min",1.07097296088209
"pooled_lasso_state_interactions","log","all",1,2017,"1se",1.08301574888469
"separate_lasso_CA","log","California",1,2017,"min",1.0741160730022
"separate_lasso_CA","log","California",1,2017,"1se",1.07962343146119
"separate_lasso_FL","log","Florida",1,2017,"min",1.08173277508987
"separate_lasso_FL","log","Florida",1,2017,"1se",1.09307729229596
"state_time_baseline","log","all",2,2018,"none",1.26812253737051
"pooled_lasso","log","all",2,2018,"min",1.14369948346857
"pooled_lasso","log","all",2,2018,"1se",1.16600663751264
"pooled_lasso_state_interactions","log","all",2,2018,"min",1.07550092237595
"pooled_lasso_state_interactions","log","all",2,2018,"1se",1.0923243636981
"separate_lasso_CA","log","California",2,2018,"min",1.07566457617094
"separate_lasso_CA","log","California",2,2018,"1se",1.08618697112415
"separate_lasso_FL","log","Florida",2,2018,"min",1.08400481237779
"separate_lasso_FL","log","Florida",2,2018,"1se",1.09826406975401
"state_time_baseline","log","all",3,2019,"none",1.2668646059408
"pooled_lasso","log","all",3,2019,"min",1.13847152682051
"pooled_lasso","log","all",3,2019,"1se",1.15917582109852
"pooled_lasso_state_interactions","log","all",3,2019,"min",1.0772596906038
"pooled_lasso_state_interactions","log","all",3,2019,"1se",1.09316465580181
"separate_lasso_CA","log","California",3,2019,"min",1.08051227432348
"separate_lasso_CA","log","California",3,2019,"1se",1.08805959871843
"separate_lasso_FL","log","Florida",3,2019,"min",1.08584009808805
"separate_lasso_FL","log","Florida",3,2019,"1se",1.09575026389194
"state_time_baseline","log","all",4,2020,"none",1.26120650444982
"pooled_lasso","log","all",4,2020,"min",1.13183103643898
"pooled_lasso","log","all",4,2020,"1se",1.1501548233358
"pooled_lasso_state_interactions","log","all",4,2020,"min",1.07788963425608
"pooled_lasso_state_interactions","log","all",4,2020,"1se",1.08671066989113
"separate_lasso_CA","log","California",4,2020,"min",1.08205027112977
"separate_lasso_CA","log","California",4,2020,"1se",1.09106147642594
"separate_lasso_FL","log","Florida",4,2020,"min",1.08252331996461
"separate_lasso_FL","log","Florida",4,2020,"1se",1.09447878882866
"state_time_baseline","log","all",5,2022,"none",1.25312411947752
"pooled_lasso","log","all",5,2022,"min",1.12620719870645
"pooled_lasso","log","all",5,2022,"1se",1.1422161102704
"pooled_lasso_state_interactions","log","all",5,2022,"min",1.07779050497104
"pooled_lasso_state_interactions","log","all",5,2022,"1se",1.08861703023004
"separate_lasso_CA","log","California",5,2022,"min",1.0832788997346
"separate_lasso_CA","log","California",5,2022,"1se",1.09193819124215
"separate_lasso_FL","log","Florida",5,2022,"min",1.08378846837988
"separate_lasso_FL","log","Florida",5,2022,"1se",1.09799626880607
"state_time_baseline","log","all",6,2023,"none",1.24891937954585
"pooled_lasso","log","all",6,2023,"min",1.11917739604614
"pooled_lasso","log","all",6,2023,"1se",1.13738520750016
"pooled_lasso_state_interactions","log","all",6,2023,"min",1.08135597246294
"pooled_lasso_state_interactions","log","all",6,2023,"1se",1.09480916810585
"separate_lasso_CA","log","California",6,2023,"min",1.08158630843537
"separate_lasso_CA","log","California",6,2023,"1se",1.08940288752596
"separate_lasso_FL","log","Florida",6,2023,"min",1.08648557855859
"separate_lasso_FL","log","Florida",6,2023,"1se",1.10604190536994
"state_time_baseline","log","all",7,2024,"none",1.24216888834838
"pooled_lasso","log","all",7,2024,"min",1.11616247640282
"pooled_lasso","log","all",7,2024,"1se",1.13520970417324
"pooled_lasso_state_interactions","log","all",7,2024,"min",1.08293448505447
"pooled_lasso_state_interactions","log","all",7,2024,"1se",1.10582715046771
"separate_lasso_CA","log","California",7,2024,"min",1.08148496706375
"separate_lasso_CA","log","California",7,2024,"1se",1.08766126118749
"separate_lasso_FL","log","Florida",7,2024,"min",1.1043967440438
"separate_lasso_FL","log","Florida",7,2024,"1se",1.12135584177891
"state_time_baseline","log","all",8,2025,"none",1.2361361961433
"pooled_lasso","log","all",8,2025,"min",1.11163146524914
"pooled_lasso","log","all",8,2025,"1se",1.13009208316675
"pooled_lasso_state_interactions","log","all",8,2025,"min",1.08191832532276
"pooled_lasso_state_interactions","log","all",8,2025,"1se",1.1038764096774
"separate_lasso_CA","log","California",8,2025,"min",1.0806693268546
"separate_lasso_CA","log","California",8,2025,"1se",1.08671809113325
"separate_lasso_FL","log","Florida",8,2025,"min",1.09735462189872
"separate_lasso_FL","log","Florida",8,2025,"1se",1.11407881574063
