"model","lambda_rule","fold","validation_year","group","n","rmse","mae","r2"
"state_time_baseline","none",1,2017,"all",68,22.5982355390499,14.8583492131783,0.0691862923583655
"pooled_lasso","min",1,2017,"all",68,15.156663662781,10.2817639212253,0.581282670690317
"pooled_lasso","1se",1,2017,"all",68,17.2763693649305,10.8568866690574,0.455975235506436
"pooled_lasso_state_interactions","min",1,2017,"all",68,14.178180528825,9.79490889718682,0.633600635142762
"pooled_lasso_state_interactions","1se",1,2017,"all",68,15.6111241476508,10.3736547155756,0.555796410781539
"separate_lasso_CA","min",1,2017,"California",42,14.8882545482631,10.995963534174,0.650766303934479
"separate_lasso_CA","1se",1,2017,"California",42,16.1320648581834,11.2610275673912,0.589976745736819
"separate_lasso_FL","min",1,2017,"Florida",26,11.1500178690624,8.45903739513518,0.473165096105659
"separate_lasso_FL","1se",1,2017,"Florida",26,11.7995176727897,8.35705224910869,0.410000119715167
"separate_state_lasso","min",1,2017,"all",68,13.5809774767511,10.025962363365,0.663816986086832
"separate_state_lasso","1se",1,2017,"all",68,14.6278198622849,10.150684063342,0.609992538951419
"state_time_baseline","none",2,2018,"all",69,24.162499934654,15.6709484965641,0.0560796524537296
"pooled_lasso","min",2,2018,"all",69,15.9886544120104,10.4526361077836,0.586690443265286
"pooled_lasso","1se",2,2018,"all",69,17.6916201315099,10.5716502527753,0.493957691982407
"pooled_lasso_state_interactions","min",2,2018,"all",69,15.9593562822518,10.1379131798978,0.588203779168223
"pooled_lasso_state_interactions","1se",2,2018,"all",69,16.1603141278102,10.3354166566483,0.577767933146476
"separate_lasso_CA","min",2,2018,"California",43,16.8268972707581,11.6840882499884,0.479097796986274
"separate_lasso_CA","1se",2,2018,"California",43,16.8147624099144,11.7165712850889,0.479848832236111
"separate_lasso_FL","min",2,2018,"Florida",26,15.4720753698151,9.40565093390571,0.568002189086782
"separate_lasso_FL","1se",2,2018,"Florida",26,17.4469757988967,9.50361884162775,0.450680876134735
"separate_state_lasso","min",2,2018,"all",69,16.329587846884,10.8255466526239,0.568876135854743
"separate_state_lasso","1se",2,2018,"all",69,17.0557394727881,10.8827051469731,0.529680783863075
"state_time_baseline","none",3,2019,"all",69,22.4779507523863,15.3783659935515,0.133092753605574
"pooled_lasso","min",3,2019,"all",69,18.1099892870642,11.8367764980655,0.437275804093771
"pooled_lasso","1se",3,2019,"all",69,18.2607047515156,11.5402333000772,0.427870591706645
"pooled_lasso_state_interactions","min",3,2019,"all",69,17.7132795543569,11.623481588132,0.46165937292241
"pooled_lasso_state_interactions","1se",3,2019,"all",69,18.0373125892943,11.5933599655357,0.441783247415134
"separate_lasso_CA","min",3,2019,"California",43,17.700994561013,12.6885757909845,0.476741475847624
"separate_lasso_CA","1se",3,2019,"California",43,17.7390208181232,12.8560117535472,0.474490875111083
"separate_lasso_FL","min",3,2019,"Florida",26,8.77491219064455,6.36470947192391,0.401530544208193
"separate_lasso_FL","1se",3,2019,"Florida",26,7.71504545997367,6.22748504335773,0.53737040623249
"separate_state_lasso","min",3,2019,"all",69,14.9758066469247,10.3056696417733,0.615195935234654
"separate_state_lasso","1se",3,2019,"all",69,14.7827274110139,10.3583060366642,0.625054332328509
"state_time_baseline","none",4,2020,"all",70,21.1367781762659,14.3305337698207,0.193914532507191
"pooled_lasso","min",4,2020,"all",70,16.542367036669,10.5161250686722,0.506259426204639
"pooled_lasso","1se",4,2020,"all",70,16.5239665656432,10.0107416139738,0.507357214246439
"pooled_lasso_state_interactions","min",4,2020,"all",70,15.6710862927174,10.2206920299043,0.556900034342395
"pooled_lasso_state_interactions","1se",4,2020,"all",70,16.2367083194951,10.1277902517252,0.524336869045423
"separate_lasso_CA","min",4,2020,"California",44,16.5131858763046,12.1445699303585,0.508209950575946
"separate_lasso_CA","1se",4,2020,"California",44,15.9184213548348,11.5743697831414,0.542998115833715
"separate_lasso_FL","min",4,2020,"Florida",26,8.37455863196255,6.66305822735323,-0.0260268119894664
"separate_lasso_FL","1se",4,2020,"Florida",26,6.87784194066891,5.44844972190917,0.307947188943364
"separate_state_lasso","min",4,2020,"all",70,14.0517500597112,10.1085798692422,0.643742230143264
"separate_state_lasso","1se",4,2020,"all",70,13.2984169545015,9.2990280461123,0.680917193394162
"state_time_baseline","none",5,2022,"all",70,22.0222209545792,15.3461423767643,0.206692127141056
"pooled_lasso","min",5,2022,"all",70,14.0908838747205,9.12529568693356,0.675214969254657
"pooled_lasso","1se",5,2022,"all",70,15.0622107193574,9.30881284477418,0.628894858815222
"pooled_lasso_state_interactions","min",5,2022,"all",70,12.7673832623127,8.81051281929718,0.733361213541562
"pooled_lasso_state_interactions","1se",5,2022,"all",70,13.7744511941479,8.79361508317577,0.689638285725969
"separate_lasso_CA","min",5,2022,"California",44,15.0488943991798,12.0764670808353,0.591497230056576
"separate_lasso_CA","1se",5,2022,"California",44,14.3951600890954,11.780232535999,0.626217629094517
"separate_lasso_FL","min",5,2022,"Florida",26,11.1047809971614,10.1501241123316,-0.0708749883753064
"separate_lasso_FL","1se",5,2022,"Florida",26,9.7113393550911,8.39731801826662,0.181012939816378
"separate_state_lasso","min",5,2022,"all",70,13.7169686269677,11.3609682639625,0.692223239959865
"separate_state_lasso","1se",5,2022,"all",70,12.856221845252,10.5237214294127,0.729637627547657
"state_time_baseline","none",6,2023,"all",69,20.8667290782308,14.6125581051526,0.228838839213804
"pooled_lasso","min",6,2023,"all",69,15.6004365289326,10.8833369295284,0.568967621183286
"pooled_lasso","1se",6,2023,"all",69,14.1654732209946,8.50326211538882,0.644615429558683
"pooled_lasso_state_interactions","min",6,2023,"all",69,14.4008364478112,10.883127030733,0.632707695059161
"pooled_lasso_state_interactions","1se",6,2023,"all",69,14.8825229878439,10.1377407255299,0.60772600576856
"separate_lasso_CA","min",6,2023,"California",43,14.9679994311573,12.0104041196269,0.58636632811627
"separate_lasso_CA","1se",6,2023,"California",43,14.496273703945,11.41857331474,0.612027333263574
"separate_lasso_FL","min",6,2023,"Florida",26,11.9063062998987,10.4437270158497,-0.278661210521147
"separate_lasso_FL","1se",6,2023,"Florida",26,11.0339865891431,9.30750266222489,-0.0981616981592401
"separate_state_lasso","min",6,2023,"all",69,13.8937618533218,11.4200620225514,0.658118111239622
"separate_state_lasso","1se",6,2023,"all",69,13.2979099737192,10.6230974166908,0.686813401182226
"state_time_baseline","none",7,2024,"all",70,21.7789159004877,14.9321514383874,0.256371944445206
"pooled_lasso","min",7,2024,"all",70,13.7583320249406,9.10264984864022,0.703233535687605
"pooled_lasso","1se",7,2024,"all",70,14.1959190449728,8.77101079384492,0.684055878840998
"pooled_lasso_state_interactions","min",7,2024,"all",70,13.1637846985866,9.64207976856302,0.72832805516462
"pooled_lasso_state_interactions","1se",7,2024,"all",70,13.2764764806288,8.8806293670777,0.723656717746985
"separate_lasso_CA","min",7,2024,"California",44,15.0091298196862,12.4062903255293,0.620685460356917
"separate_lasso_CA","1se",7,2024,"California",44,14.5822666823417,11.769714038375,0.641954240178523
"separate_lasso_FL","min",7,2024,"Florida",26,8.28423085508732,7.15938274452934,0.0969387970882221
"separate_lasso_FL","1se",7,2024,"Florida",26,7.99713902727939,6.77533395269786,0.158445800948289
"separate_state_lasso","min",7,2024,"all",70,12.9263825079422,10.4574389383007,0.738038627667863
"separate_state_lasso","1se",7,2024,"all",70,12.5465306065858,9.91465857798062,0.753208298936045
"state_time_baseline","none",8,2025,"all",70,20.2158902361067,14.7430402325714,0.322289750759532
"pooled_lasso","min",8,2025,"all",70,12.4655531047185,9.10905760468411,0.742319580815399
"pooled_lasso","1se",8,2025,"all",70,12.420101809163,8.92466660000492,0.744195238814004
"pooled_lasso_state_interactions","min",8,2025,"all",70,13.021320059312,10.0394884651854,0.718830415197836
"pooled_lasso_state_interactions","1se",8,2025,"all",70,12.3018276875442,9.09447264229079,0.749043995671666
"separate_lasso_CA","min",8,2025,"California",44,15.4807130609794,13.4394826680227,0.558892153766359
"separate_lasso_CA","1se",8,2025,"California",44,14.6522522224243,12.6209618669151,0.604841222763373
"separate_lasso_FL","min",8,2025,"Florida",26,5.24590793479066,4.44024196844379,0.517526832742946
"separate_lasso_FL","1se",8,2025,"Florida",26,6.03054057147602,4.75903616207567,0.362405850629195
"separate_state_lasso","min",8,2025,"all",70,12.6830693018733,10.0969075510363,0.733248393938719
"separate_state_lasso","1se",8,2025,"all",70,12.1842091586548,9.70081803368901,0.753819866299042
