"model","lambda_rule","group","n","mean_resid","sd_resid","mean_abs_resid","max_abs_resid"
"pooled_lasso","1se","all",555,3.27190830920291,15.4769953563357,9.80500824195748,86.8877731279962
"pooled_lasso_state_interactions","1se","all",555,2.3910448545705,14.9498574283005,9.91126798513561,77.8246335652583
"separate_lasso_CA","1se","all",347,-1.1071565884434,15.6089563550409,11.8771617374655,64.0013945037317
"separate_lasso_FL","1se","all",208,5.56994668935245,8.81495167788547,7.34697458140855,72.103876544131
"separate_state_lasso","1se","all",555,1.39525328864045,13.8442759025228,10.1793618663667,72.103876544131
"pooled_lasso","min","all",555,2.20015376867357,15.1513660681514,10.1581957463234,76.4254905709609
"pooled_lasso_state_interactions","min","all",555,0.40171574550025,14.6999604980621,10.1412971620357,70.4936731167405
"separate_lasso_CA","min","all",347,-1.74793034048056,15.7611390742293,12.188017405043,59.9270579428034
"separate_lasso_FL","min","all",208,4.96074214137716,9.20906315498343,7.88574148368405,59.2038446975787
"separate_state_lasso","min","all",555,0.766310877945394,14.0498734588872,10.5756329155967,59.9270579428034
"state_time_baseline","none","all",555,4.39058732605776,21.5068781859142,14.983185050086,111.974274458446
"pooled_lasso","1se","California",347,6.40366836483304,17.7887682346133,12.7287033828634,86.8877731279962
"pooled_lasso_state_interactions","1se","California",347,4.26070421469468,17.1627002477133,12.1899485833718,77.8246335652583
"separate_lasso_CA","1se","California",347,-1.1071565884434,15.6089563550409,11.8771617374655,64.0013945037317
"separate_state_lasso","1se","California",347,-1.1071565884434,15.6089563550409,11.8771617374655,64.0013945037317
"pooled_lasso","min","California",347,3.96632471667261,17.3200295338425,12.3273863166976,76.4254905709609
"pooled_lasso_state_interactions","min","California",347,1.21004549822554,16.7311845479926,12.0202008726193,70.4936731167405
"separate_lasso_CA","min","California",347,-1.74793034048056,15.7611390742293,12.188017405043,59.9270579428034
"separate_state_lasso","min","California",347,-1.74793034048056,15.7611390742293,12.188017405043,59.9270579428034
"state_time_baseline","none","California",347,9.19504000294839,23.9861165511082,18.6502825628232,111.974274458446
"pooled_lasso","1se","Florida",208,-1.95271062975696,8.2632782383829,4.9274975982346,63.3043379029096
"pooled_lasso_state_interactions","1se","Florida",208,-0.728050327944355,9.49556095259853,6.10981525634732,59.5434468693438
"separate_lasso_FL","1se","Florida",208,5.56994668935245,8.81495167788547,7.34697458140855,72.103876544131
"separate_state_lasso","1se","Florida",208,5.56994668935245,8.81495167788547,7.34697458140855,72.103876544131
"pooled_lasso","min","Florida",208,-0.74629488015175,9.95059061408322,6.53940186209325,60.9273783180995
"pooled_lasso_state_interactions","min","Florida",208,-0.946795909286648,10.3680076630816,7.00677991409103,58.0312885324291
"separate_lasso_FL","min","Florida",208,4.96074214137716,9.20906315498343,7.88574148368405,59.2038446975787
"separate_state_lasso","min","Florida",208,4.96074214137716,9.20906315498343,7.88574148368405,59.2038446975787
"state_time_baseline","none","Florida",208,-3.62453324548574,13.1532769061276,8.86547910335601,110.345985953781
