"model","lambda_rule","fold","validation_year","term","coefficient","lambda"
"pooled_lasso","min",1,2017,"(Intercept)",40.1405442605298,0.754022853800552
"pooled_lasso","min",1,2017,"control_state_florida",2.2126069521641,0.754022853800552
"pooled_lasso","min",1,2017,"control_time_index",-2.13933755599406,0.754022853800552
"pooled_lasso","min",1,2017,"coc_log_estimated_population",-8.84702648368515,0.754022853800552
"pooled_lasso","min",1,2017,"coc_population_density_per_sq_mile",-2.58165248898994,0.754022853800552
"pooled_lasso","min",1,2017,"coc_contributing_counties",0,0.754022853800552
"pooled_lasso","min",1,2017,"coc_contains_split_county_flag",0.261742704466165,0.754022853800552
"pooled_lasso","min",1,2017,"coc_housing_units_per_1000_residents",0,0.754022853800552
"pooled_lasso","min",1,2017,"coc_permits_per_1000_housing_units",0,0.754022853800552
"pooled_lasso","min",1,2017,"coc_multifamily_permit_share_pct",0,0.754022853800552
"pooled_lasso","min",1,2017,"coc_birth_rate_per_1000",0,0.754022853800552
"pooled_lasso","min",1,2017,"coc_death_rate_per_1000",0,0.754022853800552
"pooled_lasso","min",1,2017,"coc_international_migration_rate_per_1000",-3.12987584923483,0.754022853800552
"pooled_lasso","min",1,2017,"coc_domestic_migration_rate_per_1000",0,0.754022853800552
"pooled_lasso","min",1,2017,"coc_group_quarters_per_1000_residents",2.07508072294723,0.754022853800552
"pooled_lasso","min",1,2017,"coc_population_growth_rate_pct",-0.616020665031083,0.754022853800552
"pooled_lasso","min",1,2017,"coc_housing_supply_growth_rate_pct",0,0.754022853800552
"pooled_lasso","min",1,2017,"coc_poverty_all_pct",0,0.754022853800552
"pooled_lasso","min",1,2017,"coc_poverty_child_pct",0,0.754022853800552
"pooled_lasso","min",1,2017,"coc_real_median_household_income_2025_usd",0,0.754022853800552
"pooled_lasso","min",1,2017,"coc_real_per_capita_personal_income_2025_usd",0,0.754022853800552
"pooled_lasso","min",1,2017,"coc_unemployment_rate_pct",-2.69117305691734,0.754022853800552
"pooled_lasso","min",1,2017,"coc_high_school_graduate_pct",-0.0205165697091512,0.754022853800552
"pooled_lasso","min",1,2017,"coc_homeownership_rate_pct",0,0.754022853800552
"pooled_lasso","min",1,2017,"coc_housing_cost_burdened_households_pct",3.46520796188452,0.754022853800552
"pooled_lasso","min",1,2017,"coc_income_inequality_ratio",-3.71768972452009,0.754022853800552
"pooled_lasso","min",1,2017,"coc_annual_hpi_change_pct",-0.354746749744195,0.754022853800552
"pooled_lasso","min",1,2017,"coc_real_gdp_per_capita_2017_usd",0,0.754022853800552
"pooled_lasso","min",1,2017,"state_real_minimum_wage_2025_usd",0,0.754022853800552
"pooled_lasso","min",1,2017,"state_medicaid_expansion",0,0.754022853800552
"pooled_lasso","min",1,2017,"coc_hic_temporary_beds_per_10k",3.92273879236608,0.754022853800552
"pooled_lasso","min",1,2017,"coc_hic_psh_beds_per_10k",14.2617030036265,0.754022853800552
"pooled_lasso","min",1,2017,"state_homeless_funding_per_capita",0,0.754022853800552
"pooled_lasso","min",1,2017,"state_anticamping_strictness",0,0.754022853800552
"pooled_lasso","min",1,2017,"state_tanf_max_benefit_3person",0,0.754022853800552
"pooled_lasso","min",1,2017,"state_ssi_state_supplement",0,0.754022853800552
"pooled_lasso","min",1,2017,"state_labor_force_participation",0,0.754022853800552
"pooled_lasso","min",1,2017,"state_substance_use_disorder_rate",0,0.754022853800552
"pooled_lasso","min",1,2017,"state_serious_mental_illness_rate",0,0.754022853800552
"pooled_lasso","min",1,2017,"state_uninsured_rate",0,0.754022853800552
"pooled_lasso","min",1,2017,"state_average_student_debt_per_borrower",0,0.754022853800552
"pooled_lasso","min",1,2017,"state_avg_in_state_tuition",0,0.754022853800552
