"model","fold","validation_year","lambda_min","lambda_1se","n_inner_splits","n_grid"
"pooled_lasso",1,2017,0.754022853800552,4.02399318418939,3,100
"pooled_lasso_state_interactions",1,2017,0.276627216886791,0.927144513439603,3,100
"separate_lasso_CA",1,2017,0.42895933810726,1.43770125474526,3,100
"separate_lasso_FL",1,2017,0.759456586445595,2.7935697451635,3,97
"pooled_lasso",2,2018,0.745282912590166,3.3020664644926,4,92
"pooled_lasso_state_interactions",2,2018,0.300078999191334,0.916397904765675,4,100
"separate_lasso_CA",2,2018,0.458578361158374,1.4004320544553,4,82
"separate_lasso_FL",2,2018,0.769138730195938,2.57784740706444,4,97
"pooled_lasso",3,2019,0.760530662987184,2.79752060658747,5,100
"pooled_lasso_state_interactions",3,2019,0.306218318370348,0.935146498460992,5,100
"separate_lasso_CA",3,2019,0.481268399366702,1.61302044313053,5,89
"separate_lasso_FL",3,2019,0.75386352247915,2.77299633180678,5,100
"pooled_lasso",4,2020,0.785524887467733,2.18576966129103,6,100
"pooled_lasso_state_interactions",4,2020,0.380962711000733,0.88007327330699,6,100
"separate_lasso_CA",4,2020,0.484521455550603,1.62392339486015,6,87
"separate_lasso_FL",4,2020,0.77257475033366,3.42298626641582,6,100
"pooled_lasso",5,2022,0.796237719834888,1.83941240491707,7,100
"pooled_lasso_state_interactions",5,2022,0.386158204773367,0.89207553777775,7,98
"separate_lasso_CA",5,2022,0.494840370891008,1.82021081056966,7,87
"separate_lasso_FL",5,2022,0.793989350694371,4.23728235743665,7,79
"pooled_lasso",6,2023,1.43577127589752,3.31681786697716,8,91
"pooled_lasso_state_interactions",6,2023,0.696318253398902,2.33378210398886,8,100
"separate_lasso_CA",6,2023,1.1515498794311,2.20856933058862,8,75
"separate_lasso_FL",6,2023,1.10070611637975,4.44356958846785,8,94
"pooled_lasso",7,2024,1.46220772207209,3.37788948644967,9,75
"pooled_lasso_state_interactions",7,2024,0.709139362398204,2.3767533668989,9,100
"separate_lasso_CA",7,2024,1.16412647158192,2.23269010573155,9,82
"separate_lasso_FL",7,2024,0.969298917463321,4.29459658252581,9,81
"pooled_lasso",8,2025,1.36600938690102,3.15565885527243,10,78
"pooled_lasso_state_interactions",8,2025,0.66248523450842,2.22038726818626,10,94
"separate_lasso_CA",8,2025,1.17843270892695,2.26012818514151,10,96
"separate_lasso_FL",8,2025,0.92583584442213,4.10202815849698,10,87
