"model","lambda_rule","fold","validation_year","group","n","rmse","mae","r2"
"state_time_baseline","none",1,2017,"all",69,22.5301653973203,15.1292540588871,0.061309895722839
"pooled_lasso","min",1,2017,"all",69,15.6373740177035,10.7537359865312,0.547809819445743
"pooled_lasso","1se",1,2017,"all",69,16.9739765115557,11.0742286721717,0.46720434635731
"pooled_lasso_state_interactions","min",1,2017,"all",69,15.1135702848848,11.2897218334992,0.577596391459551
"pooled_lasso_state_interactions","1se",1,2017,"all",69,15.3201117026584,10.4792173230737,0.565972404028958
"separate_lasso_CA","min",1,2017,"California",42,15.2302104702781,11.5217574255986,0.634539554387904
"separate_lasso_CA","1se",1,2017,"California",42,14.9634165332491,10.9668655344778,0.64723125477017
"separate_lasso_FL","min",1,2017,"Florida",27,12.271348457384,9.98321246243921,0.353565025215094
"separate_lasso_FL","1se",1,2017,"Florida",27,12.1854019769443,9.4809366224988,0.36258836096011
"separate_state_lasso","min",1,2017,"all",69,14.1462920172043,10.9197180921884,0.629934399307905
"separate_state_lasso","1se",1,2017,"all",69,13.9424436023723,10.3854150906599,0.640522864387341
"state_time_baseline","none",2,2018,"all",70,24.0813304843918,15.8994288343616,0.0488288164012983
"pooled_lasso","min",2,2018,"all",70,16.0408373488426,10.7133062314117,0.577961763947021
"pooled_lasso","1se",2,2018,"all",70,17.6320826625288,10.7753517999096,0.490076584225559
"pooled_lasso_state_interactions","min",2,2018,"all",70,16.8479164361952,11.6891010869661,0.534424489186996
"pooled_lasso_state_interactions","1se",2,2018,"all",70,16.0504848613094,10.540060924151,0.5774539546025
"separate_lasso_CA","min",2,2018,"California",43,17.3865596161681,11.7133142243993,0.443871162540963
"separate_lasso_CA","1se",2,2018,"California",43,16.8055654829687,11.6979496805424,0.480417675721767
"separate_lasso_FL","min",2,2018,"Florida",27,16.7234648696169,11.1854973760974,0.480370227407903
"separate_lasso_FL","1se",2,2018,"Florida",27,17.9794631833374,10.354976627183,0.399386702114928
"separate_state_lasso","min",2,2018,"all",70,17.1338349735028,11.5097277257686,0.518488251418951
"separate_state_lasso","1se",2,2018,"all",70,17.2678114848936,11.1799457885324,0.510928532950867
"state_time_baseline","none",3,2019,"all",70,22.564779096823,15.650742380923,0.113799643932932
"pooled_lasso","min",3,2019,"all",70,17.0188420254318,11.6308517100603,0.495884835574213
"pooled_lasso","1se",3,2019,"all",70,18.1562934668642,11.717525058535,0.426248101927502
"pooled_lasso_state_interactions","min",3,2019,"all",70,19.3737136641043,15.3973971769308,0.346725808411427
"pooled_lasso_state_interactions","1se",3,2019,"all",70,17.763051244085,11.583824557755,0.450832427293266
"separate_lasso_CA","min",3,2019,"California",43,16.8586100007681,12.3169317129571,0.525359817082026
"separate_lasso_CA","1se",3,2019,"California",43,17.3953078357413,12.5809607489971,0.494658212799615
"separate_lasso_FL","min",3,2019,"Florida",27,8.42933809010118,6.79819022554187,0.476557324991998
"separate_lasso_FL","1se",3,2019,"Florida",27,7.84678032301644,6.51020679548607,0.546408226908461
"separate_state_lasso","min",3,2019,"all",70,14.2124685887323,10.1882742820969,0.648432449257194
"separate_state_lasso","1se",3,2019,"all",70,14.4786061636402,10.2393842240714,0.635142517224648
"state_time_baseline","none",4,2020,"all",71,21.2881754140434,14.6807838041026,0.171167516967616
"pooled_lasso","min",4,2020,"all",71,15.8778884436634,10.1419235296696,0.538920964876666
"pooled_lasso","1se",4,2020,"all",71,16.6122715291089,10.3783227038106,0.495283009060282
"pooled_lasso_state_interactions","min",4,2020,"all",71,15.5213006373117,10.8396223483211,0.559398364385914
"pooled_lasso_state_interactions","1se",4,2020,"all",71,15.6614375150449,10.0345329404942,0.551406344275491
"separate_lasso_CA","min",4,2020,"California",44,17.5600127431232,13.3714161178369,0.443881104153621
"separate_lasso_CA","1se",4,2020,"California",44,16.2985323559507,11.9772581253106,0.520912327252
"separate_lasso_FL","min",4,2020,"Florida",27,8.94395607708285,7.4121336478584,0.0454216967177076
"separate_lasso_FL","1se",4,2020,"Florida",27,7.62216339499795,6.08292950820915,0.306719871255915
"separate_state_lasso","min",4,2020,"all",71,14.8833140098576,11.1052101081267,0.594874880325549
"separate_state_lasso","1se",4,2020,"all",71,13.6644310685314,9.73575287655371,0.65851393093074
"state_time_baseline","none",5,2022,"all",71,22.1414411149734,15.568332056253,0.186751803291602
"pooled_lasso","min",5,2022,"all",71,20.3576831677515,15.4993170451806,0.312507376955235
"pooled_lasso","1se",5,2022,"all",71,13.4919896210555,9.1395874380056,0.698030321057512
"pooled_lasso_state_interactions","min",5,2022,"all",71,22.3784199172512,17.2936041929959,0.169250328751087
"pooled_lasso_state_interactions","1se",5,2022,"all",71,19.0063681614637,14.3697268618457,0.400747830046373
"separate_lasso_CA","min",5,2022,"California",44,17.3038702803079,13.6576739164612,0.45990231250591
"separate_lasso_CA","1se",5,2022,"California",44,14.6950913006503,11.9527275979714,0.610479432990532
"separate_lasso_FL","min",5,2022,"Florida",27,12.0368315264329,10.6318776576464,-0.199226118634064
"separate_lasso_FL","1se",5,2022,"Florida",27,10.4285077426081,8.47292457390271,0.0998372223552656
"separate_state_lasso","min",5,2022,"all",71,15.5130822711274,12.5070190011372,0.600784374188257
"separate_state_lasso","1se",5,2022,"all",71,13.235655566556,10.6294222226213,0.709395554083195
"state_time_baseline","none",6,2023,"all",70,20.929650450691,14.7457686982069,0.213220493475217
"pooled_lasso","min",6,2023,"all",70,14.7352783406638,9.58347938150589,0.610016909604084
"pooled_lasso","1se",6,2023,"all",70,14.6896355539248,8.89395888658889,0.612429126983247
"pooled_lasso_state_interactions","min",6,2023,"all",70,14.1721919775307,10.2958073214867,0.639252656064456
"pooled_lasso_state_interactions","1se",6,2023,"all",70,14.3592972420157,8.66854724650135,0.62966440192617
"separate_lasso_CA","min",6,2023,"California",43,15.1212186610254,12.0669550581097,0.577854701840163
"separate_lasso_CA","1se",6,2023,"California",43,14.6046043022015,11.4424793185032,0.6062070301433
"separate_lasso_FL","min",6,2023,"Florida",27,9.75949292216124,8.28855364294566,0.160726206421826
"separate_lasso_FL","1se",6,2023,"Florida",27,11.4083632868591,9.51333944425907,-0.146821536951616
"separate_state_lasso","min",6,2023,"all",70,13.3114836941662,10.6095716551179,0.68174002973837
"separate_state_lasso","1se",6,2023,"all",70,13.4619741713575,10.6983825098662,0.674503296343556
"state_time_baseline","none",7,2024,"all",70,21.9733698196099,15.1563589328114,0.243033637793668
"pooled_lasso","min",7,2024,"all",70,14.0330624922182,8.78307609599837,0.691263363025153
"pooled_lasso","1se",7,2024,"all",70,14.7477099387344,9.17405470320805,0.659017237330163
"pooled_lasso_state_interactions","min",7,2024,"all",70,12.9810035928439,9.08940350550237,0.73582008814404
"pooled_lasso_state_interactions","1se",7,2024,"all",70,14.2921093446666,8.74589813115787,0.679759753713426
"separate_lasso_CA","min",7,2024,"California",44,15.2393974060631,12.3325150235925,0.608957418561477
"separate_lasso_CA","1se",7,2024,"California",44,14.6936972847402,11.718287586903,0.636461309168428
"separate_lasso_FL","min",7,2024,"Florida",26,7.08695822699445,5.90883672940766,0.339104880408384
"separate_lasso_FL","1se",7,2024,"Florida",26,8.61076275198701,7.1237552668366,0.0243455133455986
"separate_state_lasso","min",7,2024,"all",70,12.8309757255562,9.9465773714667,0.741891315473433
"separate_state_lasso","1se",7,2024,"all",70,12.7769796731979,10.0117470108784,0.74405912023171
"state_time_baseline","none",8,2025,"all",70,20.3918412789175,14.9862387902981,0.310441373169703
"pooled_lasso","min",8,2025,"all",70,12.2644297917804,8.78892465936369,0.7505675027562
"pooled_lasso","1se",8,2025,"all",70,12.6971761370508,9.10637206249215,0.732654671145916
"pooled_lasso_state_interactions","min",8,2025,"all",70,12.4814896212612,9.5323844900224,0.741660299480257
"pooled_lasso_state_interactions","1se",8,2025,"all",70,12.3252226595086,8.76265600470275,0.748088578067319
