"model","lambda_rule","group","n","mean_resid","sd_resid","mean_abs_resid","max_abs_resid"
"pooled_lasso","1se","all",561,2.56544262035565,15.5355967442457,10.0295931803924,82.3039828599825
"pooled_lasso_state_interactions","1se","all",561,0.728952166298866,15.723352697674,10.4043449585686,76.7956905336761
"separate_lasso_CA","1se","all",347,-0.863930667238272,15.5080394916172,11.8158974815337,61.008119920659
"separate_lasso_FL","1se","all",214,5.44396643087841,9.4771006236144,7.8732573978724,74.5712046123841
"separate_state_lasso","1se","all",561,1.54229032919126,13.8622222591155,10.3119313890141,74.5712046123841
"pooled_lasso","min","all",561,-0.17615009125793,15.9227476456545,10.7442255425469,72.055492656508
"pooled_lasso_state_interactions","min","all",561,-3.05861357542519,16.1509312613049,11.9371416071453,64.4621725197051
"separate_lasso_CA","min","all",347,-2.39265862254895,16.1302214333571,12.503972302445,60.9109879447143
"separate_lasso_FL","min","all",214,4.26369021473867,9.82468607502582,8.1972116717653,63.8842038478324
"separate_state_lasso","min","all",561,0.146483358163261,14.4202349892615,10.8611081759469,63.8842038478324
"state_time_baseline","none","all",561,4.3788002297205,21.5910436587666,15.2269222650811,111.933082174493
"pooled_lasso","1se","California",347,5.54953926596893,18.0670199133514,12.9718028689583,82.3039828599825
"pooled_lasso_state_interactions","1se","California",347,1.999681034216,18.5745337616738,13.2550425712202,76.7956905336761
"separate_lasso_CA","1se","California",347,-0.863930667238272,15.5080394916172,11.8158974815337,61.008119920659
"separate_state_lasso","1se","California",347,-0.863930667238272,15.5080394916172,11.8158974815337,61.008119920659
"pooled_lasso","min","California",347,0.165242455082158,18.8181629529273,13.4818523420589,72.055492656508
"pooled_lasso_state_interactions","min","California",347,-3.89978122838499,18.6696705204996,14.4185414641271,64.4621725197051
"separate_lasso_CA","min","California",347,-2.39265862254895,16.1302214333571,12.503972302445,60.9109879447143
"separate_state_lasso","min","California",347,-2.39265862254895,16.1302214333571,12.503972302445,60.9109879447143
"state_time_baseline","none","California",347,9.58222688192365,23.9945087394665,18.744690144883,111.933082174493
"pooled_lasso","1se","Florida",214,-2.27325614612944,8.14134371499201,5.2588139190263,63.6716509560549
"pooled_lasso_state_interactions","1se","Florida",214,-1.33152875504341,9.09053641033639,5.78195210067083,59.1023000727803
"separate_lasso_FL","1se","Florida",214,5.44396643087841,9.4771006236144,7.8732573978724,74.5712046123841
"separate_state_lasso","1se","Florida",214,5.44396643087841,9.4771006236144,7.8732573978724,74.5712046123841
"pooled_lasso","min","Florida",214,-0.729716509856108,9.53035999755753,6.30517647978688,57.7308580501305
"pooled_lasso_state_interactions","min","Florida",214,-1.69466415684083,10.7975874273496,7.91356333437575,44.8920335783446
"separate_lasso_FL","min","Florida",214,4.26369021473867,9.82468607502582,8.1972116717653,63.8842038478324
"separate_state_lasso","min","Florida",214,4.26369021473867,9.82468607502582,8.1972116717653,63.8842038478324
"state_time_baseline","none","Florida",214,-4.05853177174909,13.2194473863624,9.52287808615004,109.105727014966
