"sample_id","coc_number","coc_name","state","predictor_year","target_year","target_homeless_rate_per_10k"
"S5_no_hpi_fl518","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Florida",2011,2012,76.3108112884735
"S5_no_hpi_fl518","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Florida",2012,2013,83.1061006386984
"S5_no_hpi_fl518","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Florida",2013,2014,69.3942815355044
"S5_no_hpi_fl518","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Florida",2014,2015,72.067849894753
"S5_no_hpi_fl518","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Florida",2015,2016,73.3520889948661
"S5_no_hpi_fl518","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Florida",2016,2017,31.9153764256106
"S5_no_hpi_fl518","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Florida",2017,2018,31.2101270574233
"S5_no_hpi_fl518","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Florida",2018,2019,33.7768721309251
"S5_no_hpi_fl518","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Florida",2019,2020,37.1872491434824
"S5_no_hpi_fl518","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Florida",2021,2022,30.7522790128968
"S5_no_hpi_fl518","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Florida",2022,2023,30.4179612613957
