"predictor","S0_primary","S1_split_county_excluded","S2_stable_cocs","S3_no_structural_beds","S4_persistence","S4b_persistence_full_enum","S5_no_hpi_fl518"
"coc_annual_hpi_change_pct",1,1,1,1,1,1,1
"coc_birth_rate_per_1000",1,1,1,1,1,1,1
"coc_contains_split_county_flag",1,0,1,1,1,1,1
"coc_contributing_counties",1,1,1,1,1,1,1
"coc_death_rate_per_1000",1,1,1,1,1,1,1
"coc_domestic_migration_rate_per_1000",1,1,1,1,1,1,1
"coc_group_quarters_per_1000_residents",1,1,1,1,1,1,1
"coc_hic_psh_beds_per_10k",1,1,1,0,1,1,1
"coc_hic_temporary_beds_per_10k",1,1,1,0,1,1,1
"coc_high_school_graduate_pct",1,1,1,1,1,1,1
"coc_homeownership_rate_pct",1,1,1,1,1,1,1
"coc_housing_cost_burdened_households_pct",1,1,1,1,1,1,1
"coc_housing_supply_growth_rate_pct",1,1,1,1,1,1,1
"coc_housing_units_per_1000_residents",1,1,1,1,1,1,1
"coc_income_inequality_ratio",1,1,1,1,1,1,1
"coc_international_migration_rate_per_1000",1,1,1,1,1,1,1
"coc_log_estimated_population",1,1,1,1,1,1,1
"coc_multifamily_permit_share_pct",1,1,1,1,1,1,1
"coc_permits_per_1000_housing_units",1,1,1,1,1,1,1
"coc_permits_value_per_1000_housing_units_2025_usd",1,1,1,1,1,1,1
"coc_population_density_per_sq_mile",1,1,1,1,1,1,1
"coc_population_growth_rate_pct",1,1,1,1,1,1,1
"coc_poverty_all_pct",1,1,1,1,1,1,1
"coc_poverty_child_pct",1,1,1,1,1,1,1
"coc_real_gdp_per_capita_2017_usd",1,1,1,1,1,1,1
"coc_real_gdp_quantity_index",1,1,1,1,1,1,1
"coc_real_median_household_income_2025_usd",1,1,1,1,1,1,1
"coc_real_per_capita_personal_income_2025_usd",1,1,1,1,1,1,1
"coc_relative_home_price_index_2000_base",1,1,1,1,1,1,0
"coc_unemployment_rate_pct",1,1,1,1,1,1,1
"prior_homeless_rate_per_10k",0,0,0,0,1,1,0
"state_anticamping_strictness",1,1,1,1,1,1,1
"state_labor_force_participation_pct",1,1,1,1,1,1,1
"state_medicaid_expansion",1,1,1,1,1,1,1
"state_real_median_rent_2025_usd",1,1,1,1,1,1,1
"state_real_minimum_wage_2025_usd",1,1,1,1,1,1,1
"state_rental_vacancy_rate",1,1,1,1,1,1,1
"state_ssi_state_supplement",1,1,1,1,1,1,1
"state_tanf_max_benefit_3person",1,1,1,1,1,1,1
