"sample_id","model","lambda_rule","state","scope","n","rmse","mae","r2"
"S0_primary","pooled_lasso","1se","California","pooled_all_folds",347,18.8821426803854,12.7287033828634,0.390252718318497
"S0_primary","pooled_lasso","1se","Florida","pooled_all_folds",208,8.47151511368297,4.9274975982346,0.584742642436457
"S0_primary","pooled_lasso","min","California","pooled_all_folds",347,17.7440313702756,12.3273863166976,0.461541897935129
"S0_primary","pooled_lasso","min","Florida","pooled_all_folds",208,9.95465617447362,6.53940186209325,0.426613207645941
"S0_primary","pooled_lasso_state_interactions","1se","California","pooled_all_folds",347,17.6596435149369,12.1899485833718,0.466651365146358
"S0_primary","pooled_lasso_state_interactions","1se","Florida","pooled_all_folds",208,9.50064451755434,6.10981525634732,0.477722528165983
"S0_primary","pooled_lasso_state_interactions","min","California","pooled_all_folds",347,16.7508216061155,12.0202008726193,0.520134475217338
"S0_primary","pooled_lasso_state_interactions","min","Florida","pooled_all_folds",208,10.3862986529626,7.00677991409103,0.375810054383318
"S0_primary","state_time_baseline","none","California","pooled_all_folds",347,25.6558867595267,18.6502825628232,-0.125696673999119
"S0_primary","state_time_baseline","none","Florida","pooled_all_folds",208,13.6130144366568,8.86547910335601,-0.0722690390948102
"S1_split_county_excluded","pooled_lasso","1se","California","pooled_all_folds",315,18.1982851592732,12.207377396786,0.432941090451718
"S1_split_county_excluded","pooled_lasso","1se","Florida","pooled_all_folds",184,8.76945640401333,5.40848138072949,0.601368489987412
"S1_split_county_excluded","pooled_lasso","min","California","pooled_all_folds",315,17.2954087438821,11.8494661556731,0.487812580638396
"S1_split_county_excluded","pooled_lasso","min","Florida","pooled_all_folds",184,9.64773353303061,6.42056345958316,0.517522708201185
"S1_split_county_excluded","pooled_lasso_state_interactions","1se","California","pooled_all_folds",315,17.5828162542218,12.0497917469622,0.470648532096433
"S1_split_county_excluded","pooled_lasso_state_interactions","1se","Florida","pooled_all_folds",184,8.9359351360963,5.7125864938159,0.586089643310607
"S1_split_county_excluded","pooled_lasso_state_interactions","min","California","pooled_all_folds",315,16.4465418419893,11.6127219264653,0.536855581030262
"S1_split_county_excluded","pooled_lasso_state_interactions","min","Florida","pooled_all_folds",184,11.0332932597521,7.70067328613669,0.368989477747138
"S1_split_county_excluded","state_time_baseline","none","California","pooled_all_folds",315,25.6748881489435,18.2775925278747,-0.128715183149836
"S1_split_county_excluded","state_time_baseline","none","Florida","pooled_all_folds",184,14.4393816547667,9.76028282844397,-0.0807455827267365
"S2_stable_cocs","pooled_lasso","1se","California","pooled_all_folds",312,19.001181909063,13.234531225776,0.338826088185451
"S2_stable_cocs","pooled_lasso","1se","Florida","pooled_all_folds",208,10.0519462887194,6.08236425006681,0.415350645195611
"S2_stable_cocs","pooled_lasso","min","California","pooled_all_folds",312,16.5134884681447,11.3469324373911,0.500618864330086
"S2_stable_cocs","pooled_lasso","min","Florida","pooled_all_folds",208,10.3695993659845,6.14902435470161,0.377815609549215
"S2_stable_cocs","pooled_lasso_state_interactions","1se","California","pooled_all_folds",312,15.9541542121352,10.9652861465857,0.533875372950687
"S2_stable_cocs","pooled_lasso_state_interactions","1se","Florida","pooled_all_folds",208,10.305895550761,6.21847317031892,0.385436689422817
"S2_stable_cocs","pooled_lasso_state_interactions","min","California","pooled_all_folds",312,14.754973793896,10.9339268603693,0.601313653789044
"S2_stable_cocs","pooled_lasso_state_interactions","min","Florida","pooled_all_folds",208,10.823494599288,7.36688914856826,0.322155360953637
"S2_stable_cocs","state_time_baseline","none","California","pooled_all_folds",312,25.0943520268977,18.1002406819562,-0.15320482220993
"S2_stable_cocs","state_time_baseline","none","Florida","pooled_all_folds",208,13.6684777894339,8.98792292685379,-0.081024306133711
"S3_no_structural_beds","pooled_lasso","1se","California","pooled_all_folds",347,22.9884900031328,16.0583385125339,0.0962085800409946
"S3_no_structural_beds","pooled_lasso","1se","Florida","pooled_all_folds",208,10.1174207530177,6.23438533003073,0.407709483689016
"S3_no_structural_beds","pooled_lasso","min","California","pooled_all_folds",347,21.3639075734266,15.0338750740382,0.219435665403723
"S3_no_structural_beds","pooled_lasso","min","Florida","pooled_all_folds",208,11.4666858857982,8.5528029406776,0.239199152665518
"S3_no_structural_beds","pooled_lasso_state_interactions","1se","California","pooled_all_folds",347,20.6218216468886,14.790190320549,0.272720450528793
"S3_no_structural_beds","pooled_lasso_state_interactions","1se","Florida","pooled_all_folds",208,11.7117380022795,8.83725469998512,0.206333859177777
"S3_no_structural_beds","pooled_lasso_state_interactions","min","California","pooled_all_folds",347,20.2614191982957,14.8910141217509,0.297919280209665
"S3_no_structural_beds","pooled_lasso_state_interactions","min","Florida","pooled_all_folds",208,12.7543360721462,9.67349441735571,0.0587372572507221
"S3_no_structural_beds","state_time_baseline","none","California","pooled_all_folds",347,25.6558867595267,18.6502825628232,-0.125696673999119
"S3_no_structural_beds","state_time_baseline","none","Florida","pooled_all_folds",208,13.6130144366568,8.86547910335601,-0.0722690390948102
"S4_persistence","pooled_lasso","1se","California","pooled_all_folds",303,19.2104220304181,12.9481900588787,0.372748370250675
"S4_persistence","pooled_lasso","1se","Florida","pooled_all_folds",182,8.89299827185834,5.12178098847714,0.561430166996715
"S4_persistence","pooled_lasso","min","California","pooled_all_folds",303,18.0773132411269,12.623285779276,0.44456178887457
"S4_persistence","pooled_lasso","min","Florida","pooled_all_folds",182,10.4527935408444,6.90962464021903,0.394091444862036
"S4_persistence","pooled_lasso_plus_prior","1se","California","pooled_all_folds",303,9.63238103835793,5.97487573255037,0.842298692243311
"S4_persistence","pooled_lasso_plus_prior","1se","Florida","pooled_all_folds",182,7.48289527459085,3.42123949295651,0.689485650954243
"S4_persistence","pooled_lasso_plus_prior","min","California","pooled_all_folds",303,9.63238103835793,5.97487573255037,0.842298692243311
"S4_persistence","pooled_lasso_plus_prior","min","Florida","pooled_all_folds",182,7.48289527459085,3.42123949295651,0.689485650954243
"S4_persistence","pooled_lasso_state_interactions","1se","California","pooled_all_folds",303,17.9868028246434,12.5003944473068,0.450109857725045
"S4_persistence","pooled_lasso_state_interactions","1se","Florida","pooled_all_folds",182,10.3061707016558,6.74940831843369,0.410970558820833
"S4_persistence","pooled_lasso_state_interactions","min","California","pooled_all_folds",303,17.0843511657379,12.3204844976114,0.503904867459328
"S4_persistence","pooled_lasso_state_interactions","min","Florida","pooled_all_folds",182,11.134205852218,7.59322843396216,0.312518790424844
"S4_persistence","pooled_lasso_state_interactions_plus_prior","1se","California","pooled_all_folds",303,9.63238103835793,5.97487573255037,0.842298692243311
"S4_persistence","pooled_lasso_state_interactions_plus_prior","1se","Florida","pooled_all_folds",182,7.48289527459085,3.42123949295651,0.689485650954243
"S4_persistence","pooled_lasso_state_interactions_plus_prior","min","California","pooled_all_folds",303,9.63238103835793,5.97487573255037,0.842298692243311
"S4_persistence","pooled_lasso_state_interactions_plus_prior","min","Florida","pooled_all_folds",182,7.48289527459085,3.42123949295651,0.689485650954243
"S4_persistence","prior_rate_only","none","California","pooled_all_folds",303,9.91598225582244,6.09553072179395,0.832875751088942
"S4_persistence","prior_rate_only","none","Florida","pooled_all_folds",182,7.61021622796679,3.8809190941591,0.678828993600294
"S4_persistence","state_time_baseline","none","California","pooled_all_folds",303,25.8741249414068,18.7330324260086,-0.137887504877579
"S4_persistence","state_time_baseline","none","Florida","pooled_all_folds",182,13.878508300836,8.83108066067746,-0.0681393596775779
"S4_persistence","state_time_prior_rate","none","California","pooled_all_folds",303,9.63238015686428,5.97487481154056,0.842298721106931
"S4_persistence","state_time_prior_rate","none","Florida","pooled_all_folds",182,7.48289665564833,3.42124539017796,0.689485536335987
"S4b_persistence_full_enum","pooled_lasso","1se","California","pooled_all_folds",234,19.7134872678295,13.1165983142359,0.347771070781743
"S4b_persistence_full_enum","pooled_lasso","1se","Florida","pooled_all_folds",174,8.82968106807585,4.90648616247616,0.569333315757485
"S4b_persistence_full_enum","pooled_lasso","min","California","pooled_all_folds",234,18.4858364130462,12.7274832303427,0.426476318233173
"S4b_persistence_full_enum","pooled_lasso","min","Florida","pooled_all_folds",174,9.62174233262276,6.12739958862174,0.488602397522851
"S4b_persistence_full_enum","pooled_lasso_plus_prior","1se","California","pooled_all_folds",234,7.6923709520465,4.80868490223489,0.900689862596059
"S4b_persistence_full_enum","pooled_lasso_plus_prior","1se","Florida","pooled_all_folds",174,7.00050230977196,3.11013439287212,0.729286664924979
"S4b_persistence_full_enum","pooled_lasso_plus_prior","min","California","pooled_all_folds",234,7.6923709520465,4.80868490223489,0.900689862596059
"S4b_persistence_full_enum","pooled_lasso_plus_prior","min","Florida","pooled_all_folds",174,7.00050230977196,3.11013439287212,0.729286664924979
"S4b_persistence_full_enum","pooled_lasso_state_interactions","1se","California","pooled_all_folds",234,18.234784006515,12.4887471811302,0.441948356946576
"S4b_persistence_full_enum","pooled_lasso_state_interactions","1se","Florida","pooled_all_folds",174,10.3649321131633,6.61046816751131,0.40654995560715
"S4b_persistence_full_enum","pooled_lasso_state_interactions","min","California","pooled_all_folds",234,17.6603311183739,12.8018458354169,0.47655527401107
"S4b_persistence_full_enum","pooled_lasso_state_interactions","min","Florida","pooled_all_folds",174,11.8537040061031,7.94760128549674,0.223825448018576
"S4b_persistence_full_enum","pooled_lasso_state_interactions_plus_prior","1se","California","pooled_all_folds",234,7.6923709520465,4.80868490223489,0.900689862596059
"S4b_persistence_full_enum","pooled_lasso_state_interactions_plus_prior","1se","Florida","pooled_all_folds",174,7.00050230977196,3.11013439287212,0.729286664924979
"S4b_persistence_full_enum","pooled_lasso_state_interactions_plus_prior","min","California","pooled_all_folds",234,7.6923709520465,4.80868490223489,0.900689862596059
"S4b_persistence_full_enum","pooled_lasso_state_interactions_plus_prior","min","Florida","pooled_all_folds",174,7.00050230977196,3.11013439287212,0.729286664924979
"S4b_persistence_full_enum","prior_rate_only","none","California","pooled_all_folds",234,7.94394084984094,4.98793460484747,0.894088005190154
"S4b_persistence_full_enum","prior_rate_only","none","Florida","pooled_all_folds",174,7.05903551249569,3.29634366230685,0.72474071575992
"S4b_persistence_full_enum","state_time_baseline","none","California","pooled_all_folds",234,26.218847529945,18.932740706012,-0.153719785063854
"S4b_persistence_full_enum","state_time_baseline","none","Florida","pooled_all_folds",174,13.7849576285815,8.19830820938907,-0.0496925474215342
"S4b_persistence_full_enum","state_time_prior_rate","none","California","pooled_all_folds",234,7.69236946050984,4.80868327879177,0.900689901108163
"S4b_persistence_full_enum","state_time_prior_rate","none","Florida","pooled_all_folds",174,7.00050755186452,3.11014348162724,0.729286259495531
"S5_no_hpi_fl518","pooled_lasso","1se","California","pooled_all_folds",347,18.8844451096482,12.7285701012698,0.390104007909766
"S5_no_hpi_fl518","pooled_lasso","1se","Florida","pooled_all_folds",214,8.48629818320708,5.32223065974805,0.589450598731347
"S5_no_hpi_fl518","pooled_lasso","min","California","pooled_all_folds",347,17.8125675024105,12.4044231055143,0.457374287407775
"S5_no_hpi_fl518","pooled_lasso","min","Florida","pooled_all_folds",214,10.1856626669864,6.91942195358495,0.408564449445093
"S5_no_hpi_fl518","pooled_lasso_state_interactions","1se","California","pooled_all_folds",347,17.5671088868021,12.1127411115804,0.472226099968272
"S5_no_hpi_fl518","pooled_lasso_state_interactions","1se","Florida","pooled_all_folds",214,9.90417258433114,6.72292179969433,0.440802466591505
"S5_no_hpi_fl518","pooled_lasso_state_interactions","min","California","pooled_all_folds",347,16.7436280937056,12.0653135132886,0.520546535889793
"S5_no_hpi_fl518","pooled_lasso_state_interactions","min","Florida","pooled_all_folds",214,11.046977868473,8.06223483064394,0.304309911558544
"S5_no_hpi_fl518","state_time_baseline","none","California","pooled_all_folds",347,25.8049673282681,18.744690144883,-0.138817021979441
"S5_no_hpi_fl518","state_time_baseline","none","Florida","pooled_all_folds",214,13.7988717963285,9.52287808615004,-0.0854654572317335
