"sample_id","fold","validation_year","n_train_years","train_year_min","train_year_max","n_train_rows","n_val_rows","n_train_cocs","n_val_cocs"
"S0_primary",1,2017,5,2012,2016,332,68,68,68
"S0_primary",2,2018,6,2012,2017,400,69,68,69
"S0_primary",3,2019,7,2012,2018,469,69,69,69
"S0_primary",4,2020,8,2012,2019,538,70,69,70
"S0_primary",5,2022,9,2012,2020,608,70,70,70
"S0_primary",6,2023,10,2012,2022,678,69,70,69
"S0_primary",7,2024,11,2012,2023,747,70,70,70
"S0_primary",8,2025,12,2012,2024,817,70,70,70
"S1_split_county_excluded",1,2017,5,2012,2016,297,61,61,61
"S1_split_county_excluded",2,2018,6,2012,2017,358,62,61,62
"S1_split_county_excluded",3,2019,7,2012,2018,420,62,62,62
"S1_split_county_excluded",4,2020,8,2012,2019,482,63,62,63
"S1_split_county_excluded",5,2022,9,2012,2020,545,63,63,63
"S1_split_county_excluded",6,2023,10,2012,2022,608,62,63,62
"S1_split_county_excluded",7,2024,11,2012,2023,670,63,63,63
"S1_split_county_excluded",8,2025,12,2012,2024,733,63,63,63
"S2_stable_cocs",1,2017,5,2012,2016,325,65,65,65
"S2_stable_cocs",2,2018,6,2012,2017,390,65,65,65
"S2_stable_cocs",3,2019,7,2012,2018,455,65,65,65
"S2_stable_cocs",4,2020,8,2012,2019,520,65,65,65
"S2_stable_cocs",5,2022,9,2012,2020,585,65,65,65
"S2_stable_cocs",6,2023,10,2012,2022,650,65,65,65
"S2_stable_cocs",7,2024,11,2012,2023,715,65,65,65
"S2_stable_cocs",8,2025,12,2012,2024,780,65,65,65
"S3_no_structural_beds",1,2017,5,2012,2016,332,68,68,68
"S3_no_structural_beds",2,2018,6,2012,2017,400,69,68,69
"S3_no_structural_beds",3,2019,7,2012,2018,469,69,69,69
"S3_no_structural_beds",4,2020,8,2012,2019,538,70,69,70
"S3_no_structural_beds",5,2022,9,2012,2020,608,70,70,70
"S3_no_structural_beds",6,2023,10,2012,2022,678,69,70,69
"S3_no_structural_beds",7,2024,11,2012,2023,747,70,70,70
"S3_no_structural_beds",8,2025,12,2012,2024,817,70,70,70
"S4_persistence",1,2017,5,2012,2016,332,68,68,68
"S4_persistence",2,2018,6,2012,2017,400,69,68,69
"S4_persistence",3,2019,7,2012,2018,469,69,69,69
"S4_persistence",4,2020,8,2012,2019,538,70,69,70
"S4_persistence",6,2023,9,2012,2020,608,69,70,69
"S4_persistence",7,2024,10,2012,2023,677,70,70,70
"S4_persistence",8,2025,11,2012,2024,747,70,70,70
"S4b_persistence_full_enum",1,2017,5,2012,2016,258,42,68,42
"S4b_persistence_full_enum",2,2018,6,2012,2017,300,69,68,69
"S4b_persistence_full_enum",3,2019,7,2012,2018,369,45,69,45
"S4b_persistence_full_enum",4,2020,8,2012,2019,414,70,69,70
"S4b_persistence_full_enum",6,2023,9,2012,2020,484,65,70,65
"S4b_persistence_full_enum",7,2024,10,2012,2023,549,55,70,55
"S4b_persistence_full_enum",8,2025,11,2012,2024,604,62,70,62
"S5_no_hpi_fl518",1,2017,5,2012,2016,337,69,69,69
"S5_no_hpi_fl518",2,2018,6,2012,2017,406,70,69,70
"S5_no_hpi_fl518",3,2019,7,2012,2018,476,70,70,70
"S5_no_hpi_fl518",4,2020,8,2012,2019,546,71,70,71
"S5_no_hpi_fl518",5,2022,9,2012,2020,617,71,71,71
"S5_no_hpi_fl518",6,2023,10,2012,2022,688,70,71,70
"S5_no_hpi_fl518",7,2024,11,2012,2023,758,70,71,70
"S5_no_hpi_fl518",8,2025,12,2012,2024,828,70,71,70
