"sample_id","model","fold","validation_year","lambda_min","lambda_1se","n_inner_splits","n_grid"
"S0_primary","pooled_lasso",1,2017,0.651484478321249,4.59609420305808,3,100
"S0_primary","pooled_lasso_state_interactions",1,2017,0.554742419761636,1.40647423436272,3,100
"S0_primary","pooled_lasso",2,2018,0.641519665786302,3.42359750720548,4,95
"S0_primary","pooled_lasso_state_interactions",2,2018,0.546257330090195,1.14981931807692,4,100
"S0_primary","pooled_lasso",3,2019,0.651303525503346,2.62932357304179,5,97
"S0_primary","pooled_lasso_state_interactions",3,2019,0.505320238102894,1.06365066348858,5,100
"S0_primary","pooled_lasso",4,2020,0.670091742505107,2.70517192933615,6,93
"S0_primary","pooled_lasso_state_interactions",4,2020,0.519897260822864,1.09433389902649,6,87
"S0_primary","pooled_lasso",5,2022,0.677350788674731,2.73447682400388,7,100
"S0_primary","pooled_lasso_state_interactions",5,2022,0.525529263100142,1.00791796650894,7,91
"S0_primary","pooled_lasso",6,2023,0.6962676298288,2.56113676534133,8,83
"S0_primary","pooled_lasso_state_interactions",6,2023,0.540206080132173,1.03606678450337,8,87
"S0_primary","pooled_lasso",7,2024,1.02612463816201,2.85525275975409,9,100
"S0_primary","pooled_lasso_state_interactions",7,2024,0.499992139339912,0.958940054795599,9,82
"S0_primary","pooled_lasso",8,2025,1.0483170314737,2.91700441242102,10,86
"S0_primary","pooled_lasso_state_interactions",8,2025,0.510805662177509,0.979679421210654,10,84
"S1_split_county_excluded","pooled_lasso",1,2017,0.734583977642689,4.3024736496641,3,100
"S1_split_county_excluded","pooled_lasso_state_interactions",1,2017,0.625913589915311,2.30234788805712,3,100
"S1_split_county_excluded","pooled_lasso",2,2018,0.794848005824678,3.20881511747528,4,100
"S1_split_county_excluded","pooled_lasso_state_interactions",2,2018,0.562275211727764,1.71710725281531,4,100
"S1_split_county_excluded","pooled_lasso",3,2019,0.736634391632961,2.70962104541598,5,97
"S1_split_county_excluded","pooled_lasso_state_interactions",3,2019,0.571901032114425,1.59134859404195,5,100
"S1_split_county_excluded","pooled_lasso",4,2020,0.830074734124868,2.78208067937026,6,97
"S1_split_county_excluded","pooled_lasso_state_interactions",4,2020,0.535029838693376,1.63390382028402,6,100
"S1_split_county_excluded","pooled_lasso",5,2022,0.838842297728056,2.5617031719593,7,75
"S1_split_county_excluded","pooled_lasso_state_interactions",5,2022,0.540681026408772,1.50447707362873,7,85
"S1_split_county_excluded","pooled_lasso",6,2023,1.03375287204067,2.62094032731155,8,92
"S1_split_county_excluded","pooled_lasso_state_interactions",6,2023,0.50404047982673,1.5392667959939,8,88
"S1_split_county_excluded","pooled_lasso",7,2024,1.14274751314765,2.63989496981855,9,100
"S1_split_county_excluded","pooled_lasso_state_interactions",7,2024,0.50768570097298,1.70156074122478,9,100
"S1_split_county_excluded","pooled_lasso",8,2025,1.05838774835233,2.68339871802546,10,78
"S1_split_county_excluded","pooled_lasso_state_interactions",8,2025,0.516052030374673,1.57594833580436,10,90
"S2_stable_cocs","pooled_lasso",1,2017,0.81446127180817,6.30607783711348,3,100
"S2_stable_cocs","pooled_lasso_state_interactions",1,2017,0.361600863419987,1.0061758823555,3,100
"S2_stable_cocs","pooled_lasso",2,2018,0.805359743635164,5.68165378035713,4,100
"S2_stable_cocs","pooled_lasso_state_interactions",2,2018,0.392421667098507,0.994931961426113,4,100
"S2_stable_cocs","pooled_lasso",3,2019,0.631963491290734,4.06230752947111,5,77
"S2_stable_cocs","pooled_lasso_state_interactions",3,2019,0.370905378918169,0.856839531759461,5,100
"S2_stable_cocs","pooled_lasso",4,2020,0.597791528907039,3.84264765670763,6,82
"S2_stable_cocs","pooled_lasso_state_interactions",4,2020,0.350849529441145,0.810507918222189,6,89
"S2_stable_cocs","pooled_lasso",5,2022,0.603954981730279,3.2231260866832,7,100
"S2_stable_cocs","pooled_lasso_state_interactions",5,2022,0.354466918477621,0.746118885795949,7,100
"S2_stable_cocs","pooled_lasso",6,2023,0.565677698394916,2.50630374858518,8,100
"S2_stable_cocs","pooled_lasso_state_interactions",6,2023,0.364371364929855,0.766966796182354,8,86
"S2_stable_cocs","pooled_lasso",7,2024,0.57992083334757,2.34115041284383,9,95
"S2_stable_cocs","pooled_lasso_state_interactions",7,2024,0.44993727519216,0.786278166620372,9,100
"S2_stable_cocs","pooled_lasso",8,2025,0.590704808383901,2.17283661828125,10,92
"S2_stable_cocs","pooled_lasso_state_interactions",8,2025,0.458304128156518,0.800899479794276,10,100
"S3_no_structural_beds","pooled_lasso",1,2017,0.632000060562043,3.37279423732379,3,100
"S3_no_structural_beds","pooled_lasso_state_interactions",1,2017,0.212544811436703,0.53887856829419,3,100
"S3_no_structural_beds","pooled_lasso",2,2018,0.656218908090087,2.9074575750562,4,100
"S3_no_structural_beds","pooled_lasso_state_interactions",2,2018,0.201084264587838,0.464530731843744,4,100
"S3_no_structural_beds","pooled_lasso",3,2019,0.591848667436892,2.1770441662836,5,83
"S3_no_structural_beds","pooled_lasso_state_interactions",3,2019,0.21844801476133,0.459812131631546,5,83
"S3_no_structural_beds","pooled_lasso",4,2020,0.572094595841313,1.91743376400953,6,100
"S3_no_structural_beds","pooled_lasso_state_interactions",4,2020,0.211156898026717,0.444465029798739,6,100
"S3_no_structural_beds","pooled_lasso",5,2022,0.600898522620844,1.672035833891,7,95
"S3_no_structural_beds","pooled_lasso_state_interactions",5,2022,0.221788265415899,0.466843039078057,7,100
"S3_no_structural_beds","pooled_lasso",6,2023,0.576052055388868,1.60289906288303,8,98
"S3_no_structural_beds","pooled_lasso_state_interactions",6,2023,0.338547304785568,0.539063048142062,8,83
"S3_no_structural_beds","pooled_lasso",7,2024,0.602942483226332,1.84129922391043,9,100
"S3_no_structural_beds","pooled_lasso_state_interactions",7,2024,0.35435087979887,0.564226808709018,9,87
"S3_no_structural_beds","pooled_lasso",8,2025,0.637462812509517,1.77377814250575,10,100
"S3_no_structural_beds","pooled_lasso_state_interactions",8,2025,0.341356710089773,0.54353641586747,10,100
"S4_persistence","pooled_lasso",1,2017,0.651484478321249,4.59609420305808,3,100
"S4_persistence","pooled_lasso_state_interactions",1,2017,0.554742419761636,1.40647423436272,3,100
"S4_persistence","pooled_lasso_plus_prior",1,2017,1.57835613423211,1.57835613423211,3,99
"S4_persistence","pooled_lasso_state_interactions_plus_prior",1,2017,1.63829370894979,1.63829370894979,3,100
"S4_persistence","pooled_lasso",2,2018,0.641519665786302,3.42359750720548,4,95
"S4_persistence","pooled_lasso_state_interactions",2,2018,0.546257330090195,1.14981931807692,4,100
"S4_persistence","pooled_lasso_plus_prior",2,2018,1.49940310383508,1.49940310383508,4,98
"S4_persistence","pooled_lasso_state_interactions_plus_prior",2,2018,1.55634246220856,1.55634246220856,4,58
"S4_persistence","pooled_lasso",3,2019,0.651303525503346,2.62932357304179,5,97
"S4_persistence","pooled_lasso_state_interactions",3,2019,0.505320238102894,1.06365066348858,5,100
"S4_persistence","pooled_lasso_plus_prior",3,2019,1.56441221322619,1.56441221322619,5,98
"S4_persistence","pooled_lasso_state_interactions_plus_prior",3,2019,1.6238202719563,1.6238202719563,5,71
