"sample_id","model","lambda_rule","scope","n","n_cocs","rmse","mae","r2","mean_nonzero_penalized_per_fold","min_nonzero_penalized_per_fold","max_nonzero_penalized_per_fold"
"S0_primary","pooled_lasso","1se","pooled_all_folds",555,70,15.8054158550639,9.80500824195748,0.579235270402194,3.125,3,4
"S0_primary","pooled_lasso","min","pooled_all_folds",555,70,15.2967624581015,10.1581957463234,0.605881773925377,14,13,15
"S0_primary","pooled_lasso_state_interactions","1se","pooled_all_folds",555,70,15.1265539068463,9.91126798513561,0.614603760280068,12.625,11,14
"S0_primary","pooled_lasso_state_interactions","min","pooled_all_folds",555,70,14.6922042228507,10.1412971620357,0.636418826533998,21.875,19,25
"S0_primary","state_time_baseline","none","pooled_all_folds",555,70,21.9314762498759,14.983185050086,0.189854160857864,NA,NA,NA
"S1_split_county_excluded","pooled_lasso","1se","pooled_all_folds",499,63,15.4083467631633,9.70036964737836,0.603659568733985,3.375,3,4
"S1_split_county_excluded","pooled_lasso","min","pooled_all_folds",499,63,14.9382703636529,9.84762628376821,0.627473715365254,10.75,8,13
"S1_split_county_excluded","pooled_lasso_state_interactions","1se","pooled_all_folds",499,63,14.9867364207227,9.71302668367779,0.625052528901422,7.125,6,8
"S1_split_county_excluded","pooled_lasso_state_interactions","min","pooled_all_folds",499,63,14.6845881688819,10.1702029889493,0.640018789764897,21.5,20,25
"S1_split_county_excluded","state_time_baseline","none","pooled_all_folds",499,63,22.2037919134875,15.1369412559403,0.176979623752972,NA,NA,NA
"S2_stable_cocs","pooled_lasso","1se","pooled_all_folds",520,65,16.0325792697651,10.3736644354923,0.52534742842232,3,1,5
"S2_stable_cocs","pooled_lasso","min","pooled_all_folds",520,65,14.3745823326085,9.26776920431531,0.618442920654671,11.875,11,13
"S2_stable_cocs","pooled_lasso_state_interactions","1se","pooled_all_folds",520,65,13.9716003097724,9.06656095607897,0.63953645235776,15.375,11,19
"S2_stable_cocs","pooled_lasso_state_interactions","min","pooled_all_folds",520,65,13.3223408277773,9.50711177564891,0.672259488944858,22.375,18,30
"S2_stable_cocs","state_time_baseline","none","pooled_all_folds",520,65,21.2736178451625,14.4553135799152,0.164297400256636,NA,NA,NA
"S3_no_structural_beds","pooled_lasso","1se","pooled_all_folds",555,70,19.2035404750346,12.3765686711633,0.378859161003644,7.875,5,11
"S3_no_structural_beds","pooled_lasso","min","pooled_all_folds",555,70,18.2931778680387,12.6049327249589,0.436354831843449,16.625,15,18
"S3_no_structural_beds","pooled_lasso_state_interactions","1se","pooled_all_folds",555,70,17.812604915024,12.5591802141034,0.465580440454254,24,21,27
"S3_no_structural_beds","pooled_lasso_state_interactions","min","pooled_all_folds",555,70,17.8223573980268,12.9356193496532,0.464995085929171,31.75,26,38
"S3_no_structural_beds","state_time_baseline","none","pooled_all_folds",555,70,21.9314762498759,14.983185050086,0.189854160857864,NA,NA,NA
"S4_persistence","pooled_lasso","1se","pooled_all_folds",485,70,16.1317233370177,10.0112695417383,0.559741108478532,3,3,3
"S4_persistence","pooled_lasso","min","pooled_all_folds",485,70,15.6575877629134,10.4791902590525,0.585240526197507,13.8571428571429,12,15
"S4_persistence","pooled_lasso_plus_prior","1se","pooled_all_folds",485,70,8.88692251088376,5.01660398903267,0.866386791724859,0,0,0
"S4_persistence","pooled_lasso_plus_prior","min","pooled_all_folds",485,70,8.88692251088376,5.01660398903267,0.866386791724859,0,0,0
"S4_persistence","pooled_lasso_state_interactions","1se","pooled_all_folds",485,70,15.5556612897373,10.3422924360596,0.590622884190539,13,11,15
"S4_persistence","pooled_lasso_state_interactions","min","pooled_all_folds",485,70,15.128370280594,10.546545108778,0.612803968936395,21.8571428571429,19,25
"S4_persistence","pooled_lasso_state_interactions_plus_prior","1se","pooled_all_folds",485,70,8.88692251088376,5.01660398903267,0.866386791724859,0,0,0
"S4_persistence","pooled_lasso_state_interactions_plus_prior","min","pooled_all_folds",485,70,8.88692251088376,5.01660398903267,0.866386791724859,0,0,0
"S4_persistence","prior_rate_only","none","pooled_all_folds",485,70,9.11932269485502,5.26448058523819,0.859307232275689,NA,NA,NA
"S4_persistence","state_time_baseline","none","pooled_all_folds",485,70,22.1478200799714,15.0172484645853,0.170132839278191,NA,NA,NA
"S4_persistence","state_time_prior_rate","none","pooled_all_folds",485,70,8.8869223503576,5.01660562661686,0.86638679655182,NA,NA,NA
"S4b_persistence_full_enum","pooled_lasso","1se","pooled_all_folds",408,70,16.0042165378057,9.61522695539716,0.548528330073867,3.71428571428571,3,4
"S4b_persistence_full_enum","pooled_lasso","min","pooled_all_folds",408,70,15.3450890820505,9.91274167725583,0.584949927852346,11.4285714285714,11,13
"S4b_persistence_full_enum","pooled_lasso_plus_prior","1se","pooled_all_folds",408,70,7.40521895531258,4.08430306735959,0.90334207359007,0,0,0
"S4b_persistence_full_enum","pooled_lasso_plus_prior","min","pooled_all_folds",408,70,7.40521895531258,4.08430306735959,0.90334207359007,0,0,0
"S4b_persistence_full_enum","pooled_lasso_state_interactions","1se","pooled_all_folds",408,70,15.3791824901343,9.98183407238094,0.583103579352884,13.1428571428571,7,15
"S4b_persistence_full_enum","pooled_lasso_state_interactions","min","pooled_all_folds",408,70,15.4531565281501,10.7316533067745,0.579083381155005,25,23,29
"S4b_persistence_full_enum","pooled_lasso_state_interactions_plus_prior","1se","pooled_all_folds",408,70,7.40521895531258,4.08430306735959,0.90334207359007,0,0,0
"S4b_persistence_full_enum","pooled_lasso_state_interactions_plus_prior","min","pooled_all_folds",408,70,7.40521895531258,4.08430306735959,0.90334207359007,0,0,0
"S4b_persistence_full_enum","prior_rate_only","none","pooled_all_folds",408,70,7.57920058394982,4.26652082052868,0.89874686762716,NA,NA,NA
"S4b_persistence_full_enum","state_time_baseline","none","pooled_all_folds",408,70,21.8013819428324,14.3548209648051,0.162220531829238,NA,NA,NA
"S4b_persistence_full_enum","state_time_prior_rate","none","pooled_all_folds",408,70,7.40522018011822,4.08430601235395,0.903342041616084,NA,NA,NA
"S5_no_hpi_fl518","pooled_lasso","1se","pooled_all_folds",561,71,15.7498051738103,9.90333544799767,0.577716556518798,4.625,3,6
"S5_no_hpi_fl518","pooled_lasso","min","pooled_all_folds",561,71,15.3567671395777,10.3121053755448,0.598529831382052,15.25,13,17
"S5_no_hpi_fl518","pooled_lasso_state_interactions","1se","pooled_all_folds",561,71,15.1096511507554,10.0567316057985,0.61134652282214,15.75,13,18
"S5_no_hpi_fl518","pooled_lasso_state_interactions","min","pooled_all_folds",561,71,14.8310013658683,10.5382924115311,0.625549312492568,23.625,20,31
"S5_no_hpi_fl518","state_time_baseline","none","pooled_all_folds",561,71,22.0117261820998,15.2269222650811,0.175174866640923,NA,NA,NA
