"sample_id","model","lambda_rule","fold","validation_year","group","n","rmse","mae","r2"
"S0_primary","state_time_baseline","none",1,2017,"all",68,22.5982355390499,14.8583492131783,0.0691862923583655
"S0_primary","pooled_lasso","min",1,2017,"all",68,15.156663662781,10.2817639212253,0.581282670690317
"S0_primary","pooled_lasso","1se",1,2017,"all",68,17.2763693649305,10.8568866690574,0.455975235506436
"S0_primary","pooled_lasso_state_interactions","min",1,2017,"all",68,14.178180528825,9.79490889718682,0.633600635142762
"S0_primary","pooled_lasso_state_interactions","1se",1,2017,"all",68,15.6111241476508,10.3736547155756,0.555796410781539
"S0_primary","state_time_baseline","none",2,2018,"all",69,24.162499934654,15.6709484965641,0.0560796524537296
"S0_primary","pooled_lasso","min",2,2018,"all",69,15.9886544120104,10.4526361077836,0.586690443265286
"S0_primary","pooled_lasso","1se",2,2018,"all",69,17.6916201315099,10.5716502527753,0.493957691982407
"S0_primary","pooled_lasso_state_interactions","min",2,2018,"all",69,15.9593562822518,10.1379131798978,0.588203779168223
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"all",69,16.1603141278102,10.3354166566483,0.577767933146476
"S0_primary","state_time_baseline","none",3,2019,"all",69,22.4779507523863,15.3783659935515,0.133092753605574
"S0_primary","pooled_lasso","min",3,2019,"all",69,18.1099892870642,11.8367764980655,0.437275804093771
"S0_primary","pooled_lasso","1se",3,2019,"all",69,18.2607047515156,11.5402333000772,0.427870591706645
"S0_primary","pooled_lasso_state_interactions","min",3,2019,"all",69,17.7132795543569,11.623481588132,0.46165937292241
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"all",69,18.0373125892943,11.5933599655357,0.441783247415134
"S0_primary","state_time_baseline","none",4,2020,"all",70,21.1367781762659,14.3305337698207,0.193914532507191
"S0_primary","pooled_lasso","min",4,2020,"all",70,16.542367036669,10.5161250686722,0.506259426204639
"S0_primary","pooled_lasso","1se",4,2020,"all",70,16.5239665656432,10.0107416139738,0.507357214246439
"S0_primary","pooled_lasso_state_interactions","min",4,2020,"all",70,15.6710862927174,10.2206920299043,0.556900034342395
"S0_primary","pooled_lasso_state_interactions","1se",4,2020,"all",70,16.2367083194951,10.1277902517252,0.524336869045423
"S0_primary","state_time_baseline","none",5,2022,"all",70,22.0222209545792,15.3461423767643,0.206692127141056
"S0_primary","pooled_lasso","min",5,2022,"all",70,14.0908838747205,9.12529568693356,0.675214969254657
"S0_primary","pooled_lasso","1se",5,2022,"all",70,15.0622107193574,9.30881284477418,0.628894858815222
"S0_primary","pooled_lasso_state_interactions","min",5,2022,"all",70,12.7673832623127,8.81051281929718,0.733361213541562
"S0_primary","pooled_lasso_state_interactions","1se",5,2022,"all",70,13.7744511941479,8.79361508317577,0.689638285725969
"S0_primary","state_time_baseline","none",6,2023,"all",69,20.8667290782308,14.6125581051526,0.228838839213804
"S0_primary","pooled_lasso","min",6,2023,"all",69,15.6004365289326,10.8833369295284,0.568967621183286
"S0_primary","pooled_lasso","1se",6,2023,"all",69,14.1654732209946,8.50326211538882,0.644615429558683
"S0_primary","pooled_lasso_state_interactions","min",6,2023,"all",69,14.4008364478112,10.883127030733,0.632707695059161
"S0_primary","pooled_lasso_state_interactions","1se",6,2023,"all",69,14.8825229878439,10.1377407255299,0.60772600576856
"S0_primary","state_time_baseline","none",7,2024,"all",70,21.7789159004877,14.9321514383874,0.256371944445206
"S0_primary","pooled_lasso","min",7,2024,"all",70,13.7583320249406,9.10264984864022,0.703233535687605
"S0_primary","pooled_lasso","1se",7,2024,"all",70,14.1959190449728,8.77101079384492,0.684055878840998
"S0_primary","pooled_lasso_state_interactions","min",7,2024,"all",70,13.1637846985866,9.64207976856302,0.72832805516462
"S0_primary","pooled_lasso_state_interactions","1se",7,2024,"all",70,13.2764764806288,8.8806293670777,0.723656717746985
"S0_primary","state_time_baseline","none",8,2025,"all",70,20.2158902361067,14.7430402325714,0.322289750759532
"S0_primary","pooled_lasso","min",8,2025,"all",70,12.4655531047185,9.10905760468411,0.742319580815399
"S0_primary","pooled_lasso","1se",8,2025,"all",70,12.420101809163,8.92466660000492,0.744195238814004
"S0_primary","pooled_lasso_state_interactions","min",8,2025,"all",70,13.021320059312,10.0394884651854,0.718830415197836
"S0_primary","pooled_lasso_state_interactions","1se",8,2025,"all",70,12.3018276875442,9.09447264229079,0.749043995671666
"S1_split_county_excluded","state_time_baseline","none",1,2017,"all",61,23.438677845533,15.3976961226694,0.0573691340748232
"S1_split_county_excluded","pooled_lasso","min",1,2017,"all",61,15.1634917027843,10.2735454541557,0.605475595886571
"S1_split_county_excluded","pooled_lasso","1se",1,2017,"all",61,16.7880725988312,10.9301796011695,0.516410220231894
"S1_split_county_excluded","pooled_lasso_state_interactions","min",1,2017,"all",61,13.9582430614679,9.60373830160267,0.665699558703572
"S1_split_county_excluded","pooled_lasso_state_interactions","1se",1,2017,"all",61,15.9156823524863,10.7762422874113,0.565363732653889
"S1_split_county_excluded","state_time_baseline","none",2,2018,"all",62,25.1147278653274,16.3257974324221,0.0432905061138855
"S1_split_county_excluded","pooled_lasso","min",2,2018,"all",62,16.0903967219646,10.2212833651555,0.607303857987781
"S1_split_county_excluded","pooled_lasso","1se",2,2018,"all",62,17.4689812821542,10.7213805054099,0.537130793379064
"S1_split_county_excluded","pooled_lasso_state_interactions","min",2,2018,"all",62,15.6833198350151,9.91117468438256,0.626922438994728
"S1_split_county_excluded","pooled_lasso_state_interactions","1se",2,2018,"all",62,16.5549031226056,10.4777639648367,0.584303452367706
"S1_split_county_excluded","state_time_baseline","none",3,2019,"all",62,23.3358106812752,16.0807118668958,0.116161058096937
"S1_split_county_excluded","pooled_lasso","min",3,2019,"all",62,17.5909273474582,11.5229544276095,0.49776749539926
"S1_split_county_excluded","pooled_lasso","1se",3,2019,"all",62,17.7979617292632,11.7829425269904,0.485875992378909
"S1_split_county_excluded","pooled_lasso_state_interactions","min",3,2019,"all",62,17.255338802963,11.1833822266067,0.51674725572785
"S1_split_county_excluded","pooled_lasso_state_interactions","1se",3,2019,"all",62,17.5754254234829,11.6620220724245,0.498652285547228
"S1_split_county_excluded","state_time_baseline","none",4,2020,"all",63,21.5788315047156,14.6915682085147,0.181606213292294
"S1_split_county_excluded","pooled_lasso","min",4,2020,"all",63,16.0673290168606,10.3084338094419,0.546273808594572
"S1_split_county_excluded","pooled_lasso","1se",4,2020,"all",63,16.0965787046201,10.0693383523158,0.544620337841168
"S1_split_county_excluded","pooled_lasso_state_interactions","min",4,2020,"all",63,15.6590874397982,10.1590036642255,0.569037606925343
"S1_split_county_excluded","pooled_lasso_state_interactions","1se",4,2020,"all",63,15.6581076154438,10.0000045728938,0.569091537812325
"S1_split_county_excluded","state_time_baseline","none",5,2022,"all",63,21.9548606739913,15.3035287674862,0.202708651153873
"S1_split_county_excluded","pooled_lasso","min",5,2022,"all",63,13.7871329777368,8.7706212253049,0.685584744658998
"S1_split_county_excluded","pooled_lasso","1se",5,2022,"all",63,14.6407209809537,9.03026081444704,0.645447453464544
"S1_split_county_excluded","pooled_lasso_state_interactions","min",5,2022,"all",63,12.9959364225632,8.76818264973543,0.720635744855239
"S1_split_county_excluded","pooled_lasso_state_interactions","1se",5,2022,"all",63,13.8635535903668,8.64020352142429,0.682089543987352
"S1_split_county_excluded","state_time_baseline","none",6,2023,"all",62,20.4105265872664,14.2833062952221,0.227561404550542
"S1_split_county_excluded","pooled_lasso","min",6,2023,"all",62,14.3186151432528,9.7629753059694,0.619847738128872
"S1_split_county_excluded","pooled_lasso","1se",6,2023,"all",62,13.6826387398439,8.00987930866398,0.652867506922536
"S1_split_county_excluded","pooled_lasso_state_interactions","min",6,2023,"all",62,14.9073309128193,11.7180096537132,0.587944865215071
"S1_split_county_excluded","pooled_lasso_state_interactions","1se",6,2023,"all",62,13.7631586285231,8.77992950996854,0.64876985971243
"S1_split_county_excluded","state_time_baseline","none",7,2024,"all",63,21.6118852364382,14.6664952252533,0.247917185998585
"S1_split_county_excluded","pooled_lasso","min",7,2024,"all",63,13.4311920427981,8.94785108391291,0.709524520763469
"S1_split_county_excluded","pooled_lasso","1se",7,2024,"all",63,13.8907376619879,8.59278193779571,0.689307350934983
"S1_split_county_excluded","pooled_lasso_state_interactions","min",7,2024,"all",63,13.2975791294186,9.74146450673117,0.715275049605029
"S1_split_county_excluded","pooled_lasso_state_interactions","1se",7,2024,"all",63,13.7519797495637,8.83674439815838,0.695483515376928
"S1_split_county_excluded","state_time_baseline","none",8,2025,"all",63,19.7899387003302,14.3750055189029,0.319166871431955
"S1_split_county_excluded","pooled_lasso","min",8,2025,"all",63,12.4556456703432,9.01804675078961,0.730297934574351
"S1_split_county_excluded","pooled_lasso","1se",8,2025,"all",63,12.0372578563533,8.5276657720205,0.748112329689653
"S1_split_county_excluded","pooled_lasso_state_interactions","min",8,2025,"all",63,13.2145620169398,10.2952242281395,0.696431063718443
"S1_split_county_excluded","pooled_lasso_state_interactions","1se",8,2025,"all",63,12.1288469315972,8.59332007410895,0.744264621654202
"S2_stable_cocs","state_time_baseline","none",1,2017,"all",65,18.412752434813,13.2730487417636,0.0564236519952734
"S2_stable_cocs","pooled_lasso","min",1,2017,"all",65,13.7615098104862,9.34733947327339,0.47292576586346
"S2_stable_cocs","pooled_lasso","1se",1,2017,"all",65,15.4896388652163,11.4041092900909,0.332237228227769
"S2_stable_cocs","pooled_lasso_state_interactions","min",1,2017,"all",65,12.6319647258353,9.05608459144154,0.555899331672962
"S2_stable_cocs","pooled_lasso_state_interactions","1se",1,2017,"all",65,13.386038892866,9.24206620276189,0.501294930208473
"S2_stable_cocs","state_time_baseline","none",2,2018,"all",65,22.1281415280569,14.0757819499672,0.0316512743864581
"S2_stable_cocs","pooled_lasso","min",2,2018,"all",65,14.5374143551337,8.90628857595088,0.582057782380293
"S2_stable_cocs","pooled_lasso","1se",2,2018,"all",65,17.8893401247521,11.4664590312854,0.367106628848049
"S2_stable_cocs","pooled_lasso_state_interactions","min",2,2018,"all",65,13.4273849783306,9.10212593381522,0.643446432570658
"S2_stable_cocs","pooled_lasso_state_interactions","1se",2,2018,"all",65,14.4576225115522,8.93967933187332,0.586633129718987
"S2_stable_cocs","state_time_baseline","none",3,2019,"all",65,21.9397782658785,14.5529116300878,0.0890592905334533
"S2_stable_cocs","pooled_lasso","min",3,2019,"all",65,18.8052329625974,11.0041636280104,0.330758169239549
"S2_stable_cocs","pooled_lasso","1se",3,2019,"all",65,19.401226681973,11.9902985368261,0.287665427947111
