"sample_id","model","lambda_rule","fold","validation_year","term","coefficient","lambda"
"S0_primary","pooled_lasso","1se",1,2017,"(Intercept)",43.4568786074396,4.59609420305808
"S0_primary","pooled_lasso","1se",1,2017,"coc_hic_psh_beds_per_10k",5.64875473756609,4.59609420305808
"S0_primary","pooled_lasso","1se",1,2017,"control_state_florida",-5.11319882081356,4.59609420305808
"S0_primary","pooled_lasso","1se",1,2017,"coc_log_estimated_population",-5.01648277517285,4.59609420305808
"S0_primary","pooled_lasso","1se",1,2017,"coc_hic_temporary_beds_per_10k",4.58940443443082,4.59609420305808
"S0_primary","pooled_lasso","1se",1,2017,"control_time_index",-2.48256124830974,4.59609420305808
"S0_primary","pooled_lasso","1se",2,2018,"(Intercept)",42.5691765020402,3.42359750720548
"S0_primary","pooled_lasso","1se",2,2018,"coc_hic_psh_beds_per_10k",6.80474034848,3.42359750720548
"S0_primary","pooled_lasso","1se",2,2018,"control_state_florida",-5.9142723183389,3.42359750720548
"S0_primary","pooled_lasso","1se",2,2018,"coc_log_estimated_population",-5.85019634683717,3.42359750720548
"S0_primary","pooled_lasso","1se",2,2018,"coc_hic_temporary_beds_per_10k",4.93789478979267,3.42359750720548
"S0_primary","pooled_lasso","1se",2,2018,"control_time_index",-1.9960471017931,3.42359750720548
"S0_primary","pooled_lasso","1se",3,2019,"(Intercept)",41.3051513470815,2.62932357304179
"S0_primary","pooled_lasso","1se",3,2019,"coc_hic_psh_beds_per_10k",7.08267535540908,2.62932357304179
"S0_primary","pooled_lasso","1se",3,2019,"coc_log_estimated_population",-6.57448779643376,2.62932357304179
"S0_primary","pooled_lasso","1se",3,2019,"control_state_florida",-6.49058550913885,2.62932357304179
"S0_primary","pooled_lasso","1se",3,2019,"coc_hic_temporary_beds_per_10k",5.84401367631028,2.62932357304179
"S0_primary","pooled_lasso","1se",3,2019,"control_time_index",-1.46981197599009,2.62932357304179
"S0_primary","pooled_lasso","1se",4,2020,"(Intercept)",41.3704107190822,2.70517192933615
