"sample_id","model","lambda_rule","term","role","n_folds","n_selected","selection_freq","mean_coef","sd_coef","mean_coef_when_selected","n_positive","n_negative","sign_consistency","dominant_sign"
"S0_primary","pooled_lasso","1se","control_state_florida","unpenalized_control",8,8,1,-9.11035884461282,3.01429497083426,-9.11035884461282,0,8,1,"negative"
"S0_primary","pooled_lasso","1se","coc_hic_temporary_beds_per_10k","penalized_predictor",8,8,1,6.05606832174213,1.14654944840364,6.05606832174213,8,0,1,"positive"
"S0_primary","pooled_lasso","1se","coc_hic_psh_beds_per_10k","penalized_predictor",8,8,1,5.97724926959698,0.885402629533838,5.97724926959698,8,0,1,"positive"
"S0_primary","pooled_lasso","1se","coc_log_estimated_population","penalized_predictor",8,8,1,-5.44251309514748,0.917889352581088,-5.44251309514748,0,8,1,"negative"
"S0_primary","pooled_lasso","1se","control_time_index","unpenalized_control",8,8,1,-1.14840018395327,0.789663780957682,-1.14840018395327,0,8,1,"negative"
"S0_primary","pooled_lasso","1se","coc_population_growth_rate_pct","penalized_predictor",8,1,0.125,-0.0447626520462735,0.126607899223255,-0.358101216370188,0,1,1,"negative"
"S0_primary","pooled_lasso","1se","coc_annual_hpi_change_pct","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_birth_rate_per_1000","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_contains_split_county_flag","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_contributing_counties","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_death_rate_per_1000","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_domestic_migration_rate_per_1000","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_group_quarters_per_1000_residents","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_high_school_graduate_pct","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_homeownership_rate_pct","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
