"term","coefficient","lambda_rule"
"(Intercept)",5.2590832553198,"lambda.min"
"control_state_florida",-0.423253558337244,"lambda.min"
"coc_log_estimated_population",-0.113183040007211,"lambda.min"
"coc_population_density_per_sq_mile",-0.0590755186519843,"lambda.min"
"coc_contributing_counties",-0.00337638865958265,"lambda.min"
"coc_contains_split_county_flag",0,"lambda.min"
"coc_housing_units_per_1000_residents",0.00109366794268019,"lambda.min"
"coc_permits_per_1000_housing_units",0,"lambda.min"
"coc_multifamily_permit_share_pct",0.00145964680802259,"lambda.min"
"coc_permits_value_per_1000_housing_units_2025_usd",-0.101898632809675,"lambda.min"
"coc_birth_rate_per_1000",0,"lambda.min"
"coc_death_rate_per_1000",0.0305745081058121,"lambda.min"
"coc_international_migration_rate_per_1000",0.00314580400308505,"lambda.min"
"coc_domestic_migration_rate_per_1000",0,"lambda.min"
"coc_group_quarters_per_1000_residents",0.000486174943047132,"lambda.min"
"coc_population_growth_rate_pct",0,"lambda.min"
"coc_housing_supply_growth_rate_pct",0,"lambda.min"
"coc_poverty_all_pct",0,"lambda.min"
"coc_poverty_child_pct",-0.0191566767837188,"lambda.min"
"coc_real_median_household_income_2025_usd",0,"lambda.min"
"coc_real_per_capita_personal_income_2025_usd",0.342750002336838,"lambda.min"
"coc_unemployment_rate_pct",0.014894865043909,"lambda.min"
"coc_high_school_graduate_pct",-0.00378852645132665,"lambda.min"
"coc_homeownership_rate_pct",-0.019694322753238,"lambda.min"
"coc_housing_cost_burdened_households_pct",-0.0111058793282321,"lambda.min"
"coc_income_inequality_ratio",0,"lambda.min"
"coc_annual_hpi_change_pct",0,"lambda.min"
"coc_real_gdp_per_capita_2017_usd",-0.402719978433928,"lambda.min"
"coc_real_gdp_quantity_index",0.00526615790336218,"lambda.min"
"coc_relative_home_price_index_2000_base",0.0538759643809868,"lambda.min"
"state_real_minimum_wage_2025_usd",0.0990469351123809,"lambda.min"
"state_medicaid_expansion",0.0446928501503887,"lambda.min"
"coc_hic_temporary_beds_per_10k",0.378315754074595,"lambda.min"
"coc_hic_psh_beds_per_10k",0.19640900005004,"lambda.min"
"state_anticamping_strictness",0,"lambda.min"
"state_tanf_max_benefit_3person",0,"lambda.min"
"state_ssi_state_supplement",0,"lambda.min"
"state_labor_force_participation_pct",0,"lambda.min"
"state_real_median_rent_2025_usd",0,"lambda.min"
"state_rental_vacancy_rate",0.0551174441593099,"lambda.min"
"predictor_year_factor2012",0.0426962414088483,"lambda.min"
"predictor_year_factor2013",0.0501422367988767,"lambda.min"
"predictor_year_factor2014",-0.164341518500505,"lambda.min"
"predictor_year_factor2015",-0.169013301078042,"lambda.min"
"predictor_year_factor2016",-0.267721996776541,"lambda.min"
"predictor_year_factor2017",-0.305345209826392,"lambda.min"
"predictor_year_factor2018",-0.304974324372263,"lambda.min"
"predictor_year_factor2019",-0.411870126541045,"lambda.min"
"predictor_year_factor2021",-0.579621855216288,"lambda.min"
"predictor_year_factor2022",-0.487045096106454,"lambda.min"
"predictor_year_factor2023",-0.615423223435722,"lambda.min"
"predictor_year_factor2024",-0.770573568467607,"lambda.min"
"(Intercept)",4.15637105583632,"lambda.1se"
"control_state_florida",-0.313333904579765,"lambda.1se"
"coc_log_estimated_population",-0.135537014532961,"lambda.1se"
"coc_population_density_per_sq_mile",-0.0139457834896231,"lambda.1se"
"coc_contributing_counties",0,"lambda.1se"
"coc_contains_split_county_flag",-0.003047423566315,"lambda.1se"
"coc_housing_units_per_1000_residents",0.000947383454095278,"lambda.1se"
"coc_permits_per_1000_housing_units",0,"lambda.1se"
"coc_multifamily_permit_share_pct",0,"lambda.1se"
"coc_permits_value_per_1000_housing_units_2025_usd",-0.0773162954993472,"lambda.1se"
"coc_birth_rate_per_1000",0,"lambda.1se"
"coc_death_rate_per_1000",0,"lambda.1se"
"coc_international_migration_rate_per_1000",0,"lambda.1se"
"coc_domestic_migration_rate_per_1000",0,"lambda.1se"
