"term","estimate","std_error","t_value","p_value"
"(Intercept)",-13.1168201503035,12.8918641629672,-1.01744945374018,0.309234373761505
"control_state_florida",-0.610556129537025,1.02201883163322,-0.597402034717246,0.550400959640849
"coc_log_estimated_population",-0.100922322968977,0.0241988127791404,-4.17054852608195,3.3563909741596e-05
"coc_population_density_per_sq_mile",-0.0604273755239974,0.0235753201337126,-2.56316245893037,0.0105464914922327
"coc_contributing_counties",-0.0108880189660088,0.016865780304376,-0.64556864666284,0.518736101812181
"coc_contains_split_county_flag",0.0609996939575957,0.0799268006812925,0.763194490929664,0.445562978125206
"coc_housing_units_per_1000_residents",0.00128801179263733,0.000435389539793614,2.95829751272362,0.00318075089551535
"coc_permits_per_1000_housing_units",-0.0147109786181002,0.0837185174297837,-0.175719530991917,0.86055689442115
"coc_multifamily_permit_share_pct",0.002412788015951,0.00125240826552492,1.92651875779479,0.0543787486632106
"coc_permits_value_per_1000_housing_units_2025_usd",-0.101622534537622,0.0743085000891646,-1.3675761779027,0.171812748906877
"coc_birth_rate_per_1000",-0.00552200205493517,0.0365929156698083,-0.15090358212399,0.880088221649591
"coc_death_rate_per_1000",0.0552694197990012,0.038018527063914,1.45374963385842,0.146391469821822
"coc_international_migration_rate_per_1000",-0.0106378092008068,0.0332308909158384,-0.320118086143055,0.748958900517244
"coc_domestic_migration_rate_per_1000",-0.0210389962554925,0.0332761404544779,-0.632254701661513,0.527393535156086
"coc_group_quarters_per_1000_residents",0.00144605516211041,0.0016324885124747,0.885798062932967,0.375981375836535
"coc_population_growth_rate_pct",0.203732549255837,0.325975597853435,0.624993252861335,0.532146237650234
"coc_housing_supply_growth_rate_pct",0.0020440011017765,0.026677856351022,0.0766178914408241,0.938945879266283
"coc_poverty_all_pct",0.00211724171194838,0.0181517258735572,0.116641344558464,0.907172320652656
"coc_poverty_child_pct",-0.0301176458345685,0.0110944573570013,-2.7146569557602,0.00677133709171553
"coc_real_median_household_income_2025_usd",-0.268700243569832,0.362611335819202,-0.74101446101455,0.45889300678035
"coc_real_per_capita_personal_income_2025_usd",0.630348071104464,0.185780197785973,3.39297771569094,0.000723913991894413
"coc_unemployment_rate_pct",0.0187301880449782,0.0121063059078676,1.54714313247329,0.12220763753344
"coc_high_school_graduate_pct",-0.00378010836923877,0.0066295176213072,-0.570193577446652,0.568699797849694
"coc_homeownership_rate_pct",-0.0238316195043533,0.00629445235561787,-3.7861307319426,0.000163966180958811
"coc_housing_cost_burdened_households_pct",-0.01982825860419,0.00637814842844875,-3.10877973860707,0.0019423193391187
"coc_income_inequality_ratio",-0.0114428641263646,0.0121851691156989,-0.939081273120951,0.347960578697291
"coc_annual_hpi_change_pct",-0.00243180720115346,0.0060182426890299,-0.404072638277978,0.686262772948866
"coc_real_gdp_per_capita_2017_usd",-0.620128242329065,0.124202925514097,-4.99286341092409,7.24386035072776e-07
"coc_real_gdp_quantity_index",0.00616775766285081,0.00255334970037773,2.41555540235573,0.0159249973216048
"coc_relative_home_price_index_2000_base",0.144388428590398,0.181648590101649,0.794877783029305,0.426910469641841
"state_real_minimum_wage_2025_usd",0.192534637851634,0.0706995288543801,2.72328035237968,0.00659862468306528
"state_medicaid_expansion",-0.111910940937716,0.174067684266437,-0.642916239216575,0.520454952219212
"coc_hic_temporary_beds_per_10k",0.368635741008123,0.0373132805330524,9.87947818422405,7.62473364208306e-22
"coc_hic_psh_beds_per_10k",0.213321842365276,0.0268380529904408,7.9484842824201,6.10902556739034e-15
"state_anticamping_strictness",0.131947285392426,0.175991256935354,0.749737729533313,0.453623857729246
"state_tanf_max_benefit_3person",0.000226472494910097,0.00110225971048421,0.205462009321388,0.837261255215833
"state_ssi_state_supplement",-0.00499666143321673,0.00554108345446083,-0.901748092098159,0.367450726704328
"state_labor_force_participation_pct",0.354171782589494,0.197828787579313,1.79029446079732,0.073768787174785
"state_real_median_rent_2025_usd",-0.00131926004559043,0.00145220738024835,-0.908451550056726,0.363901818282397
"state_rental_vacancy_rate",0.0423141658061285,0.0409909539553116,1.03228058200986,0.302239585851938
"predictor_year_factor2012",0.121486714469307,0.138680070417901,0.876021436268506,0.381270314509486
"predictor_year_factor2013",0.241993194049994,0.222637378812769,1.08693874919136,0.277377539916136
"predictor_year_factor2014",0.101176360739346,0.318381637023386,0.317783279479509,0.750728787242347
"predictor_year_factor2015",0.147438975650656,0.376649118728891,0.39144914542275,0.695565142381665
"predictor_year_factor2016",0.30741356706788,0.483524572513833,0.635776513838054,0.525096304260595
"predictor_year_factor2017",0.185497586503765,0.436824052472215,0.424650578313941,0.671200810686479
"predictor_year_factor2018",0.11598664398767,0.416877076972868,0.278227444957878,0.780906648736366
"predictor_year_factor2019",-0.111200978464143,0.383785933579311,-0.289747405349246,0.772081419276153
"predictor_year_factor2021",0.274802314932052,0.680807152561786,0.403641932811675,0.686579390213676
"predictor_year_factor2022",0.269021209360088,0.624741736898756,0.430611872828476,0.666861732257147
"predictor_year_factor2023",0.00166219676329955,0.610319367383972,0.00272348683677574,0.997827625099832
"predictor_year_factor2024",0.00442952569151413,0.657732345287908,0.00673454137271477,0.994628262625467
