"term","coefficient","lambda_rule"
"coc_hic_temporary_beds_per_10k",0.435774767655447,"lambda.1se"
"coc_hic_psh_beds_per_10k",0.156108136172612,"lambda.1se"
"coc_log_estimated_population",-0.135537014532961,"lambda.1se"
"state_medicaid_expansion",0.126800358622744,"lambda.1se"
"coc_permits_value_per_1000_housing_units_2025_usd",-0.0773162954993472,"lambda.1se"
"state_real_minimum_wage_2025_usd",0.033957943340013,"lambda.1se"
"coc_population_density_per_sq_mile",-0.0139457834896231,"lambda.1se"
"coc_real_per_capita_personal_income_2025_usd",0.00655626592661034,"lambda.1se"
"coc_contains_split_county_flag",-0.003047423566315,"lambda.1se"
"coc_housing_units_per_1000_residents",0.000947383454095278,"lambda.1se"
"coc_group_quarters_per_1000_residents",0.000525767477170634,"lambda.1se"
"coc_real_gdp_per_capita_2017_usd",-0.402719978433928,"lambda.min"
"coc_hic_temporary_beds_per_10k",0.378315754074595,"lambda.min"
"coc_real_per_capita_personal_income_2025_usd",0.342750002336838,"lambda.min"
"coc_hic_psh_beds_per_10k",0.19640900005004,"lambda.min"
"coc_log_estimated_population",-0.113183040007211,"lambda.min"
"coc_permits_value_per_1000_housing_units_2025_usd",-0.101898632809675,"lambda.min"
"state_real_minimum_wage_2025_usd",0.0990469351123809,"lambda.min"
"coc_population_density_per_sq_mile",-0.0590755186519843,"lambda.min"
"state_rental_vacancy_rate",0.0551174441593099,"lambda.min"
"coc_relative_home_price_index_2000_base",0.0538759643809868,"lambda.min"
"state_medicaid_expansion",0.0446928501503887,"lambda.min"
"coc_death_rate_per_1000",0.0305745081058121,"lambda.min"
"coc_homeownership_rate_pct",-0.019694322753238,"lambda.min"
"coc_poverty_child_pct",-0.0191566767837188,"lambda.min"
"coc_unemployment_rate_pct",0.014894865043909,"lambda.min"
"coc_housing_cost_burdened_households_pct",-0.0111058793282321,"lambda.min"
"coc_real_gdp_quantity_index",0.00526615790336218,"lambda.min"
"coc_high_school_graduate_pct",-0.00378852645132665,"lambda.min"
"coc_contributing_counties",-0.00337638865958265,"lambda.min"
"coc_international_migration_rate_per_1000",0.00314580400308505,"lambda.min"
"coc_multifamily_permit_share_pct",0.00145964680802259,"lambda.min"
"coc_housing_units_per_1000_residents",0.00109366794268019,"lambda.min"
"coc_group_quarters_per_1000_residents",0.000486174943047132,"lambda.min"
