"comparison_rows","family","model","rule","n","rmse","mae","r2"
"factors","LASSO","separate_lasso_FL","1se",208,10.4093278023429,7.34697458140855,0.373038999925975
"factors","LASSO","separate_lasso_FL","min",208,10.4406935389008,7.88574148368405,0.369254947450166
"factors","neural_net","wide_32_16_drop","seed_ensemble",555,12.6388277921446,8.42852885466117,0.730945000058001
"factors","neural_net","class_16_8","seed_ensemble",555,12.916873208737,9.11393671282453,0.718976740126689
"factors","neural_net","class_16_8_drop","seed_ensemble",555,13.207915020449,9.18753726866534,0.706170087255478
"factors","neural_net","shallow_8_drop","seed_ensemble",555,13.8800427702144,9.7513663256919,0.675504197898825
"factors","LASSO","separate_state_lasso","1se",555,13.9019914583725,10.1793618663667,0.674477127803313
"factors","LASSO","separate_state_lasso","min",555,14.0581116370246,10.5756329155967,0.667124792884515
"factors","LASSO","pooled_lasso_state_interactions","min",555,14.6922042228507,10.1412971620357,0.636418826533997
"factors","LASSO","pooled_lasso_state_interactions","1se",555,15.1265539068463,9.91126798513561,0.614603760280068
"factors","LASSO","pooled_lasso","min",555,15.2967624581015,10.1581957463234,0.605881773925377
"factors","LASSO","separate_lasso_CA","1se",347,15.6257218402124,11.8771617374655,0.582431719825525
"factors","LASSO","pooled_lasso","1se",555,15.8054158550639,9.80500824195747,0.579235270402194
"factors","LASSO","separate_lasso_CA","min",347,15.8351784432386,12.188017405043,0.571162015422629
"factors","neural_net","no_hidden","seed_ensemble",555,16.0632364626714,11.4594372036372,0.565396140055975
"factors","LASSO","state_time_baseline","none",555,21.9314762498759,14.983185050086,0.189854160857863
"factors_plus_prior","neural_net","no_hidden","seed_ensemble",485,10.0494887213152,6.75510499217283,0.82914230632662
"factors_plus_prior","LASSO","separate_lasso_FL","min",182,10.3423435558529,7.56225825102012,0.406828522285012
"factors_plus_prior","neural_net","wide_32_16_drop","seed_ensemble",485,10.4321392405692,6.68467199706055,0.815883226489373
"factors_plus_prior","LASSO","separate_lasso_FL","1se",182,10.5052553535517,7.19692551900025,0.387994160056746
"factors_plus_prior","neural_net","shallow_8_drop","seed_ensemble",485,10.5125240703724,6.93479277624761,0.813034871688958
"factors_plus_prior","neural_net","class_16_8_drop","seed_ensemble",485,10.558011119569,7.02261977412813,0.811413397884757
"factors_plus_prior","neural_net","class_16_8","seed_ensemble",485,10.8381998019758,7.08203146344013,0.801271153641278
"factors_plus_prior","LASSO","separate_state_lasso","1se",485,14.0464991861827,10.1296604861333,0.666202713241845
"factors_plus_prior","LASSO","separate_state_lasso","min",485,14.1066675082655,10.4622855457295,0.663336940432422
"factors_plus_prior","LASSO","pooled_lasso_state_interactions","min",485,14.9495615739753,10.3333691290289,0.621902750487376
"factors_plus_prior","LASSO","pooled_lasso_state_interactions","1se",485,15.3118460959262,10.0725787132535,0.603355244856337
"factors_plus_prior","LASSO","pooled_lasso","min",485,15.4630428753051,10.3072741054106,0.595483234791519
"factors_plus_prior","LASSO","separate_lasso_CA","1se",303,15.7964482592551,11.8912372650712,0.575881823786172
"factors_plus_prior","LASSO","pooled_lasso","1se",485,15.9098158200335,9.87662407247877,0.571770176736634
"factors_plus_prior","LASSO","separate_lasso_CA","min",303,15.9461348131495,12.2042161319906,0.567805884570465
"factors_plus_prior","LASSO","state_time_baseline","none",485,21.9183480509857,14.9307994565447,0.187240146247297
"prior_only","neural_net","class_16_8","seed_ensemble",485,8.92931292817781,5.04997467512402,0.865109087765702
"prior_only","neural_net","no_hidden","seed_ensemble",485,9.05602814574189,4.99287705840734,0.861253469249312
"prior_only","LASSO","separate_lasso_FL","min",182,10.3423435558529,7.56225825102012,0.406828522285012
"prior_only","LASSO","separate_lasso_FL","1se",182,10.5052553535517,7.19692551900025,0.387994160056746
"prior_only","LASSO","separate_state_lasso","1se",485,14.0464991861827,10.1296604861333,0.666202713241845
"prior_only","LASSO","separate_state_lasso","min",485,14.1066675082655,10.4622855457295,0.663336940432422
"prior_only","LASSO","pooled_lasso_state_interactions","min",485,14.9495615739753,10.3333691290289,0.621902750487376
"prior_only","LASSO","pooled_lasso_state_interactions","1se",485,15.3118460959262,10.0725787132535,0.603355244856337
"prior_only","LASSO","pooled_lasso","min",485,15.4630428753051,10.3072741054106,0.595483234791519
"prior_only","LASSO","separate_lasso_CA","1se",303,15.7964482592551,11.8912372650712,0.575881823786172
"prior_only","LASSO","pooled_lasso","1se",485,15.9098158200335,9.87662407247877,0.571770176736634
"prior_only","LASSO","separate_lasso_CA","min",303,15.9461348131495,12.2042161319906,0.567805884570465
"prior_only","LASSO","state_time_baseline","none",485,21.9183480509857,14.9307994565447,0.187240146247297
