"feature_set","architecture","validation_year","seed","chosen_epochs"
"factors","no_hidden",2017,10,191
"factors","no_hidden",2017,42,80
"factors","no_hidden",2017,123,59
"factors","no_hidden",2017,2024,161
"factors","no_hidden",2017,31337,62
"factors","no_hidden",2018,10,45
"factors","no_hidden",2018,42,92
"factors","no_hidden",2018,123,32
"factors","no_hidden",2018,2024,220
"factors","no_hidden",2018,31337,300
"factors","no_hidden",2019,10,64
"factors","no_hidden",2019,42,80
"factors","no_hidden",2019,123,35
"factors","no_hidden",2019,2024,46
"factors","no_hidden",2019,31337,51
"factors","no_hidden",2020,10,300
"factors","no_hidden",2020,42,37
"factors","no_hidden",2020,123,16
"factors","no_hidden",2020,2024,23
"factors","no_hidden",2020,31337,24
"factors","no_hidden",2022,10,43
"factors","no_hidden",2022,42,107
"factors","no_hidden",2022,123,70
"factors","no_hidden",2022,2024,54
"factors","no_hidden",2022,31337,65
"factors","no_hidden",2023,10,61
"factors","no_hidden",2023,42,97
"factors","no_hidden",2023,123,291
"factors","no_hidden",2023,2024,32
"factors","no_hidden",2023,31337,153
"factors","no_hidden",2024,10,32
"factors","no_hidden",2024,42,300
"factors","no_hidden",2024,123,300
"factors","no_hidden",2024,2024,18
"factors","no_hidden",2024,31337,300
"factors","no_hidden",2025,10,131
"factors","no_hidden",2025,42,49
"factors","no_hidden",2025,123,81
"factors","no_hidden",2025,2024,31
"factors","no_hidden",2025,31337,43
"factors","class_16_8",2017,10,50
"factors","class_16_8",2017,42,67
"factors","class_16_8",2017,123,59
"factors","class_16_8",2017,2024,30
"factors","class_16_8",2017,31337,78
"factors","class_16_8",2018,10,41
"factors","class_16_8",2018,42,47
"factors","class_16_8",2018,123,38
"factors","class_16_8",2018,2024,67
"factors","class_16_8",2018,31337,55
"factors","class_16_8",2019,10,27
"factors","class_16_8",2019,42,104
"factors","class_16_8",2019,123,96
"factors","class_16_8",2019,2024,29
"factors","class_16_8",2019,31337,151
"factors","class_16_8",2020,10,31
"factors","class_16_8",2020,42,76
"factors","class_16_8",2020,123,83
"factors","class_16_8",2020,2024,11
"factors","class_16_8",2020,31337,15
"factors","class_16_8",2022,10,29
"factors","class_16_8",2022,42,47
"factors","class_16_8",2022,123,12
"factors","class_16_8",2022,2024,15
"factors","class_16_8",2022,31337,66
"factors","class_16_8",2023,10,19
"factors","class_16_8",2023,42,26
"factors","class_16_8",2023,123,14
"factors","class_16_8",2023,2024,34
"factors","class_16_8",2023,31337,71
"factors","class_16_8",2024,10,28
"factors","class_16_8",2024,42,76
"factors","class_16_8",2024,123,110
"factors","class_16_8",2024,2024,67
"factors","class_16_8",2024,31337,64
"factors","class_16_8",2025,10,73
"factors","class_16_8",2025,42,9
"factors","class_16_8",2025,123,10
"factors","class_16_8",2025,2024,22
"factors","class_16_8",2025,31337,15
"factors","class_16_8_drop",2017,10,159
"factors","class_16_8_drop",2017,42,92
"factors","class_16_8_drop",2017,123,153
"factors","class_16_8_drop",2017,2024,65
"factors","class_16_8_drop",2017,31337,117
"factors","class_16_8_drop",2018,10,99
"factors","class_16_8_drop",2018,42,40
"factors","class_16_8_drop",2018,123,139
"factors","class_16_8_drop",2018,2024,75
"factors","class_16_8_drop",2018,31337,153
"factors","class_16_8_drop",2019,10,46
"factors","class_16_8_drop",2019,42,72
"factors","class_16_8_drop",2019,123,35
"factors","class_16_8_drop",2019,2024,37
"factors","class_16_8_drop",2019,31337,95
"factors","class_16_8_drop",2020,10,55
"factors","class_16_8_drop",2020,42,68
"factors","class_16_8_drop",2020,123,66
"factors","class_16_8_drop",2020,2024,13
"factors","class_16_8_drop",2020,31337,108
"factors","class_16_8_drop",2022,10,32
"factors","class_16_8_drop",2022,42,25
"factors","class_16_8_drop",2022,123,35
"factors","class_16_8_drop",2022,2024,15
