"feature_set","architecture","validation_year","n","rmse","mae","r2","mean_pred_sd_across_seeds"
"factors","class_16_8",2017,68,13.4471075289406,9.31843244247027,0.67041194476371,9.30876265446907
"factors_plus_prior","class_16_8",2017,68,12.9569943078129,9.32201073340277,0.693999423712522,9.53553208485359
"prior_only","class_16_8",2017,68,10.6207834162691,6.72584098313542,0.794398246799617,0.662591713459356
"factors","class_16_8_drop",2017,68,14.7993578750542,10.289076860067,0.600791800285422,5.48859440446383
"factors_plus_prior","class_16_8_drop",2017,68,12.6368879332663,8.71134873372515,0.708932325147593,3.9612234776359
"factors","no_hidden",2017,68,17.8903743930253,14.440991685264,0.416618615557991,10.089034201483
"factors_plus_prior","no_hidden",2017,68,12.6896544683387,10.6480769805426,0.706496488337902,8.22978381902874
"prior_only","no_hidden",2017,68,10.3694215407859,6.34171117808775,0.804015029342297,1.9103180063928
"factors","shallow_8_drop",2017,68,15.6980555957546,10.5338080146361,0.550835489767037,8.60774624543232
"factors_plus_prior","shallow_8_drop",2017,68,11.7054353532194,7.34707340113355,0.750259572955027,6.22773192982688
"factors","wide_32_16_drop",2017,68,13.7837174199427,8.97968191183589,0.653704832918439,4.83045957648398
"factors_plus_prior","wide_32_16_drop",2017,68,11.696559369997,8.10742331720113,0.750638175089565,5.03001053632196
"factors","class_16_8",2018,69,13.6117640714597,8.44856476184287,0.700442331126429,7.40600483313611
"factors_plus_prior","class_16_8",2018,69,10.6600180631372,6.42829744703465,0.816275320904806,6.00341529382163
"prior_only","class_16_8",2018,69,9.47565926971431,4.52746877076627,0.854832135611684,0.543228786452944
"factors","class_16_8_drop",2018,69,15.2457726946657,9.80558341448143,0.624205432938962,4.02953712659924
"factors_plus_prior","class_16_8_drop",2018,69,11.1573613326857,7.0163990731401,0.798732055030669,3.35878696940744
"factors","no_hidden",2018,69,16.3152557345424,11.0819210524267,0.569632579209503,5.0313985893366
"factors_plus_prior","no_hidden",2018,69,10.1085199826928,5.76050031721946,0.834793639343607,2.2517963165242
"prior_only","no_hidden",2018,69,9.9756453972204,4.70894894196382,0.839108306787873,0.554022593415422
"factors","shallow_8_drop",2018,69,13.9799853701722,9.25870155233932,0.684016030783966,5.6188420289013
