"feature_set","architecture","validation_year","seed","n","rmse","mae","r2","chosen_epochs","inner_best_val_loss"
"factors","no_hidden",2017,10,68,21.524287866125,18.8797854141451,0.155555149293246,191,0.284014046192169
"factors","no_hidden",2017,42,68,17.9697071763824,13.9278289384174,0.41143327036416,80,0.42562398314476
"factors","no_hidden",2017,123,68,21.7671802460305,14.8350559067923,0.136389218632458,59,0.314528912305832
"factors","no_hidden",2017,2024,68,17.0004133256759,13.5932542578729,0.473215886584223,161,0.295535057783127
"factors","no_hidden",2017,31337,68,22.7848942262316,19.3319843738085,0.0537459701712734,62,0.350588977336884
"factors","no_hidden",2018,10,69,16.7978971130518,11.8500782699852,0.543793519660011,45,0.557182848453522
"factors","no_hidden",2018,42,69,17.2944477412766,12.0984554026062,0.516423694394146,92,0.386263430118561
"factors","no_hidden",2018,123,69,15.9090647237011,11.4245335825288,0.590795016888076,32,0.53352278470993
"factors","no_hidden",2018,2024,69,17.7891044144855,11.6941951854729,0.488365543453245,220,0.373009830713272
"factors","no_hidden",2018,31337,69,17.2740846838288,12.2459556729792,0.51756178161057,300,0.477107107639313
"factors","no_hidden",2019,10,69,20.9474824659952,13.1374337503367,0.247125004493258,64,0.368956685066223
"factors","no_hidden",2019,42,69,19.3094601945514,13.3033457007539,0.360265947415078,80,0.396608948707581
"factors","no_hidden",2019,123,69,20.1434218012297,13.9226511325813,0.303813341619793,35,0.342385083436966
"factors","no_hidden",2019,2024,69,19.5349193314715,12.9197672265745,0.345239537526128,46,0.384072124958038
"factors","no_hidden",2019,31337,69,19.8001890873535,13.2728052588721,0.327336476513486,51,0.394459158182144
"factors","no_hidden",2020,10,70,18.5271611060939,13.4056160147182,0.3806712110389,300,0.542320609092712
"factors","no_hidden",2020,42,70,21.4384408816538,13.979183408225,0.170741545132305,37,0.484403640031815
"factors","no_hidden",2020,123,70,25.0846993662986,14.6652274537468,-0.135327907107814,16,0.505551993846893
"factors","no_hidden",2020,2024,70,21.6714717706514,16.7873807343997,0.152615871865533,23,0.509649217128754
"factors","no_hidden",2020,31337,70,20.5238423987847,13.6152463179573,0.239987291420808,24,0.518065452575684
"factors","no_hidden",2022,10,70,14.7104581434199,11.0495361536121,0.646025538182584,43,0.503492474555969
"factors","no_hidden",2022,42,70,14.5162565718431,10.4998841351745,0.655309904629108,107,0.499317169189453
"factors","no_hidden",2022,123,70,16.5812519219684,12.5369896720691,0.550267608602975,70,0.739609718322754
"factors","no_hidden",2022,2024,70,13.4944100418999,9.52433621034324,0.70212960735215,54,0.99058872461319
"factors","no_hidden",2022,31337,70,15.5302322239109,11.5104095789493,0.605474178831815,65,0.461862117052078
"factors","no_hidden",2023,10,69,16.4586237284623,12.1089612763441,0.520240672801605,61,0.305973470211029
"factors","no_hidden",2023,42,69,18.3103780897411,14.1700672276754,0.406212545374955,97,0.304400980472565
"factors","no_hidden",2023,123,69,16.4828131200312,12.1045484941198,0.5188294230559,291,0.333704799413681
"factors","no_hidden",2023,2024,69,16.1728636301834,11.564670962857,0.536755531022144,32,0.254582315683365
"factors","no_hidden",2023,31337,69,18.2389884627843,14.0396408588067,0.41083370915273,153,0.301191866397858
"factors","no_hidden",2024,10,70,15.5067212358469,11.7717153434499,0.623015746723618,32,0.340337157249451
"factors","no_hidden",2024,42,70,14.6373823833376,10.839902284896,0.664099935326203,300,0.376335144042969
"factors","no_hidden",2024,123,70,14.8123225718497,10.4451135618004,0.656022866399644,300,0.399098724126816
"factors","no_hidden",2024,2024,70,14.2391054855171,9.7834891370659,0.682130641534733,18,0.334612518548965
"factors","no_hidden",2024,31337,70,15.2803422909768,11.3753118854445,0.63394240975212,300,0.438581317663193
"factors","no_hidden",2025,10,70,13.4328850627313,10.4260840114549,0.70077566570964,131,0.292955577373505
"factors","no_hidden",2025,42,70,14.7509772369834,12.4118781419002,0.639172277131986,49,0.293343186378479
"factors","no_hidden",2025,123,70,13.6307283338211,10.4420401311469,0.691896638706668,81,0.331571936607361
"factors","no_hidden",2025,2024,70,13.0657419715566,10.6065894996831,0.716908736691666,31,0.283156633377075
"factors","no_hidden",2025,31337,70,14.2591735712711,11.2554219339992,0.662831477367953,43,0.299808889627457
"factors","class_16_8",2017,10,68,14.2339378356879,10.549018826476,0.630713154294232,50,0.206740766763687
"factors","class_16_8",2017,42,68,20.2143463049364,15.5156769287946,0.255211243791307,67,0.149035602807999
"factors","class_16_8",2017,123,68,17.8059335856604,13.2047407912516,0.422112624797437,59,0.187045589089394
"factors","class_16_8",2017,2024,68,13.8825994890639,10.7008925650579,0.648718484730072,30,0.417196780443192
"factors","class_16_8",2017,31337,68,13.6605100625528,9.88904880236263,0.659867963389111,78,0.21963632106781
"factors","class_16_8",2018,10,69,16.6404071763024,11.1991138760919,0.552307814210242,41,0.24161134660244
